lang,perplexity_metric,acc_metric,mean_slope,corr,trained
Marathi,byte_perplexity,acc,-0.011730951778775768,0.4138553179743536,untrained
Marathi,log_word_ppl,acc,0.013484455259521192,0.456639789447381,untrained
Marathi,byte_perplexity,acc_norm,-0.10229305281382621,-0.4022773744277364,untrained
Marathi,log_word_ppl,acc_norm,0.007705630865607773,0.12212025457722073,untrained
Gujarati,byte_perplexity,acc,0.06428348097967714,0.885285736646509,untrained
Gujarati,log_word_ppl,acc,0.007899538384471579,0.38652351907513927,untrained
Gujarati,byte_perplexity,acc_norm,0.021580684384227233,0.5159939826261566,untrained
Gujarati,log_word_ppl,acc_norm,0.012812299300059175,0.1362244077656248,untrained
Russian,byte_perplexity,acc,-0.07225781630077366,-0.6488032209593366,trained
Russian,log_word_ppl,acc,0.0011051525445151473,-0.6133347731855566,trained
Russian,byte_perplexity,acc_norm,-0.10352820704951497,-0.864543025935546,trained
Russian,log_word_ppl,acc_norm,-0.03191117216194247,-0.8842911456817855,trained
Dutch,byte_perplexity,acc,-0.02328943751627598,-0.5936465220786881,trained
Dutch,log_word_ppl,acc,0.007936507936508342,-0.6104043714636328,trained
Dutch,byte_perplexity,acc_norm,-0.06310924886432734,-0.9194693813205481,trained
Dutch,log_word_ppl,acc_norm,-0.007301587301587527,-0.8975710141374197,trained
Telugu,byte_perplexity,acc,0.04998731772216682,0.7442710202636047,untrained
Telugu,log_word_ppl,acc,-0.006018702015531799,0.31767810043521244,untrained
Telugu,byte_perplexity,acc_norm,0.07499294099629977,0.44905340131420146,untrained
Telugu,log_word_ppl,acc_norm,-0.0028258539950956566,0.11771864797602768,untrained
Portuguese,byte_perplexity,acc,-0.054507394519356406,-0.627324482536703,trained
Portuguese,log_word_ppl,acc,-0.020161290322580416,-0.7016446488688419,trained
Portuguese,byte_perplexity,acc_norm,-0.0931564448310863,-0.9231707881494702,trained
Portuguese,log_word_ppl,acc_norm,-0.049671884882985094,-0.9380421718712606,trained
Catalan,byte_perplexity,acc,-0.005665515287753819,-0.6183423750052239,untrained
Catalan,log_word_ppl,acc,-0.002548419979610955,-0.620077237986489,untrained
Catalan,byte_perplexity,acc_norm,-0.04469360527806715,-0.8330907869449119,untrained
Catalan,log_word_ppl,acc_norm,-0.039500509683994545,-0.8945571143620118,untrained
Italian,byte_perplexity,acc,-0.034187388838551366,-0.6440572949796635,trained
Italian,log_word_ppl,acc,-0.03041550675327286,-0.8023307944422691,trained
Italian,byte_perplexity,acc_norm,-0.07302538116491611,-0.9193691098712191,trained
Italian,log_word_ppl,acc_norm,-0.0375137801676623,-0.9174664272582629,trained
French,byte_perplexity,acc,-0.028077691141254073,-0.502378738030879,trained
French,log_word_ppl,acc,-0.015522030390502485,-0.8144106950701431,trained
French,byte_perplexity,acc_norm,-0.08744128238485398,-0.8739255336511538,trained
French,log_word_ppl,acc_norm,-0.04721284243777614,-0.9434797166548295,trained
Bengali,byte_perplexity,acc,0.02578922170152681,0.8186468529407391,untrained
Bengali,log_word_ppl,acc,0.007255623952656258,0.4937079237580452,untrained
Bengali,byte_perplexity,acc_norm,-0.02824663996316976,0.4521948017263712,untrained
Bengali,log_word_ppl,acc_norm,-0.0021795862764123347,0.13421050222573067,untrained
Arabic,byte_perplexity,acc,-0.028163958471915444,-0.5113317512452801,trained
Arabic,log_word_ppl,acc,-0.008786604232449691,-0.6455968415367362,trained
Arabic,byte_perplexity,acc_norm,-0.112999034327042,-0.87485461193324,trained
Arabic,log_word_ppl,acc_norm,-0.031175306548820263,-0.915136887482853,trained
Hungarian,byte_perplexity,acc,-0.015359755664464604,-0.17523574407554982,untrained
Hungarian,log_word_ppl,acc,-0.004615707201329514,-0.13212281644686338,untrained
Hungarian,byte_perplexity,acc_norm,-0.03258399034022284,-0.5597766754920501,untrained
Hungarian,log_word_ppl,acc_norm,-0.01150002104603486,-0.6949141265899468,untrained
Basque,byte_perplexity,acc,0.009361162567236589,0.5267624113514238,untrained
Basque,log_word_ppl,acc,-0.00308749134448216,-0.09559720210439837,untrained
Basque,byte_perplexity,acc_norm,-0.002862831726912244,-0.10099630604460016,untrained
Basque,log_word_ppl,acc_norm,-0.0071528128974888035,-0.33488850851669194,untrained
Armenian,byte_perplexity,acc,-0.0042739160187855165,0.55709881284554,untrained
Armenian,log_word_ppl,acc,-0.002657524781419522,0.007462362856269279,untrained
Armenian,byte_perplexity,acc_norm,-0.0031992608348708532,0.086740314631559,untrained
Armenian,log_word_ppl,acc_norm,-0.0018049022473803776,0.0047615696466006665,untrained
Vietnamese,byte_perplexity,acc,-0.026490585997150658,-0.41655405617828173,trained
Vietnamese,log_word_ppl,acc,-0.002135721321031494,-0.6307331599166937,trained
Vietnamese,byte_perplexity,acc_norm,-0.05713749477473796,-0.8397619041709721,trained
Vietnamese,log_word_ppl,acc_norm,-0.015050553779975403,-0.8930619488466727,trained
Malayalam,byte_perplexity,acc,-0.00048721153716929183,0.7028111914125097,untrained
Malayalam,log_word_ppl,acc,-0.021256723519092035,-0.17357222068288444,untrained
Malayalam,byte_perplexity,acc_norm,-0.05278684999260802,-0.08747444804360899,untrained
Malayalam,log_word_ppl,acc_norm,-0.008693220027491528,-0.2963068810130912,untrained
Indonesian,byte_perplexity,acc,-0.01663447277384455,-0.7433807585116452,trained
Indonesian,log_word_ppl,acc,-0.01541184507421224,-0.7544329117126233,trained
Indonesian,byte_perplexity,acc_norm,-0.06015181087543376,-0.8799778858641637,trained
Indonesian,log_word_ppl,acc_norm,-0.03929037199577604,-0.9100548045658244,trained
Serbian,byte_perplexity,acc,-0.01959881382310354,-0.4651293378178247,untrained
Serbian,log_word_ppl,acc,-0.012281639928698677,-0.6870067031830323,untrained
Serbian,byte_perplexity,acc_norm,-0.049111831114806194,-0.7119712028263805,untrained
Serbian,log_word_ppl,acc_norm,-0.011053921568629103,-0.7926738238335641,untrained
English,byte_perplexity,acc,-0.031106325202490306,-0.7274227172222949,trained
English,log_word_ppl,acc,-0.01548514142499086,-0.825859307119756,trained
English,byte_perplexity,acc_norm,-0.06575214195421107,-0.8522883749199857,trained
English,log_word_ppl,acc_norm,-0.035132474042248514,-0.8647303500502322,trained
Spanish,byte_perplexity,acc,-0.03212830364419598,-0.7929756224368237,trained
Spanish,log_word_ppl,acc,-0.012955785242606838,-0.7765317231116209,trained
Spanish,byte_perplexity,acc_norm,-0.08711724298521387,-0.925481134632418,trained
Spanish,log_word_ppl,acc_norm,-0.0538329026701124,-0.9051625641798189,trained
Swedish,byte_perplexity,acc,-0.00643884286887768,-0.3915654927596082,untrained
Swedish,log_word_ppl,acc,-0.0009384420888849164,-0.5288692062774635,untrained
