lang,word_ppl,t_stat,p_val,acc0_mean,acc1_mean,acc0_p25,acc1_p25,acc0_p50,acc1_p50,acc0_p75,acc1_p75,word_ppl_trend,byte_ppl,t_stat,p_val,acc0_mean,acc1_mean,acc0_p25,acc1_p25,acc0_p50,acc1_p50,acc0_p75,acc1_p75,byte_ppl_trend,log_word_ppl,t_stat,p_val,acc0_mean,acc1_mean,acc0_p25,acc1_p25,acc0_p50,acc1_p50,acc0_p75,acc1_p75,log_word_ppl_trend,trained
Marathi,True,-5.144677327895306,2.693563745533107e-07,6930405.790048157,9398420.488281457,61647.69732923195,61471.22774127716,244932.67853226338,265612.31720543245,1162016.3792998244,1396560.8287472606,False,True,-6.587857959517479,4.52232459553819e-11,2.2173400721140264,2.250183705800076,1.9486796502579162,1.9526904711757913,2.135719500891704,2.1522204621278913,2.382428331570606,2.438050520723575,False,True,-2.6678700363396457,0.007636726011201311,12.556644529191367,12.634431313922846,11.029191139416817,11.026324429354824,12.408738669828598,12.489792949021464,13.96566722908319,14.149523162841795,False,untrained
Gujarati,True,-5.196908575695149,2.037700229418075e-07,383544.57043759525,509050.55615132814,10089.594168561265,10574.747652939808,31659.627219696216,34196.80212670699,113577.49975809976,134071.6634893374,False,True,-7.542042764419505,4.738995632468108e-14,2.16994257765941,2.2033325710122664,1.9378897504077433,1.9477909483910187,2.101815005341259,2.1190802589176947,2.313564506494893,2.3609262275342484,False,True,-4.694726847126597,2.6797784758196536e-06,10.530399258106403,10.641285742724484,9.219259890485745,9.266224141023597,10.362797549004007,10.439887413611778,11.640240700014175,11.806129738136574,False,untrained
Russian,False,-0.5393869840077632,0.589623131160155,26946.66095212176,28000.647016047806,166.06103810667662,145.67321753308437,505.4414674521093,443.6920043562818,2057.198806833071,1659.590774187044,False,True,6.644130092367454,3.09268074354273e-11,1.781503529624102,1.7535072797264444,1.5163374184181926,1.4943485095943223,1.6686738857567258,1.6433452421760717,1.894287516695495,1.8550791879318393,True,True,6.116690040779355,9.65018897232705e-10,6.643958496145858,6.508108811953607,5.112355419638186,4.981365877039292,6.22543223698934,6.095130637839988,7.629100441036368,7.414326329385081,True,trained
Dutch,False,-1.33805261389779,0.18088757946829206,2407.15774441636,2590.2724551546444,73.71215316391311,64.63373656908074,200.92297246775115,178.66475407038195,665.31968030438,590.4253561439682,False,True,6.349211098094505,2.1894905297194632e-10,2.6867827121582097,2.622595098129338,2.050204890422434,1.989860277815093,2.4296152823770996,2.365827561510025,2.9624447346420197,2.8674448058782103,True,True,5.732735038704501,9.959757089722956e-09,5.581522218970339,5.478316679773284,4.300167686060855,4.1687365093746696,5.302921613057454,5.185511166789572,6.50026764740815,6.380843218546065,True,trained
Telugu,True,-4.1891084559226455,2.807470608116061e-05,50887667.29286874,67801509.05632024,370690.4551639155,387129.6563897334,1613025.5309190624,1826726.4111551559,8180695.992549557,10049228.707480486,False,True,-7.107156539334447,1.207509071310292e-12,2.185456577403798,2.2129260272206053,1.9759736518559357,1.9822595772563445,2.1342374469386707,2.1502288685570323,2.328345202910058,2.3597279188737748,False,True,-5.217272289164678,1.8262385062337937e-07,14.481369582171059,14.633950859578484,12.823122640604812,12.866514939528244,14.293622185202207,14.418035870343,15.917287789139094,16.123006315312832,False,untrained
Portuguese,False,1.9211923614751758,0.05471523071765051,1213.530422403049,1109.8912443411955,54.788529338073424,46.518065328126674,132.7240943528459,116.8683170631795,394.3338990007846,323.4205292539923,True,True,9.474799399372245,2.8274228244514173e-21,2.49264524583792,2.4101903852417292,1.9373294806811243,1.8722576188828413,2.2564191874529262,2.1902008449629133,2.707919763277687,2.59743467284748,True,True,9.138194403291488,6.667738230950247e-20,5.181813937246475,5.029428496238935,4.003480849864084,3.8398407386500777,4.88827249278193,4.761047803438627,5.9771980014243145,5.7789534135298295,True,trained
Catalan,False,-0.8985225435918556,0.36891296358260406,13093.740637313274,13741.195598270442,330.7483017176404,281.5798847271205,895.3945871991771,756.388443206313,3149.4846214047166,2682.259455032897,False,True,6.634961882079238,3.2911993445905325e-11,3.5507966358917358,3.4503949630239683,2.6423096522132647,2.5570248354472405,3.151274540407748,3.0413829812639275,3.936833225819266,3.7966384749380597,True,True,6.921254275232621,4.5504878303521416e-12,7.095802077005917,6.960174094910247,5.801357662316525,5.640416187487151,6.797264500668175,6.628555057494621,8.054994090612364,7.894414721037212,True,untrained
Italian,True,2.155489117827732,0.031130113111589044,1548.2257398201823,1399.089935595841,63.60783231031871,51.92877576062018,158.94068797658582,133.98507526072024,493.0587976976963,386.1257544785673,True,True,10.996293272971748,4.408522897459075e-28,2.5242707681624386,2.425760343476252,1.9460427678069752,1.8800920010291424,2.2815451656144914,2.203729674519351,2.762954226236176,2.6139478458166723,True,True,11.184936534257671,5.388756756963714e-29,5.364243975424225,5.1722895108825515,4.152736612268397,3.949873082778033,5.068531101032839,4.897728415096507,6.200628431912126,5.95616310521176,True,trained
French,False,0.020351147757570177,0.9837633640196135,902.5692464968373,901.7003038646802,45.7619638658914,38.10950994545258,111.13648602028088,92.69740434070856,318.1891734514379,255.57961460033718,True,True,9.978032473107223,2.0363270954705536e-23,2.3408379435833413,2.2609004625423634,1.8276482017146511,1.7641007366682715,2.1298785190757257,2.0543423318373177,2.529005215952878,2.4267086772871136,True,True,10.183603199847063,2.527266026211541e-24,4.979699816262767,4.813576653542527,3.8234531651565797,3.640463821435469,4.710759049755032,4.529340471540179,5.762646087492355,5.5435339609781895,True,trained
Bengali,True,-6.376528570914536,1.833035896383006e-10,293264.34293497907,432282.0916895583,4931.711197624636,5313.892978459522,14839.67794183392,16966.696989079188,56346.8487536091,69524.70511479153,False,True,-8.5915027196213,8.91791631962778e-18,1.9229456553663595,1.9534139831533437,1.7266340454234517,1.7384190237885564,1.8603881419109527,1.8805820721713529,2.041701166801565,2.0801489867448333,False,True,-7.132332457401949,1.0050972247899252e-12,9.8694506274405,10.035892297640347,8.503441305721507,8.578079986572266,9.605059814453124,9.739007701044498,10.939281595164331,11.149437437666224,False,untrained
