acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-266.0129089355469,63,655,655,68.19881067818447,1.5009925338587864
0.0,0.0,-85.19937133789062,10,87,87,5013.738552141758,2.662600079373836
0.0,0.0,-161.85406494140625,31,274,274,185.137514223102,1.8052665720189753
1.0,1.0,-221.86245727539062,46,478,478,124.3495930082998,1.59065741631498
1.0,1.0,-179.7612762451172,37,355,355,128.81958653624397,1.659256801604687
1.0,0.0,-241.4088897705078,36,371,371,817.1335076983797,1.9168779907234248
0.0,1.0,-74.46418762207031,10,84,84,1713.714922176656,2.426569239246297
1.0,0.0,-96.69491577148438,16,138,138,421.3366828114328,2.015138233835858
1.0,1.0,-249.5254669189453,41,381,381,439.6535357665882,1.924993296414416
0.0,0.0,-162.42245483398438,43,421,421,43.69642939206876,1.4707927710065865
0.0,0.0,-127.36463928222656,20,171,171,583.0261060190476,2.1060674735954774
0.0,0.0,-66.95144653320312,8,68,68,4311.0243223135485,2.6766876967463564
0.0,1.0,-152.6453399658203,33,309,309,102.06566315674068,1.6388550601416207
1.0,1.0,-157.78204345703125,19,203,203,4041.285351579874,2.175484602784726
0.0,1.0,-84.8328857421875,9,89,89,12405.264197686662,2.593941390765179
0.0,0.0,-197.91848754882812,35,355,355,285.6633243967451,1.7463307392911316
1.0,1.0,-139.85275268554688,17,206,206,3739.2207418857565,1.9717014647897722
1.0,0.0,-125.68550109863281,19,213,213,746.2244107094307,1.8041197056322167
1.0,1.0,-172.3095703125,33,356,356,185.2121881296324,1.6225770338276084
1.0,1.0,-127.47103118896484,18,155,155,1190.018289056471,2.2759413558422468
1.0,1.0,-107.1190414428711,18,161,161,384.1595103746927,1.9451433207874367
0.0,1.0,-224.55162048339844,42,398,398,209.8655640157304,1.7580408778478407
0.0,1.0,-206.92715454101562,42,446,446,137.94251120375404,1.5903629011598466
1.0,1.0,-96.40121459960938,14,143,143,978.2850041121526,1.9623335814731886
0.0,0.0,-162.40850830078125,27,290,290,409.57905495987444,1.7507238639744105
0.0,0.0,-106.02616119384766,14,127,127,1945.5446219303992,2.3044721843119045
1.0,1.0,-150.8236541748047,38,370,370,52.933877002269526,1.5032531069687176
1.0,0.0,-236.457763671875,48,477,477,137.85513809070713,1.6416774954072273
0.0,0.0,-168.62393188476562,32,306,306,194.3183651353946,1.735088812640676
1.0,0.0,-120.5771255493164,15,148,148,3097.885424584741,2.258521301489047
1.0,0.0,-166.01144409179688,25,243,243,765.4453058875107,1.9801540942251243
0.0,0.0,-91.69215393066406,14,120,120,698.8524037302192,2.147063903956046
1.0,0.0,-130.1411895751953,16,164,164,3407.8073188328062,2.211218760523785
1.0,1.0,-266.3553161621094,54,558,558,138.72670613959087,1.6117801900809323
1.0,1.0,-222.6300048828125,49,512,512,94.01642371723935,1.5446915220125035
0.0,1.0,-175.5304412841797,29,299,299,425.2910837325179,1.798689478179566
0.0,1.0,-195.22476196289062,41,432,432,116.93047881977438,1.5713092219811773
1.0,1.0,-193.94313049316406,35,330,330,254.9920325592701,1.7998556298379504
0.0,0.0,-176.5142822265625,27,255,255,690.6036073138473,1.998132254495204
0.0,0.0,-251.25698852539062,46,433,433,235.59363757284422,1.7865210502223676
1.0,1.0,-70.06234741210938,8,69,69,6360.0621386451985,2.760457258305736
1.0,1.0,-292.86090087890625,53,514,514,251.05633974351684,1.7678573731174339
1.0,0.0,-265.8817138671875,55,563,563,125.73958461211976,1.60361237186886
1.0,0.0,-177.21156311035156,36,351,351,137.35151184596393,1.6567804781705093
1.0,1.0,-209.5572509765625,34,393,393,475.06353744638847,1.704419455067756
0.0,0.0,-161.4981689453125,44,450,450,39.268117519286875,1.4317318850217748
1.0,1.0,-259.88677978515625,58,590,590,88.30586688310177,1.5534621223746412
0.0,0.0,-274.0576477050781,61,539,539,89.36671728934658,1.6627215488472429
1.0,1.0,-226.34097290039062,42,489,489,218.9997927223212,1.588618825084333
0.0,1.0,-204.0338897705078,45,473,473,93.13838885869158,1.5393516005429289
1.0,1.0,-152.81973266601562,42,498,498,38.03721655524756,1.359160096769034
1.0,1.0,-257.33984375,52,464,464,141.01173995982126,1.741264776498164
0.0,1.0,-151.9644775390625,22,214,214,999.7210117179019,2.034223921954903
1.0,1.0,-232.71591186523438,35,342,342,772.0320411875161,1.974777793981321
0.0,1.0,-232.34805297851562,53,477,477,80.15205578096693,1.62759397673156
0.0,1.0,-169.2174072265625,31,323,323,234.7746316091678,1.6885883797313213
1.0,1.0,-183.08181762695312,32,340,340,305.30363342789445,1.7133935467465453
0.0,0.0,-226.0943145751953,38,429,429,383.69592754678837,1.693887823767073
0.0,0.0,-111.99667358398438,17,158,158,726.355542266614,2.0316325998896816
1.0,1.0,-114.74127960205078,19,174,174,419.4795247005713,1.933694924656539
1.0,1.0,-181.67051696777344,46,444,444,51.902090280596056,1.5055643796711438
0.0,1.0,-231.25979614257812,50,512,512,102.0227597147244,1.5709480479950544
0.0,0.0,-168.17230224609375,24,243,243,1104.5345022402569,1.9978409799263432
0.0,0.0,-205.4319610595703,35,344,344,354.0664479887239,1.8169984444645497
0.0,1.0,-230.92750549316406,37,441,441,513.5174094235127,1.6881700593720463
0.0,0.0,-130.18728637695312,17,161,161,2117.6783914446323,2.244800572884432
0.0,0.0,-130.88455200195312,14,125,125,11486.142314073768,2.8493087357911633
1.0,1.0,-153.2130126953125,28,297,297,237.9102045201623,1.67509307284991
1.0,0.0,-150.2506103515625,20,184,184,1830.8406603200535,2.2627466428948035
1.0,1.0,-152.26705932617188,27,318,318,281.327850159672,1.6141802304927777
1.0,0.0,-188.29513549804688,34,323,323,254.19259317122754,1.7913276983810367
1.0,1.0,-166.53994750976562,37,371,371,90.11437189895643,1.5665797459857809
0.0,0.0,-166.73162841796875,39,401,401,71.89235705576192,1.5155669555666944
1.0,1.0,-109.65650939941406,14,123,123,2521.4964011339057,2.4388249283925187
0.0,1.0,-240.553466796875,45,453,453,209.69049190971785,1.7006713851054567
0.0,0.0,-215.49972534179688,56,518,518,46.90899185691248,1.5159201825406587
1.0,1.0,-202.02090454101562,45,499,499,89.06384162817349,1.4990798883144134
1.0,1.0,-196.36688232421875,33,336,336,383.94971196305806,1.7939596020433117
1.0,1.0,-235.72341918945312,39,406,406,421.65617705176436,1.7871095794771559
1.0,1.0,-168.31246948242188,39,371,371,74.8663366601353,1.5740822821911185
0.0,1.0,-99.46733093261719,14,155,155,1217.8098899831148,1.8997545919417078
0.0,0.0,-141.81443786621094,20,205,205,1200.77431875457,1.9972630047538789
1.0,1.0,-196.39500427246094,40,376,376,135.62247502734533,1.6859465199888386
0.0,1.0,-177.75340270996094,33,322,322,218.43025156858957,1.7367737074449587
1.0,0.0,-170.33950805664062,18,197,197,12878.390145545232,2.374216654952022
0.0,1.0,-100.35560607910156,19,198,198,196.73821834609652,1.6600479630406006
0.0,1.0,-234.76654052734375,50,586,586,109.43500490825033,1.4927581195901283
1.0,1.0,-177.0588836669922,39,333,333,93.68811835958103,1.7018371761028506
1.0,0.0,-182.56195068359375,33,309,309,252.69426613808005,1.8054599411752863
1.0,0.0,-216.68670654296875,44,444,444,137.6477486684118,1.6291088097967379
0.0,0.0,-218.61122131347656,28,315,315,2459.082565070728,2.001714127390127
1.0,1.0,-164.19650268554688,36,394,394,95.68044714096239,1.5170116691676752
1.0,0.0,-77.89314270019531,11,90,90,1189.38874078178,2.3761448497353173
0.0,1.0,-191.7449951171875,40,462,462,120.7382377596047,1.514419893365739
1.0,1.0,-174.71728515625,33,339,339,199.2306475647562,1.6742917193001727
0.0,0.0,-109.17723083496094,17,175,175,615.3492846541972,1.8661358274638413
1.0,0.0,-214.78350830078125,42,400,400,166.31657571114923,1.710796019625421
0.0,0.0,-307.9296875,53,554,554,333.6171585864656,1.7433869790037004
0.0,0.0,-151.47901916503906,28,296,296,223.62375404348194,1.6682137498611207
1.0,1.0,-119.21435546875,12,120,120,20630.577984995438,2.7005432655668677
0.0,1.0,-289.2821044921875,64,587,587,91.83861782934567,1.6369168256072055
0.0,0.0,-229.0055389404297,38,380,380,414.24664241680466,1.826946794351867
1.0,1.0,-150.15567016601562,28,285,285,213.30061440125903,1.6936094160086013
0.0,0.0,-285.29449462890625,46,462,462,493.7623018593738,1.8543246341564361
1.0,1.0,-111.81429290771484,13,103,103,5437.634737713815,2.9611439382376767
1.0,1.0,-112.17861938476562,14,144,144,3019.2342767765726,2.17933152566006
0.0,1.0,-217.7200164794922,54,503,503,56.36521185000576,1.5416341267619997
1.0,1.0,-132.10134887695312,25,275,275,197.16756581334678,1.6166701022316052
1.0,1.0,-172.04469299316406,39,389,389,82.38491785648748,1.5562425203938342
0.0,0.0,-165.7965850830078,14,154,154,139053.3873761165,2.934688168583275
1.0,1.0,-216.85020446777344,45,412,412,123.82799092286432,1.6927178758940407
0.0,0.0,-177.69154357910156,49,487,487,37.57571756112769,1.4403263204529395
0.0,1.0,-146.10328674316406,20,197,197,1487.96446961077,2.0993778721007765
1.0,1.0,-263.43328857421875,55,558,558,120.26482135413345,1.6033619887574306
0.0,1.0,-177.265380859375,38,332,332,106.15268090714224,1.7056254393313495
0.0,0.0,-248.9806671142578,55,524,524,92.47341707650048,1.6082617620848314
0.0,1.0,-202.1251678466797,34,377,377,381.78509732035855,1.7093976017498125
0.0,0.0,-114.83436584472656,17,190,190,858.3077316222062,1.8301380463693928
