acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-504.3069763183594,41,414,414,219733.3740272992,3.3808690540856734
0.0,0.0,-716.470947265625,45,633,633,8215856.840012687,3.1014372574747497
0.0,0.0,-361.49468994140625,27,283,283,652582.090885682,3.587180061167291
0.0,0.0,-495.347412109375,40,524,524,238872.52077505697,2.5736354948615765
0.0,0.0,-480.24322509765625,32,419,419,3293959.136806687,3.146105110855788
1.0,1.0,-322.36492919921875,24,276,276,681377.6952528703,3.215519316587223
0.0,0.0,-446.5270080566406,31,388,388,1801440.2360755275,3.1608557701360196
1.0,1.0,-493.9664611816406,31,417,417,8321906.836366343,3.269286774535383
0.0,1.0,-556.5726318359375,38,457,457,2295929.214922778,3.380025387791263
1.0,0.0,-260.06414794921875,14,184,184,116804314.60662442,4.10987292040103
1.0,1.0,-497.76318359375,36,475,475,1011307.9993500429,2.8517204869654758
0.0,0.0,-699.8871459960938,55,705,705,336119.0986115531,2.6986394128081157
0.0,0.0,-273.46734619140625,18,171,171,3963469.531533947,4.949191583277304
0.0,0.0,-322.85394287109375,18,223,223,61609716.99600548,4.253641878437683
0.0,0.0,-668.513916015625,58,774,774,101326.37283871294,2.371951584777012
0.0,0.0,-487.55804443359375,31,427,427,6767747.371710277,3.1324709002231343
0.0,0.0,-479.142578125,24,375,375,468138190.219029,3.588425552957033
1.0,1.0,-437.4813232421875,29,348,348,3561038.844170841,3.515318873958734
0.0,0.0,-203.76724243164062,9,91,91,6804191896.916245,9.385824003915
0.0,0.0,-381.5216064453125,26,311,311,2359376.483539604,3.4101544277307543
0.0,1.0,-514.364990234375,28,485,485,95075153.15431617,2.8879484513544136
1.0,0.0,-396.28582763671875,31,328,328,356259.1857282245,3.347415310356512
0.0,0.0,-240.48248291015625,14,160,160,28841336.40409571,4.495224082525934
0.0,1.0,-450.6211853027344,37,426,426,194648.55980737068,2.880017036641364
0.0,1.0,-590.31787109375,37,473,473,8491167.440828346,3.4834714015980475
0.0,0.0,-548.10400390625,31,458,458,47715856.38328611,3.309289894478063
0.0,0.0,-509.208984375,35,440,440,2081976.2587623822,3.1813102693207256
0.0,0.0,-656.2207641601562,46,595,595,1568560.3562216635,3.012866769463083
0.0,0.0,-489.29754638671875,34,427,427,1778186.0070837194,3.1452579100879436
1.0,0.0,-450.8954772949219,38,490,490,142296.8226261136,2.5097793768779746
0.0,0.0,-607.4717407226562,36,509,509,21299944.39416756,3.298478099750871
0.0,0.0,-392.50006103515625,30,303,303,480861.8856519343,3.6523826643990116
0.0,0.0,-462.45648193359375,35,476,476,547458.72021341,2.642029127821648
0.0,1.0,-467.36920166015625,32,387,387,2202905.1102318233,3.345688010573982
0.0,0.0,-584.8807373046875,42,530,530,1116525.1107307356,3.0148454272433187
1.0,0.0,-295.85015869140625,16,193,193,107245903.38998333,4.631599980933693
0.0,1.0,-416.21868896484375,28,325,325,2856058.7624453334,3.599060679744033
0.0,0.0,-619.4956665039062,37,554,554,18683028.851903096,3.0594134810593947
0.0,1.0,-490.8134460449219,32,505,505,4583255.855007244,2.6429819703828974
0.0,0.0,-185.64894104003906,7,90,90,329643396823.3925,7.86770189522504
1.0,0.0,-642.6663208007812,46,622,622,1168237.7490556478,2.810115529334648
1.0,1.0,-588.3582153320312,33,469,469,55341676.60162732,3.5060678142010673
0.0,0.0,-527.2159423828125,30,523,523,42877799.08469943,2.740282659009419
0.0,0.0,-180.44203186035156,9,102,102,509588783.2811275,5.8652172784464325
0.0,0.0,-975.67529296875,67,905,905,2110251.7381245145,2.9390730613255074
0.0,0.0,-351.5316162109375,24,241,241,2297083.1386275226,4.300096273623464
0.0,0.0,-185.47152709960938,10,88,88,113481763.72622219,8.22872424379228
0.0,0.0,-594.6304931640625,42,616,616,1408264.8262772243,2.625599476969407
1.0,1.0,-497.69195556640625,36,475,475,1009309.0476927303,2.851292892868424
0.0,1.0,-573.6312255859375,38,507,507,3596812.4046995156,3.1000633156087987
1.0,1.0,-562.5618896484375,35,466,466,9560942.299831962,3.344156035503909
1.0,1.0,-334.52154541015625,23,265,265,2072808.5184022777,3.5336999071599378
1.0,0.0,-332.8634033203125,21,247,247,7653229.345143696,3.8482754568316815
0.0,0.0,-493.83746337890625,41,539,539,170214.75440127766,2.4997994463506124
0.0,0.0,-560.662109375,36,516,516,5803359.213719487,2.964043772968969
0.0,0.0,-447.1173095703125,29,331,331,4964575.041911084,3.860541975509124
1.0,0.0,-803.6756591796875,58,768,768,1041817.0211874377,2.8475320769388617
0.0,0.0,-600.146240234375,40,538,538,3280990.7932517594,3.051134405460387
0.0,0.0,-343.3118896484375,26,243,243,542695.3805384454,4.107465330017063
1.0,1.0,-521.0557861328125,31,464,464,19940256.0925925,3.073955154369179
0.0,0.0,-542.1053466796875,49,569,569,63791.44835553461,2.592787298185377
0.0,0.0,-404.22344970703125,37,405,405,55545.517580398024,2.7130747664062396
1.0,0.0,-579.244384765625,45,572,572,389296.8488774567,2.7529278232630414
1.0,0.0,-235.83364868164062,12,116,116,342850159.4625683,7.6373348105561085
0.0,0.0,-576.9013671875,31,414,414,120809021.52531545,4.028852368241655
1.0,1.0,-302.8563232421875,15,186,186,586933186.5828497,5.0950006914051205
