acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-420.39288330078125,41,414,414,28381.27735129,2.7605826074355546
0.0,0.0,-653.2109375,45,633,633,2014332.858828014,2.8064737756710048
0.0,0.0,-294.3297119140625,27,283,283,54236.0145178605,2.8293141082879156
0.0,0.0,-417.3742370605469,40,524,524,34008.16515940438,2.2178000134048665
0.0,0.0,-407.0906066894531,32,419,419,334898.05767374946,2.64210679402731
0.0,0.0,-267.8923034667969,24,276,276,70416.24801021258,2.639591810379312
0.0,0.0,-364.3133544921875,31,388,388,127012.86928966426,2.5572998213732645
1.0,1.0,-428.1645812988281,31,417,417,996257.1510806778,2.792042972996815
0.0,1.0,-480.6343078613281,38,457,457,311224.9555753258,2.862559657645946
1.0,1.0,-194.8892364501953,14,184,184,1110876.3279427085,2.8840069604235605
1.0,1.0,-445.1809997558594,36,475,475,234717.72058186654,2.5528826135157465
0.0,0.0,-640.0414428710938,55,705,705,113223.287449317,2.479012270091196
0.0,0.0,-194.6258544921875,18,171,171,49639.763340357626,3.121029426420234
0.0,1.0,-251.69073486328125,18,223,223,1182118.355527887,3.0915049274058246
0.0,0.0,-581.894287109375,58,774,774,22757.72944673183,2.120817026998947
0.0,0.0,-414.3100280761719,31,427,427,637200.4832159303,2.6386860797383527
0.0,0.0,-397.94915771484375,24,375,375,15890228.281705948,2.8898302226368253
1.0,1.0,-369.140380859375,29,348,348,337384.54784860346,2.888531440399126
0.0,0.0,-134.92373657226562,9,91,91,3241433.6867523645,4.404727622968584
0.0,0.0,-310.76446533203125,26,311,311,155201.48202989466,2.716223927417883
0.0,1.0,-448.4259033203125,28,485,485,9022308.881738001,2.520833224164205
1.0,0.0,-314.4031677246094,31,328,328,25388.146441184457,2.6079024600119554
0.0,0.0,-175.271484375,14,160,160,273591.5941359994,2.990518480872438
0.0,0.0,-373.15887451171875,37,426,426,23989.58332057624,2.401178838144122
0.0,0.0,-514.3819580078125,37,473,473,1090574.392814286,2.9668129128303256
0.0,0.0,-471.1460876464844,31,458,458,3985848.981560765,2.797435901427978
0.0,0.0,-442.2510986328125,35,440,440,307350.99362975097,2.73222455653692
0.0,0.0,-581.1928100585938,46,595,595,307007.1467522312,2.6559293703023075
0.0,0.0,-425.79669189453125,34,427,427,274699.24250526546,2.7106323529143936
1.0,1.0,-369.8578796386719,38,490,490,16866.79365875875,2.127211568417087
0.0,0.0,-500.8716735839844,36,509,509,1102512.3014289385,2.6752177874307566
0.0,0.0,-326.048095703125,30,303,303,52484.32627017384,2.933118884106412
0.0,0.0,-402.56719970703125,35,476,476,98905.48653262411,2.3296764869833164
0.0,1.0,-400.01361083984375,32,387,387,268451.44504189136,2.811243469764958
0.0,0.0,-508.58392333984375,42,530,530,181523.6145434242,2.6106319231754327
0.0,0.0,-217.44898986816406,16,193,193,798557.1907162338,3.0853919637295633
0.0,1.0,-329.8814697265625,28,325,325,130807.36995805182,2.7594183281589295
0.0,0.0,-526.0182495117188,37,554,554,1493614.3013676577,2.584394966652097
0.0,1.0,-424.0946044921875,32,505,505,569751.9618081286,2.3158835922273657
0.0,0.0,-116.40204620361328,7,90,90,16665707.838398539,3.644998919142533
1.0,0.0,-564.8303833007812,46,622,622,215113.56481613012,2.4795756408114995
1.0,1.0,-515.474609375,33,469,469,6079558.938695908,3.001442431878858
0.0,0.0,-451.68621826171875,30,523,523,3458021.8897807235,2.371789602626731
0.0,0.0,-119.77422332763672,9,102,102,602141.0724189419,3.2357381931160436
0.0,0.0,-895.3941040039062,67,905,905,636723.7102140229,2.6895818899307766
0.0,0.0,-279.7330017089844,24,241,241,115328.71692102529,3.1922239899473515
0.0,0.0,-121.4021224975586,10,88,88,187252.31224775576,3.9731910939901196
0.0,0.0,-514.510498046875,42,616,616,209033.53100245836,2.3053772177495184
1.0,1.0,-419.89453125,36,475,475,116277.74703797154,2.420534750023339
0.0,1.0,-498.7347717285156,38,507,507,501119.19002488826,2.6743270393214362
1.0,1.0,-472.4776916503906,35,466,466,728951.6015410807,2.7563314915169754
1.0,1.0,-267.52496337890625,23,265,265,112591.3472725873,2.7443058463540297
1.0,0.0,-252.31651306152344,21,247,247,165226.41932355682,2.7774252913847794
0.0,0.0,-429.18670654296875,41,539,539,35170.693798381704,2.217243508790269
0.0,0.0,-486.4253845214844,36,516,516,738086.4493094038,2.5668638289717842
0.0,0.0,-375.7562255859375,29,331,331,423839.9671928343,3.1118430867178666
1.0,0.0,-716.58544921875,58,768,768,232099.523265182,2.5422613248536043
0.0,0.0,-498.3165588378906,40,538,538,257278.38067822225,2.5249946829121814
0.0,0.0,-257.48065185546875,26,243,243,19992.29032445895,2.8851911662572354
1.0,1.0,-448.11053466796875,31,464,464,1895851.31369754,2.6267713347070543
0.0,0.0,-463.25860595703125,49,569,569,12762.382610507007,2.2572849739125354
0.0,0.0,-332.1011962890625,37,405,405,7908.615452359941,2.270506544145081
1.0,0.0,-524.6466064453125,45,572,572,115706.66027484283,2.502310104304862
1.0,0.0,-162.6429443359375,12,116,116,769563.4574334887,4.063701865522395
0.0,0.0,-503.8451843261719,31,414,414,11445079.551790742,3.3771000013445205
1.0,1.0,-232.3894500732422,15,186,186,5350122.441557928,3.4882690729830084
0.0,0.0,-595.49462890625,42,671,671,1437539.5227848769,2.428984737322581
0.0,1.0,-288.33001708984375,26,297,297,65487.596803732784,2.640077145072472
1.0,1.0,-309.80377197265625,25,283,283,240903.29801663727,2.988324836854549
1.0,0.0,-740.2764892578125,55,676,676,700516.0326677908,2.9894324818646916
1.0,1.0,-329.823974609375,28,325,325,130539.046073471,2.758930208012866
0.0,0.0,-137.09329223632812,10,113,113,899261.5662952745,3.364283373199914
0.0,0.0,-534.58984375,47,661,661,87051.22301621844,2.245120554780148
1.0,1.0,-264.9236755371094,19,218,218,1136372.0620587703,3.3711239937558224
0.0,0.0,-530.5343627929688,37,578,578,1687513.2642127106,2.5039751283052043
0.0,0.0,-230.3846435546875,18,231,231,361908.56070007454,2.711050286175967
0.0,0.0,-763.664306640625,59,839,839,418094.5258829393,2.4848387180101676
0.0,0.0,-318.511474609375,24,263,263,580306.3554099484,3.3570756262236627
0.0,0.0,-406.642333984375,33,412,412,224694.04801178066,2.683162017388572
0.0,0.0,-521.3616943359375,49,682,682,41774.21567425373,2.1478341501356275
0.0,0.0,-458.94134521484375,40,476,476,96137.39357640251,2.6225902907120813
1.0,0.0,-483.873779296875,39,636,636,244512.07714938224,2.1400042801099466
0.0,1.0,-310.30328369140625,23,325,325,723204.3601552498,2.5980972090716015
0.0,0.0,-199.50912475585938,20,215,215,21492.43384069269,2.529317282397958
1.0,0.0,-315.5664978027344,27,321,321,119091.5812882206,2.672657249075803
0.0,0.0,-292.0576477050781,22,281,281,582653.3100188153,2.8273816162989753
0.0,0.0,-283.93878173828125,19,237,237,3091436.437240744,3.3136620302645685
0.0,0.0,-612.78369140625,49,602,602,269895.3635706673,2.7674134423878716
0.0,0.0,-473.1055603027344,40,529,529,136986.68462497875,2.445719695166395
1.0,0.0,-229.34494018554688,16,178,178,1679587.4598248594,3.627177218979088
0.0,0.0,-273.1073303222656,18,220,220,3884984.151424268,3.4604441781229855
1.0,1.0,-421.1524658203125,43,586,586,17930.229946030344,2.0517441057056676
0.0,0.0,-375.318115234375,32,387,387,124081.15434937847,2.637454509977669
0.0,1.0,-559.6472778320312,40,545,545,1192046.2733766134,2.7923282307335535
1.0,1.0,-524.9644165039062,42,556,556,268110.0404468049,2.570706092210967
0.0,0.0,-453.2701110839844,39,463,463,111559.1854893077,2.661753513297082
0.0,0.0,-461.6669921875,46,511,511,22839.32158962429,2.468122920083756
0.0,0.0,-227.41139221191406,21,215,215,50468.96716819911,2.8798188867832204
0.0,0.0,-230.03411865234375,19,229,229,181146.04737112243,2.730584808913806
0.0,1.0,-469.11553955078125,39,504,504,167477.3803137502,2.5364990429061534
0.0,0.0,-647.4794921875,59,840,840,58350.81943985733,2.1615140371406105
0.0,1.0,-531.354248046875,36,467,467,2571089.311088516,3.1199080461782245
0.0,0.0,-579.3807373046875,40,520,520,1952299.4337282323,3.04711038134877
0.0,0.0,-469.20965576171875,41,484,484,93352.50148099377,2.6364714139981738
1.0,0.0,-378.50811767578125,34,423,423,68363.31958183409,2.4468910146030742
0.0,1.0,-283.225341796875,23,249,249,222825.73677595475,3.1188089179771237
1.0,1.0,-579.5576171875,51,586,586,86152.55049623991,2.6885611786086465
0.0,0.0,-258.54052734375,29,304,304,7444.200844049234,2.340728629429997
0.0,1.0,-403.66583251953125,24,382,382,20164005.9308209,2.876910108063333
0.0,0.0,-181.57240295410156,14,157,157,429105.1847971833,3.1788265546708825
0.0,0.0,-753.0680541992188,82,935,935,9737.6662044576,2.2376369563212433
1.0,0.0,-246.67019653320312,19,210,210,434800.2124307109,3.2369126298468562
0.0,0.0,-324.47491455078125,34,371,371,13952.023628849558,2.3979050420510375
0.0,1.0,-791.026123046875,54,822,822,2300488.174765189,2.617759723126398
1.0,0.0,-618.7586669921875,40,774,774,5225006.891724881,2.2242722919294415
0.0,0.0,-509.14752197265625,44,537,537,106036.06915783038,2.580887128355318
0.0,1.0,-357.18603515625,31,403,403,100924.71949040405,2.42617927487593
0.0,0.0,-277.418701171875,18,239,239,4936415.73007593,3.19231929276917
0.0,0.0,-171.87750244140625,14,208,208,214693.0172609014,2.28492715994642
0.0,0.0,-510.4028015136719,51,666,666,22201.12115128987,2.1519417473187237
0.0,1.0,-461.9223937988281,34,512,512,794885.0236113085,2.4650009068580947
0.0,0.0,-672.7607421875,54,860,860,257437.50297418688,2.1864515496763017
1.0,1.0,-330.7044677734375,24,270,270,964488.1488420496,3.403592059854895
0.0,1.0,-199.88540649414062,17,188,188,127767.19372954073,2.895680799580254
1.0,0.0,-698.6454467773438,57,756,756,210436.1714821605,2.5196857436819613
0.0,1.0,-408.9392395019531,31,337,337,535838.6512938715,3.365139954342427
0.0,0.0,-747.2610473632812,63,808,808,141674.36034533734,2.521434609225863
0.0,0.0,-576.5050048828125,48,630,630,164476.16335295964,2.496993253215398
0.0,0.0,-204.88072204589844,19,181,181,48203.93314135222,3.1016607407372128
0.0,1.0,-265.2158508300781,31,334,334,5194.470777207595,2.212359147270919
0.0,1.0,-281.0104675292969,17,232,232,15097315.45772968,3.3576858958102904
0.0,0.0,-407.4115905761719,35,421,421,113587.77434999129,2.6319459908402103
0.0,0.0,-547.4580078125,44,551,551,253274.067028358,2.700863946517094
1.0,0.0,-265.02410888671875,20,234,234,568755.2297307081,3.1036587637195794
0.0,1.0,-297.81353759765625,30,318,318,20478.235534951025,2.551089590967481
0.0,0.0,-262.2056884765625,20,211,211,493996.852073114,3.4648903531914175
0.0,1.0,-187.50961303710938,16,152,152,122927.59651555304,3.4336226679806194
0.0,0.0,-470.2589111328125,44,534,534,43813.73035853308,2.412430305839974
0.0,0.0,-510.9537048339844,38,499,499,691176.2443744313,2.7841853588669006
0.0,1.0,-360.82501220703125,26,300,300,1064360.9019001783,3.329259945450044
1.0,0.0,-182.2602996826172,13,135,135,1226926.7856416053,3.857719840136332
1.0,0.0,-618.6648559570312,47,581,581,520779.5182566509,2.9003390241471685
0.0,0.0,-188.29425048828125,13,144,144,1951625.3857179384,3.697285721742908
0.0,0.0,-634.456298828125,53,775,775,158082.69525743416,2.2674441879959355
0.0,0.0,-278.2660217285156,27,301,301,29916.006569447447,2.520536644415872
0.0,0.0,-440.79620361328125,38,493,493,109086.90041472537,2.4451584987179182
1.0,0.0,-539.125732421875,36,563,563,3190584.8276083707,2.6054217215439914
0.0,0.0,-259.79547119140625,19,249,249,867565.1181876877,2.8387258467458576
1.0,1.0,-363.3437194824219,30,392,392,181944.56214896587,2.5266574003646873
0.0,0.0,-388.2129821777344,40,542,542,16404.722906275223,2.0467642156381975
0.0,0.0,-665.7130126953125,46,647,647,1928054.4879063314,2.798049982871475
0.0,0.0,-458.2044677734375,38,508,508,172475.81622486244,2.464471292693564
0.0,1.0,-326.9467468261719,26,280,280,289200.32062550023,3.214484340122465
1.0,0.0,-270.9560546875,22,263,263,223280.54385873367,2.8017694345676722
1.0,0.0,-341.8901062011719,26,347,347,513815.46849933075,2.678545923095403
1.0,1.0,-612.215576171875,41,546,546,3054380.121267868,3.068761159443877
1.0,1.0,-530.0407104492188,51,727,727,32628.946631198647,2.073171129444705
0.0,0.0,-425.5188903808594,39,508,508,54761.39637557141,2.310896653682997
0.0,0.0,-342.24609375,31,379,379,62329.902938412706,2.4670521936773473
0.0,1.0,-374.4556884765625,29,352,352,405252.3019414439,2.897344331079932
1.0,1.0,-629.3153076171875,58,844,844,51547.754272609214,2.1077778707741186
1.0,0.0,-251.4591522216797,19,244,244,559440.3691275392,2.8026637269061596
0.0,0.0,-516.2613525390625,38,537,537,794783.529655546,2.6153045272854096
0.0,0.0,-338.38909912109375,21,285,285,9956803.305826386,3.2783169718085037
0.0,0.0,-388.9712219238281,30,517,517,427499.07236960507,2.122006559513028
1.0,0.0,-280.585693359375,27,308,308,32599.841879269814,2.486789474626394
0.0,0.0,-491.5904846191406,40,497,497,217458.24095725096,2.688855566747164
