acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-562.6333618164062,49,341,341,96985.1842818467,5.206725772714119
0.0,0.0,-479.5146484375,36,302,302,609169.2029666946,4.892957121966768
1.0,1.0,-404.3006591796875,35,278,278,103927.35299392232,4.281566374161824
0.0,0.0,-282.0071716308594,21,132,132,679364.4004367192,8.469046824900051
0.0,0.0,-412.4874267578125,35,273,273,131315.0990462171,4.531001311597011
0.0,0.0,-419.63995361328125,27,214,214,5622126.3488253215,7.105963511352512
1.0,1.0,-368.16729736328125,21,164,164,41110579.90356276,9.439684376428215
1.0,0.0,-422.89288330078125,30,209,209,1324346.1757615223,7.564081495639971
1.0,0.0,-300.1885986328125,20,152,152,3299989.7871887274,7.206079112798349
0.0,1.0,-368.3724365234375,33,223,223,70460.04614255026,5.216852935602272
0.0,0.0,-476.37744140625,37,240,240,390454.2109720293,7.278363229803664
0.0,1.0,-261.0108337402344,15,97,97,36060990.71196823,14.743957495478146
0.0,0.0,-388.36181640625,32,251,251,186522.42697169984,4.698570120247681
0.0,0.0,-577.043212890625,42,324,324,926458.1154900824,5.935774820834884
0.0,1.0,-515.6257934570312,31,245,245,16736292.308011672,8.20378042390141
0.0,0.0,-313.80926513671875,19,143,143,14891142.222930612,8.975246377875793
0.0,0.0,-324.32281494140625,21,145,145,5095883.264229162,9.36246928841094
0.0,1.0,-477.217041015625,49,361,361,16968.658197899313,3.7506563882774033
0.0,1.0,-413.27838134765625,32,272,272,406341.580894305,4.569509248896827
0.0,0.0,-428.8686828613281,33,247,247,440656.3913395802,5.676361559266725
1.0,1.0,-491.07489013671875,36,265,265,839842.0945453325,6.379647167761564
0.0,0.0,-235.51637268066406,13,93,93,73783379.36562261,12.584100031744546
0.0,0.0,-486.3329772949219,34,258,258,1629707.4805771045,6.586430448343674
0.0,1.0,-378.58428955078125,22,236,236,29751103.977737416,4.973733266724202
0.0,0.0,-407.86651611328125,41,287,287,20909.603031983403,4.141829866008322
1.0,0.0,-375.96673583984375,29,204,204,426927.804316656,6.31529327219467
0.0,0.0,-230.75363159179688,15,95,95,4797355.753764932,11.34736542347231
0.0,0.0,-367.0499267578125,28,209,209,493326.2286760523,5.790506378878511
0.0,0.0,-483.575439453125,36,283,283,681908.7266106692,5.522038777656691
0.0,0.0,-453.61651611328125,31,256,256,2264333.113372795,5.8822510252101265
0.0,0.0,-366.20599365234375,31,216,216,135008.97941994978,5.448814808855286
0.0,0.0,-479.8671875,41,303,303,121064.37935894534,4.873050323232365
0.0,1.0,-385.85723876953125,35,254,254,61358.71760358635,4.568217053347289
1.0,1.0,-556.40185546875,46,330,330,179098.7323600133,5.398203584536577
0.0,0.0,-669.5809326171875,41,326,326,12375660.75028188,7.798483105716563
0.0,1.0,-412.8584289550781,29,273,273,1523464.4613753494,4.537163048565894
0.0,0.0,-377.0623779296875,29,232,232,443366.0310652679,5.079784657249014
0.0,0.0,-361.75006103515625,28,203,203,408254.09319101286,5.941846865099141
0.0,0.0,-478.93267822265625,38,308,308,297595.8188190377,4.7349739639997965
0.0,0.0,-448.05755615234375,34,260,260,528693.1132102123,5.602978284553713
0.0,1.0,-434.9824523925781,36,246,246,176812.63645508426,5.8604204560216395
0.0,0.0,-222.7412109375,13,87,87,27616923.21884521,12.938971502472539
0.0,0.0,-331.4933166503906,26,188,188,344463.3397977741,5.831430404142333
0.0,1.0,-383.37939453125,30,221,221,354801.28495455923,5.66750163305959
0.0,0.0,-175.08261108398438,9,64,64,280932069.85251087,15.420006631404382
1.0,0.0,-590.38037109375,36,269,269,13249293.028112926,8.977510072793386
1.0,0.0,-506.6838073730469,38,271,271,617716.1980791009,6.486233098970275
0.0,0.0,-422.5052185058594,35,290,290,174831.4544875018,4.292694166109907
0.0,0.0,-192.974365234375,8,62,62,29920079714.292274,22.476937012388095
0.0,0.0,-709.6895751953125,54,465,465,510119.1172447859,4.600726106167246
0.0,0.0,-267.44158935546875,16,127,127,18166673.27481892,8.213994009771557
0.0,0.0,-555.4945678710938,43,308,308,407778.05502151494,6.071184899011914
0.0,0.0,-438.50634765625,32,245,245,893876.9137053963,5.988385403740857
0.0,0.0,-205.9290771484375,12,69,69,28367549.569105748,19.776203648118173
0.0,0.0,-533.2020263671875,39,296,296,866178.9707947879,6.057869660996268
1.0,1.0,-463.32647705078125,36,267,267,388551.07917575975,5.670657983580012
1.0,1.0,-484.72894287109375,35,260,260,1034468.5429655173,6.451689844993346
0.0,1.0,-274.3271789550781,18,124,124,4157393.323196622,9.13685248705466
1.0,0.0,-270.0055847167969,21,138,138,383620.3981065675,7.074962959383226
0.0,0.0,-469.5540771484375,32,239,239,2358567.28703608,7.13249719377121
0.0,0.0,-515.994384765625,44,313,313,123889.47398893903,5.199405854313907
0.0,0.0,-482.5900573730469,39,319,319,236594.7486455437,4.53952098451169
0.0,0.0,-378.02349853515625,24,162,162,6927289.060228622,10.31375443061331
0.0,0.0,-812.353515625,53,453,453,4535404.456508387,6.009099290997931
0.0,0.0,-595.9439697265625,46,392,392,423074.55256948335,4.573438042209055
0.0,0.0,-489.8166809082031,35,278,278,1196321.8847189492,5.823669182723238
0.0,0.0,-327.8533630371094,24,153,153,856454.7749676561,8.523545886745449
0.0,1.0,-471.1208801269531,42,314,314,74396.47290797107,4.483414711850732
0.0,0.0,-357.2015380859375,31,242,242,100975.20401060907,4.37558144887257
0.0,0.0,-574.6493530273438,47,388,388,204144.21907595714,4.39758283185287
0.0,0.0,-204.93719482421875,14,98,98,2277003.9023871743,8.09458941925222
0.0,0.0,-370.4681091308594,25,186,186,2727031.9153766935,7.328449954577573
0.0,0.0,-427.98321533203125,36,299,299,145571.49916811942,4.184478109206364
1.0,0.0,-250.33074951171875,14,93,93,58279899.931830846,14.75716148514091
0.0,0.0,-498.748291015625,39,310,310,358046.347161839,4.997138531387854
0.0,1.0,-313.0663757324219,23,162,162,815520.2674985077,6.9068142184864545
1.0,0.0,-358.95013427734375,27,225,225,593890.0128688217,4.929975064453021
0.0,0.0,-594.2952880859375,50,389,389,145205.572933172,4.607803979207732
1.0,1.0,-358.6100769042969,25,196,196,1697051.8135194844,6.231663113064446
1.0,0.0,-176.02569580078125,9,62,62,311967834.07054013,17.100780843335915
0.0,1.0,-493.40631103515625,38,315,315,435555.10769922496,4.789228057710468
0.0,0.0,-278.29058837890625,17,109,109,12865175.053006377,12.84718426554942
0.0,1.0,-472.41925048828125,35,297,297,727735.452048761,4.906874627376181
0.0,0.0,-259.4658508300781,18,118,118,1820768.9877534837,9.01475917625879
0.0,0.0,-475.111572265625,46,351,351,30592.56977230992,3.87131492401502
1.0,1.0,-364.98089599609375,28,184,184,458186.6898768998,7.268804434279912
0.0,0.0,-411.4251708984375,32,241,241,383477.63906863914,5.513272601782997
0.0,1.0,-476.036376953125,36,278,278,553066.0391316275,5.542031155748053
1.0,0.0,-346.505859375,27,194,194,374576.1305855028,5.966214726755754
1.0,0.0,-488.3654479980469,43,361,361,85591.04994572491,3.868291262661809
1.0,1.0,-615.114990234375,56,399,399,58935.343799774935,4.672253855385768
0.0,1.0,-315.1375732421875,23,183,183,892367.7650283239,5.596062591371386
0.0,0.0,-255.76254272460938,23,144,144,67515.36990548627,5.906944950535907
1.0,0.0,-366.666259765625,28,191,191,486612.5805859306,6.819039577439781
1.0,1.0,-431.57086181640625,36,301,301,160826.1898876196,4.194567512230924
1.0,1.0,-380.3042297363281,23,190,190,15172065.671904564,7.400897000431626
0.0,0.0,-421.666748046875,28,208,208,3469519.6604565247,7.5931306824517835
0.0,1.0,-285.09722900390625,18,130,130,7562670.637185517,8.962557376285835
0.0,0.0,-502.2411193847656,36,318,318,1145259.9561406027,4.8519204190145535
0.0,0.0,-453.23236083984375,34,248,248,615606.6935574963,6.218631348447689
1.0,1.0,-511.0525817871094,40,310,310,353738.9690931115,5.199470094247359
1.0,0.0,-190.1306610107422,10,62,62,180829670.8378117,21.469290488311852
0.0,0.0,-251.36021423339844,20,127,127,287221.9990740437,7.237054490605808
1.0,1.0,-435.2098388671875,33,233,233,534013.7866839784,6.4743834676195275
0.0,0.0,-457.92779541015625,38,280,280,171224.60585692426,5.131799678474653
0.0,0.0,-486.5068664550781,38,271,271,363237.5384506825,6.020849061562295
0.0,0.0,-559.5099487304688,47,350,350,147925.9358830755,4.946102306181585
0.0,0.0,-393.8518371582031,33,224,224,152497.6029139759,5.802373918871072
