acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-498.2458801269531,49,341,341,26063.294640950713,4.310834967346823
0.0,0.0,-409.62713623046875,36,302,302,87424.56287835618,3.8821194162305837
1.0,1.0,-339.10333251953125,35,278,278,16133.717946558636,3.3864973601205755
0.0,0.0,-202.2320098876953,21,132,132,15215.892334288414,4.627703223447215
0.0,0.0,-359.05035400390625,35,273,273,28526.29415835909,3.725506299480939
0.0,0.0,-359.8716735839844,27,214,214,614510.0134342413,5.374380623327461
0.0,1.0,-301.6481628417969,21,164,164,1730979.9142908363,6.292245901906367
1.0,0.0,-350.3400573730469,30,209,209,117948.32837715633,5.345570195559657
0.0,0.0,-238.78501892089844,20,152,152,153161.92070793058,4.81123626982925
0.0,0.0,-293.599365234375,33,223,223,7309.6484625405055,3.730674624461087
0.0,0.0,-393.08203125,37,240,240,41103.09420453455,5.144055606630275
1.0,1.0,-196.22854614257812,15,97,97,480173.64417921845,7.560782593562126
0.0,0.0,-322.83233642578125,32,251,251,24064.921345323393,3.618952456396179
0.0,0.0,-491.0626220703125,42,324,324,119607.06517820865,4.552267118906738
0.0,0.0,-442.885498046875,31,245,245,1601784.6458311789,6.09638462103257
0.0,0.0,-240.79299926757812,19,143,143,319117.85052529507,5.386345433331629
0.0,0.0,-259.8533630371094,21,145,145,236562.96030846206,6.001996469975401
0.0,1.0,-408.62762451171875,49,361,361,4185.323482977211,3.1016445718544206
0.0,1.0,-356.0277099609375,32,272,272,67905.06707259444,3.702193212854424
0.0,0.0,-352.00982666015625,33,247,247,42914.47429853988,4.158444136323421
1.0,1.0,-426.2760925292969,36,265,265,138829.60131265997,4.995757380892259
0.0,0.0,-158.97781372070312,13,93,93,204651.25082046623,5.525859811085232
0.0,0.0,-421.261962890625,34,258,258,240399.5794047056,5.118176922286729
0.0,0.0,-314.1897888183594,22,236,236,1593357.5862797243,3.7860098878994295
0.0,0.0,-338.4411315917969,41,287,287,3845.5108967945134,3.2518933381666035
1.0,0.0,-297.6737365722656,29,204,204,28698.82918420658,4.30245152871171
0.0,0.0,-165.78936767578125,15,95,95,63109.368722692074,5.726767518761436
0.0,0.0,-301.26678466796875,28,209,209,47076.44382795765,4.226895795759056
0.0,0.0,-422.613037109375,36,283,283,125398.38531422643,4.451905855407405
0.0,1.0,-399.5505065917969,31,256,256,395824.42436026956,4.7623639178948265
0.0,0.0,-297.76678466796875,31,216,216,14844.432388254336,3.969141914995127
0.0,0.0,-425.70196533203125,41,303,303,32304.91821042143,4.075351421151215
0.0,0.0,-308.34429931640625,35,254,254,6699.827932453334,3.366770358692906
1.0,1.0,-479.7828369140625,46,330,330,33862.43856167922,4.279719134191883
0.0,0.0,-598.841796875,41,326,326,2204249.1443253574,6.277287919339389
0.0,1.0,-341.4854736328125,29,273,273,130009.28627253333,3.493354819337324
0.0,0.0,-309.8341064453125,29,232,232,43648.95868680412,3.8018653889995653
0.0,0.0,-314.251220703125,28,203,203,74851.23446682031,4.702223913857826
0.0,0.0,-403.71875,38,308,308,41117.02842459691,3.7090477122531245
0.0,0.0,-395.65277099609375,34,260,260,113192.61518793028,4.580194327943894
0.0,1.0,-361.4149475097656,36,246,246,22909.434635048743,4.345611360932233
0.0,0.0,-171.38287353515625,13,87,87,531414.6944413901,7.170089137990225
0.0,0.0,-265.1629638671875,26,188,188,26864.89066478874,4.097763336470991
0.0,1.0,-326.8300476074219,30,221,221,53870.31808027666,4.3879800402873
0.0,0.0,-102.39069366455078,9,64,64,87268.40300400711,4.952312248925524
1.0,1.0,-515.22314453125,36,269,269,1642539.396518318,6.789163070465118
1.0,0.0,-425.6943359375,38,271,271,73312.21549491675,4.810628822432785
0.0,0.0,-348.650390625,35,290,290,21193.28641868182,3.3275713922982364
1.0,1.0,-127.50018310546875,8,62,62,8347919.367093859,7.818201697983517
0.0,0.0,-632.4505615234375,54,465,465,122033.0801362728,3.896616975299603
0.0,0.0,-191.5301513671875,16,127,127,158044.90183262888,4.518189805357854
