acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-457.8343505859375,48,704,704,13880.158276572176,1.916178588731513
0.0,1.0,-409.56201171875,42,664,664,17179.57521181235,1.8530079888734516
1.0,1.0,-385.43621826171875,49,776,776,2607.234266978,1.6432831436879964
0.0,0.0,-322.26312255859375,27,368,368,152614.62100750383,2.4005911198215544
1.0,0.0,-363.2677001953125,43,611,611,4666.133442380355,1.8122082951107605
1.0,0.0,-446.5923767089844,41,593,593,53771.3992802042,2.123587498388015
1.0,0.0,-359.1205749511719,32,517,517,74795.87139790786,2.002955692912401
0.0,0.0,-334.1475830078125,37,480,480,8358.345309211049,2.0059962054403457
1.0,1.0,-280.616455078125,20,275,275,1240249.0372475733,2.77436938579486
0.0,0.0,-417.225830078125,38,538,538,58666.67382205855,2.1717052649182653
1.0,1.0,-194.16783142089844,17,237,237,91275.45052373713,2.2688510325640974
1.0,1.0,-341.81671142578125,40,605,605,5143.133410479748,1.759423678236468
0.0,0.0,-399.98150634765625,46,780,780,5974.466821917517,1.6699552054912974
0.0,1.0,-457.510986328125,48,708,708,13786.965307323471,1.9082793231468922
1.0,1.0,-245.70339965820312,21,287,287,120591.23573887747,2.3539844580876053
0.0,0.0,-255.42288208007812,22,268,268,110208.68718126552,2.5936611669475664
0.0,0.0,-398.4989318847656,60,888,888,766.3575718062126,1.5663687751213897
0.0,0.0,-410.3034973144531,39,703,703,37071.45313902908,1.7925631287030412
0.0,0.0,-449.5072021484375,42,714,714,44469.21504921036,1.8767881928140404
1.0,0.0,-458.0701599121094,43,745,745,42310.66312333487,1.8493963250394767
0.0,0.0,-469.2825622558594,39,686,686,168196.16258898508,1.9819582432914833
1.0,0.0,-194.11964416503906,12,173,173,10602888.412975095,3.071232257909143
0.0,0.0,-319.7164306640625,29,558,558,61371.72515177385,1.773523975227727
0.0,0.0,-388.6156005859375,39,676,676,21258.297721077906,1.776908663877893
1.0,0.0,-302.666259765625,29,407,407,34090.27998208286,2.103603326136764
0.0,0.0,-183.43597412109375,12,178,178,4352805.66997821,2.802576521881853
0.0,0.0,-339.9202880859375,37,528,528,9769.639181966839,1.9036791802523072
0.0,1.0,-398.30572509765625,40,651,651,21112.976436919656,1.8438149199419571
1.0,0.0,-381.9598388671875,34,581,581,75668.1724530849,1.929803080860661
0.0,0.0,-265.05218505859375,32,430,430,3955.573132410899,1.8522487294573156
1.0,0.0,-380.17633056640625,38,609,609,22128.912226988305,1.8668700688311464
0.0,1.0,-370.74627685546875,40,684,684,10600.505009667091,1.719488255268326
1.0,0.0,-369.350341796875,44,636,636,4421.905319411859,1.787359750282162
0.0,1.0,-533.5322265625,52,792,792,28573.503781847583,1.9613868532490166
0.0,1.0,-357.6413269042969,33,565,565,50899.886200872694,1.8832396256223898
0.0,1.0,-343.7239685058594,29,449,449,140442.10771837024,2.1501384251200335
0.0,0.0,-396.6736755371094,39,575,575,26137.331200127188,1.993450908602489
0.0,1.0,-430.62725830078125,54,811,811,2906.1337177018977,1.7006032751689242
1.0,0.0,-425.5766296386719,43,674,674,19873.27059859789,1.8802774238036968
0.0,0.0,-463.4920654296875,46,724,724,23763.69953908344,1.896826849480193
0.0,0.0,-217.7068634033203,15,219,219,2010292.7044844015,2.7022783936834105
1.0,1.0,-294.08795166015625,27,385,385,53752.54844432167,2.1465562408063947
0.0,0.0,-364.45062255859375,34,601,601,45212.82016646006,1.8338306416863142
0.0,0.0,-332.2103271484375,36,605,605,10178.822780672082,1.7317076087286236
0.0,0.0,-158.73382568359375,7,100,100,7049769878.864015,4.89071376396423
0.0,0.0,-401.2478332519531,45,721,721,7454.838150063156,1.744583279448293
1.0,1.0,-454.8828125,36,582,582,307316.57388481474,2.1849339264688545
1.0,0.0,-494.2884826660156,49,759,759,24041.09782992093,1.917910807573573
0.0,1.0,-450.166748046875,45,751,751,22108.236539170666,1.8210679230804117
0.0,0.0,-191.69036865234375,11,156,156,36998841.16351672,3.417073265724455
1.0,1.0,-587.8512573242188,55,1012,1012,43835.73707416465,1.7876120680897105
0.0,0.0,-252.34799194335938,26,349,349,16410.75182065209,2.060729711240543
0.0,0.0,-521.7469482421875,50,747,747,34027.999004612124,2.0106467235904404
0.0,1.0,-419.283447265625,47,825,825,7487.007095255294,1.6623335368463226
0.0,0.0,-165.05685424804688,14,173,173,131896.82978552586,2.596296126678338
0.0,1.0,-452.158935546875,45,769,769,23108.974914386123,1.8003534578807974
0.0,1.0,-377.9945983886719,41,593,593,10090.810614289432,1.8916087420149417
0.0,0.0,-495.8426513671875,42,668,668,134024.43506018003,2.100718477197441
1.0,1.0,-405.32318115234375,38,586,586,42890.23703215935,1.9970633640234174
1.0,0.0,-196.1448974609375,17,285,285,102532.50454083356,1.9901852212084663
1.0,0.0,-230.43345642089844,20,231,231,100878.57259906802,2.7116232217505623
0.0,0.0,-483.4635925292969,42,661,661,99811.4232691657,2.0780135100926245
0.0,0.0,-355.59637451171875,42,587,587,4753.233230218576,1.8326921155609264
0.0,0.0,-480.2605895996094,53,824,824,8617.243720155207,1.791118923267899
0.0,0.0,-331.1700744628906,31,477,477,43604.06364387502,2.002260686927337
0.0,1.0,-690.47314453125,70,1261,1261,19223.75561291308,1.7290290146474234
0.0,0.0,-545.07373046875,57,973,973,14224.157432300357,1.7510211049935989
0.0,1.0,-427.6300964355469,40,576,576,43947.56118439487,2.10099987394926
0.0,0.0,-241.7374267578125,21,307,307,99838.18816834844,2.197715316376988
1.0,1.0,-454.7889404296875,42,824,824,50428.31518191479,1.7365985188888349
0.0,0.0,-388.5311279296875,47,692,692,3891.7715458340617,1.7532323958691778
0.0,0.0,-259.80810546875,30,420,420,5769.093158764794,1.856310150412603
0.0,0.0,-492.11761474609375,49,774,774,22999.244061303278,1.888552894971664
1.0,0.0,-190.1873016357422,14,189,189,793975.0048499104,2.735411876507318
0.0,0.0,-352.7508544921875,35,611,611,23827.50447533265,1.7812825538974557
1.0,0.0,-194.90235900878906,16,236,236,195125.34736799687,2.283838210900982
1.0,0.0,-356.1224060058594,40,669,669,7354.444844303648,1.7028792370973818
0.0,1.0,-320.74908447265625,28,485,485,94402.65204651075,1.9373834362504705
0.0,1.0,-334.29742431640625,23,461,461,2052708.343723484,2.0650555001517383
0.0,0.0,-555.9288330078125,50,850,850,67411.8879317108,1.9232835760622342
0.0,0.0,-371.8043518066406,29,503,503,369845.1625616784,2.0942042779779024
1.0,0.0,-160.28164672851562,11,148,148,2128778.275399886,2.9534798919075236
0.0,0.0,-449.05572509765625,47,774,774,14106.304861732444,1.7863516497367
0.0,1.0,-239.32476806640625,19,260,260,295386.6409754101,2.5104948300971808
0.0,0.0,-428.845703125,41,750,750,34879.38673507394,1.7714426495192166
1.0,0.0,-231.48489379882812,22,333,333,37124.80513563575,2.004009314623855
0.0,0.0,-475.78533935546875,57,938,938,4217.978301499178,1.6606910937485504
1.0,0.0,-275.790771484375,27,374,374,27295.38769339874,2.090510887541047
0.0,0.0,-428.2751159667969,36,625,625,146756.64225891102,1.9842483660859382
0.0,1.0,-393.4154052734375,42,687,687,11696.36582036439,1.7729717036134014
1.0,1.0,-345.88995361328125,23,343,343,3397986.592014698,2.7412815245246547
0.0,0.0,-385.6471862792969,38,763,763,25555.559508375267,1.6577070770687103
1.0,0.0,-559.5052490234375,60,1042,1042,11215.89764829358,1.7107865132408924
0.0,0.0,-254.39321899414062,25,339,339,26258.072899440085,2.1178945849550153
1.0,0.0,-299.9832763671875,28,430,430,44967.192247221785,2.00899686717291
1.0,1.0,-415.80902099609375,60,910,910,1022.6477230832728,1.579223057133452
0.0,0.0,-320.0103454589844,31,424,424,30421.788865145918,2.1270613533094704
1.0,1.0,-500.97161865234375,38,646,646,531502.7489154083,2.1716730509031397
0.0,1.0,-238.769775390625,25,361,361,14055.808639518007,1.9375264237088343
0.0,0.0,-511.82379150390625,53,853,853,15631.645088886693,1.8221696228420043
0.0,1.0,-415.35888671875,47,731,731,6887.222220428124,1.7650983502957063
0.0,1.0,-561.1072998046875,52,801,801,48558.522366477155,2.01477693924509
1.0,0.0,-145.0108642578125,10,119,119,1984914.5548895376,3.382376913671094
0.0,1.0,-228.76585388183594,18,262,262,330781.760989637,2.3944465391993943
0.0,0.0,-402.53265380859375,46,794,794,6315.1694376359565,1.6602498080848909
1.0,0.0,-443.3553466796875,38,617,617,116686.48073573849,2.0514896792863073
0.0,1.0,-416.4382019042969,44,739,739,12893.835252653878,1.7568384083710697
0.0,1.0,-483.3719482421875,51,754,754,13067.471610822158,1.8985242131352793
0.0,0.0,-537.9547119140625,61,956,956,6761.024450649984,1.7554305137259016
0.0,0.0,-315.9008483886719,41,622,622,2219.192658069788,1.661763150367481
0.0,0.0,-377.6408996582031,48,746,746,2611.078785972893,1.65901001028677
0.0,1.0,-224.64163208007812,22,287,287,27200.299856713107,2.187421508385637
1.0,0.0,-253.62890625,18,287,287,1316509.9182168196,2.419895632133205
0.0,0.0,-458.7157287597656,52,795,795,6778.128580802675,1.7806899769198838
0.0,1.0,-494.55560302734375,61,995,995,3319.166254093984,1.6438495980249426
0.0,0.0,-367.240966796875,37,488,488,20443.730450959243,2.1223903238015924
0.0,0.0,-524.2163696289062,50,771,771,35750.78094783064,1.9737148354860454
0.0,0.0,-343.5413513183594,30,448,448,94030.86677324235,2.152937897817907
0.0,0.0,-412.9581298828125,44,734,734,11913.315972591947,1.7552534386362597
0.0,0.0,-254.0921173095703,27,383,383,12219.876907192911,1.941432094446931
0.0,0.0,-458.7915954589844,52,736,736,6788.024918346024,1.8651810870649272
1.0,1.0,-251.2190399169922,22,349,349,91039.36450605866,2.054074392644034
0.0,0.0,-395.78948974609375,33,558,558,161719.86700833088,2.032568289885991
0.0,0.0,-252.16282653808594,17,275,275,2766538.4604173573,2.5016630553844825
0.0,1.0,-346.589111328125,40,671,671,5794.866875481746,1.6761948368224673
0.0,1.0,-467.02520751953125,51,741,741,9483.957919600445,1.8781052783010366
0.0,0.0,-396.4720458984375,44,674,674,8190.484362948983,1.8008116083763845
1.0,1.0,-280.4839782714844,19,304,304,2577459.1495116507,2.5159354063749584
1.0,1.0,-348.371337890625,38,577,577,9582.241173852666,1.8289886258165304
1.0,1.0,-414.2602844238281,43,688,688,15274.8062965081,1.8259903665190702
1.0,1.0,-458.4078674316406,55,848,848,4165.903670429871,1.716994391346523
1.0,1.0,-472.5185852050781,47,729,729,23238.993922463505,1.9120455589663934
1.0,0.0,-291.9674987792969,18,327,327,11077389.41158805,2.4421211092446296
1.0,1.0,-206.16598510742188,14,242,242,2485891.220823502,2.344156318556494
0.0,0.0,-333.0389404296875,31,513,513,46313.63211019457,1.9140065482973434
0.0,0.0,-474.89520263671875,42,722,722,81391.70431520637,1.9304431503482609
0.0,0.0,-459.11553955078125,46,711,711,21606.99964746791,1.9073829574091696
1.0,0.0,-307.4261779785156,26,357,357,136500.52891085562,2.365850918033004
1.0,1.0,-181.34210205078125,14,194,194,422104.1186907826,2.5465846369110987
0.0,1.0,-550.5265502929688,55,862,862,22238.351928633594,1.8939448788247442
1.0,1.0,-419.06658935546875,45,634,634,11076.609089034055,1.9367054567271003
0.0,0.0,-485.9765319824219,56,853,853,5873.1850100867505,1.767783138993605
0.0,0.0,-436.41033935546875,54,792,792,3234.6401071587356,1.735027313197497
0.0,0.0,-244.55308532714844,21,277,277,114163.28368014006,2.417812302133697
0.0,1.0,-259.1309814453125,24,329,329,48880.03094312937,2.1981853134244407
0.0,0.0,-284.9643249511719,23,404,404,240326.39528596026,2.024569813025288
0.0,1.0,-424.35223388671875,50,731,731,4851.507099054846,1.7869481343393885
1.0,1.0,-485.6077880859375,53,786,786,9532.011988808594,1.854882985248005
1.0,1.0,-238.63160705566406,23,314,314,32057.526253707827,2.1382190670144956
0.0,1.0,-306.9004821777344,30,404,404,27722.955644205686,2.1375379132314456
1.0,1.0,-240.23756408691406,21,310,310,92956.22888014319,2.1705050537846797
0.0,1.0,-249.9270477294922,19,248,248,516099.6488047348,2.739486115568745
1.0,0.0,-410.14263916015625,45,727,727,9084.099624776525,1.7579664026824042
0.0,0.0,-488.578369140625,50,754,754,17528.2191283137,1.9116790161189954
0.0,1.0,-424.21038818359375,40,651,651,40346.49094907382,1.9186635203246418
1.0,1.0,-174.63780212402344,12,161,161,2090994.1422623675,2.958572372766069
0.0,0.0,-527.49072265625,54,809,809,17471.857382094706,1.9194296552208412
1.0,1.0,-179.7873992919922,11,147,147,12538431.762600366,3.3975124537473795
0.0,0.0,-548.77392578125,52,838,838,38305.345191336884,1.9248758778318027
0.0,0.0,-287.7633972167969,22,351,351,479334.71877657605,2.270133722865074
1.0,0.0,-424.6325988769531,54,731,731,2600.779913786566,1.7876336251518417
0.0,0.0,-393.74755859375,41,681,681,14818.015605064222,1.78280906641261
0.0,0.0,-236.71588134765625,26,305,305,8995.29529743143,2.1730194321144283
0.0,1.0,-319.2354736328125,27,382,382,136425.78695898238,2.306416352000142
1.0,0.0,-367.99127197265625,49,799,799,1826.260949425605,1.584968916285769
0.0,0.0,-578.7781982421875,54,869,869,45166.67351524134,1.946490185791388
0.0,0.0,-475.3453369140625,41,729,729,108422.26084150719,1.9194740507594392
