acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-365.93353271484375,62,339,339,365.82451582607905,2.94306027255087
1.0,1.0,-329.597900390625,58,315,315,293.7480480581944,2.847218466169902
1.0,0.0,-321.32452392578125,50,294,294,618.0012490150654,2.983032968411756
0.0,0.0,-241.96014404296875,23,127,127,37049.35652168958,6.720738098503217
1.0,1.0,-270.94415283203125,45,253,253,411.98262414101106,2.9180789480375493
0.0,0.0,-328.76312255859375,43,242,242,2091.53602034968,3.89045181938948
0.0,1.0,-295.703369140625,34,187,187,5985.875657035177,4.861278354620587
1.0,0.0,-257.80572509765625,40,226,226,629.63678881572,3.1290620555864797
0.0,0.0,-264.15850830078125,23,123,123,97260.91919487041,8.564537648176804
0.0,1.0,-272.0333557128906,38,215,215,1285.3322429828986,3.5440545396650274
1.0,1.0,-206.1398162841797,19,99,99,51506.53722257795,8.022261514716092
1.0,1.0,-288.6674499511719,43,243,243,823.1977987435292,3.2802901957720465
0.0,0.0,-355.9415283203125,53,335,335,825.408068751668,2.8936307393998235
0.0,1.0,-353.1840515136719,51,317,317,1017.5748534551955,3.046962744285204
1.0,1.0,-222.52198791503906,22,117,117,24701.90917886694,6.698591849606101
0.0,1.0,-220.55136108398438,28,139,139,2635.516150743353,4.88759537629786
0.0,1.0,-301.3106384277344,61,362,362,139.70298912118804,2.298713985707193
0.0,1.0,-309.3988037109375,47,286,286,722.6704220528185,2.950026044595781
0.0,1.0,-296.9413146972656,51,272,272,337.77456974525063,2.9793227509784157
0.0,1.0,-338.98712158203125,58,315,315,345.3662832850764,2.933363134707766
1.0,1.0,-327.8018493652344,44,256,256,1719.935434511217,3.5983520403407487
0.0,0.0,-190.91839599609375,12,77,77,8120208.044129133,11.93481415523836
0.0,1.0,-346.1191101074219,43,278,278,3131.5445566758813,3.4730486098674063
0.0,1.0,-267.28228759765625,39,300,300,947.0879770693699,2.4374220859946867
1.0,0.0,-320.5684509277344,43,276,276,1728.6227188189919,3.194657536196896
1.0,1.0,-302.265869140625,34,200,200,7260.272356488987,4.532752385946599
0.0,1.0,-191.1832275390625,15,85,85,343021.5330003147,9.480285592800831
0.0,0.0,-294.39776611328125,36,207,207,3560.711720555977,4.146279518170244
0.0,0.0,-278.8027038574219,40,248,248,1064.2946906340746,3.077767360074456
1.0,0.0,-303.8925476074219,50,318,318,436.0910065331414,2.6003263130243424
0.0,1.0,-287.62030029296875,39,232,232,1595.3995647980364,3.454724358854744
0.0,0.0,-339.340087890625,46,255,255,1598.7197511557151,3.7838629895872513
1.0,1.0,-310.6665954589844,50,287,287,499.36231237034224,2.951938298960282
1.0,0.0,-361.40301513671875,56,303,303,635.0001723427431,3.296130566461963
0.0,1.0,-410.9676513671875,57,353,353,1352.8365238354859,3.2034050103457643
1.0,1.0,-291.1982727050781,42,299,299,1025.8657890317374,2.6482717742067816
0.0,0.0,-308.771728515625,37,211,211,4209.848127398716,4.320508574592987
0.0,0.0,-309.9599609375,40,236,236,2319.2497377023938,3.718757715215343
1.0,1.0,-373.92041015625,62,329,329,416.1202817783236,3.115956604001784
0.0,0.0,-362.44329833984375,47,274,274,2234.0235900843345,3.7538641909957366
0.0,1.0,-310.2880859375,58,331,331,210.5650402334347,2.5534011160885948
0.0,1.0,-188.331298828125,16,92,92,129405.5016496809,7.7452467690760605
1.0,0.0,-228.2105712890625,31,175,175,1574.4028427506255,3.6842257954958892
0.0,0.0,-344.267578125,44,276,276,2500.542879805799,3.4810929046916335
0.0,1.0,-307.8074645996094,52,293,293,372.1787759057803,2.8591872949404142
0.0,0.0,-144.93565368652344,12,62,62,175952.8148343501,10.357095430322998
0.0,0.0,-328.4013977050781,55,305,305,391.871705262679,2.935054124349627
1.0,1.0,-396.2376708984375,42,263,263,12509.332684679675,4.511398137028459
1.0,1.0,-378.1775817871094,50,301,301,1926.6762282435893,3.512766579160763
1.0,1.0,-307.58795166015625,46,291,291,801.6680354623558,2.87773426305789
0.0,0.0,-151.4025115966797,10,70,70,3761209.5770914736,8.696259779408182
1.0,1.0,-417.7917175292969,53,386,386,2651.451738671998,2.9516429942309466
0.0,0.0,-275.7298583984375,26,161,161,40335.79446272237,5.543398809370638
0.0,0.0,-349.7163391113281,57,299,299,461.9119878174444,3.2207680734796558
0.0,1.0,-267.199951171875,49,283,283,233.47154996580497,2.570677386702541
0.0,1.0,-161.91842651367188,13,60,60,256597.39470495094,14.859515610604044
0.0,1.0,-406.8600158691406,52,341,341,2500.462701688934,3.2974118617720447
1.0,1.0,-341.87225341796875,39,227,227,6412.184040608371,4.508863694102943
0.0,1.0,-340.364013671875,45,271,271,1926.8556342780487,3.511192663759163
1.0,1.0,-335.59228515625,42,272,272,2952.160351090567,3.434238340028257
0.0,0.0,-222.5311737060547,18,124,124,233945.38827691603,6.01710495741241
1.0,1.0,-250.17123413085938,26,148,148,15092.761597913473,5.421357127085849
0.0,0.0,-343.6619873046875,45,265,265,2073.375120025757,3.6577115340818733
1.0,0.0,-331.67108154296875,48,279,279,1002.0610408605719,3.2830906120038494
0.0,1.0,-336.14453125,50,314,314,831.2167781200276,2.91690751502633
1.0,1.0,-267.8426513671875,34,197,197,2637.864692362454,3.8946638293591977
0.0,1.0,-493.884765625,86,503,503,311.95099617080683,2.6694654908539444
0.0,0.0,-443.9932556152344,71,415,415,519.7906505550318,2.9149808973105023
1.0,1.0,-309.06121826171875,47,292,292,717.4983165169365,2.881839569537567
