acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-296.2776794433594,62,339,339,118.94631407465204,2.396418798292039
0.0,1.0,-271.822998046875,58,315,315,108.48407788423499,2.370095269711835
1.0,1.0,-261.6265563964844,50,294,294,187.26619886156956,2.4348526619064814
0.0,0.0,-170.83596801757812,23,127,127,1681.8518943779711,3.838820287110752
1.0,1.0,-227.26864624023438,45,253,253,156.0871274902636,2.4554131699739443
0.0,0.0,-304.125244140625,43,242,242,1179.3044520990277,3.5138625881163335
0.0,1.0,-260.25152587890625,34,187,187,2110.028310117164,4.021759082885259
0.0,0.0,-223.08367919921875,40,226,226,264.30189196402216,2.683430264860072
0.0,0.0,-193.74200439453125,23,123,123,4553.108240316069,4.8314095003435185
0.0,0.0,-246.77798461914062,38,215,215,661.2668665898299,3.1512669540980767
0.0,0.0,-150.87625122070312,19,99,99,2809.7627478844793,4.590562371461111
1.0,1.0,-240.88621520996094,43,243,243,270.96915762005466,2.6947388477482805
0.0,0.0,-313.8338317871094,53,335,335,372.9308644957169,2.5518469939074504
1.0,1.0,-356.89324951171875,51,317,317,1094.3401448545062,3.0828244715146482
1.0,1.0,-157.10638427734375,22,117,117,1262.942109174709,3.8297120178668074
0.0,1.0,-178.91986083984375,28,139,139,595.8536182848493,3.622604504254648
0.0,1.0,-281.9959411621094,61,362,362,101.7871920477595,2.17927948914141
0.0,1.0,-248.06756591796875,47,286,286,195.98405765032103,2.380639410801289
0.0,0.0,-280.1544494628906,51,272,272,243.03962582195638,2.801008675650443
0.0,1.0,-302.89276123046875,58,315,315,185.35798081187522,2.615785203229387
1.0,1.0,-278.1800537109375,44,256,256,556.8377740117621,2.9642997566945932
0.0,1.0,-128.19056701660156,12,77,77,43588.43977404658,5.284682588917331
0.0,0.0,-278.6275939941406,43,278,278,651.7828721153828,2.724425369643733
0.0,1.0,-236.4844970703125,39,300,300,429.96553447217207,2.1996134863377863
0.0,0.0,-284.775634765625,43,276,276,751.9645490335055,2.806100446653492
1.0,1.0,-231.4823455810547,34,200,200,905.3343127101084,3.181687536545677
0.0,0.0,-136.3682098388672,15,85,85,8876.95604288697,4.9745349082284465
0.0,0.0,-242.25909423828125,36,207,207,836.6612626030675,3.2230682824195016
0.0,0.0,-232.97470092773438,40,248,248,338.44700548844986,2.558482007107764
1.0,0.0,-263.5854797363281,50,318,318,194.74861922266342,2.2907634731782056
0.0,0.0,-240.93887329101562,39,232,232,481.9882942535889,2.8250600648166615
0.0,0.0,-309.0748291015625,46,255,255,828.0040320069469,3.360393745733196
1.0,1.0,-289.376708984375,50,287,287,326.20766236508365,2.740885973079132
