acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-379.26507568359375,56,312,312,873.5720733906171,3.3722938864972436
1.0,1.0,-321.0165100097656,51,296,296,541.5532354778046,2.958005538064099
1.0,1.0,-313.1608581542969,55,291,291,297.0301903431363,2.933376509140738
0.0,0.0,-256.2696838378906,26,131,131,19082.487363280856,7.072804862014553
1.0,1.0,-306.22857666015625,49,277,277,517.7863932570967,3.0207898208997035
1.0,0.0,-314.2663269042969,40,243,243,2582.8744163314095,3.644710962920961
1.0,0.0,-291.765625,26,155,155,74738.8119911947,6.568981981634812
0.0,0.0,-345.0290222167969,41,223,223,4515.819724960394,4.698368619667339
0.0,0.0,-256.2842712402344,21,119,119,199588.4780916544,8.616244683219689
0.0,1.0,-294.9005126953125,38,223,223,2346.170744710178,3.7525057759286806
0.0,0.0,-341.00506591796875,43,250,250,2780.400803421688,3.9118885545727418
1.0,1.0,-201.48780822753906,20,97,97,23727.509950658474,7.982039053039762
1.0,1.0,-280.19256591796875,39,227,227,1318.7304429546343,3.436070370337726
0.0,0.0,-394.44525146484375,53,319,319,1706.778978961984,3.4435588653546145
1.0,1.0,-378.8945617675781,45,276,276,4536.355205310044,3.9464103091092246
1.0,0.0,-218.9102783203125,21,116,116,33667.8605239482,6.600580315294452
0.0,0.0,-235.7895965576172,27,150,150,6203.990671400002,4.8159370827948145
0.0,1.0,-315.13507080078125,57,364,364,251.81267367355952,2.3768015302957437
0.0,1.0,-316.57476806640625,42,255,255,1877.120960001735,3.4606958400534227
0.0,1.0,-329.8811950683594,48,283,283,965.3829840395807,3.2080328600314107
0.0,0.0,-340.0407409667969,53,317,317,611.4682529562124,2.923214086366772
1.0,1.0,-357.0831298828125,36,226,226,20312.176851130513,4.855023048175357
0.0,0.0,-184.77088928222656,12,69,69,4864984.5937855,14.553608578051
0.0,1.0,-309.67913818359375,38,221,221,3461.4782089337973,4.060325199090287
0.0,1.0,-268.8318786621094,26,272,272,30936.36528093255,2.686804300685511
1.0,0.0,-328.99102783203125,42,257,257,2522.7874755828243,3.597073977203872
0.0,0.0,-294.9046630859375,30,170,170,18585.842913290468,5.667416171894501
0.0,0.0,-161.82089233398438,13,71,71,254679.44343237628,9.768544687201478
0.0,1.0,-302.749755859375,37,206,206,3577.522619196458,4.347752343960817
0.0,0.0,-325.7039794921875,48,271,271,884.9220594874381,3.3262970987476517
1.0,0.0,-354.2241516113281,39,289,289,8801.439390004365,3.406512722245122
0.0,1.0,-263.7522277832031,30,191,191,6579.6769416920015,3.9784874769229983
0.0,0.0,-349.7734375,42,245,245,4137.880536794453,4.168876952842072
1.0,1.0,-292.3165588378906,50,288,288,345.96277299104776,2.7593304273761374
1.0,0.0,-303.92034912109375,56,292,292,227.49973907063927,2.8315467395504514
0.0,1.0,-413.95050048828125,50,324,324,3940.291600236326,3.588107847250834
1.0,1.0,-259.5212097167969,40,266,266,657.227508836286,2.652874172245296
0.0,0.0,-320.2598571777344,31,199,199,30667.634748958266,4.999540538783824
1.0,1.0,-313.91015625,36,212,212,6122.504736818921,4.396058237084773
0.0,1.0,-343.08544921875,49,299,299,1098.5472033202034,3.1501276441714903
1.0,0.0,-393.2123107910156,41,251,251,14625.826241280058,4.790251482057207
0.0,1.0,-325.4744873046875,56,318,318,334.30187968361616,2.782930967191478
0.0,1.0,-230.96127319335938,16,85,85,1858127.047377017,15.137747355649868
0.0,0.0,-256.0543212890625,34,189,189,1864.987164368903,3.8759266462184496
1.0,0.0,-341.7091064453125,47,276,276,1437.1345584063931,3.4489728863905795
1.0,1.0,-277.7699890136719,30,234,234,10498.625615213276,3.277402654600605
1.0,1.0,-145.1727294921875,7,62,62,1015819340.7066728,10.396774740777621
1.0,1.0,-383.2165222167969,59,337,337,661.953486782122,3.1178417494412773
1.0,1.0,-399.094482421875,39,239,239,27811.137723228625,5.311378419289925
0.0,0.0,-391.1388854980469,56,299,299,1079.8991707273458,3.6993488130417367
1.0,1.0,-351.73931884765625,47,307,307,1779.0153118568946,3.144738315856169
1.0,0.0,-152.50460815429688,11,66,66,1049742.324474222,10.081236070084447
1.0,1.0,-438.88128662109375,52,392,392,4628.669508984695,3.0636135530228037
0.0,1.0,-257.71771240234375,27,153,153,13976.050418960585,5.389375377802338
0.0,0.0,-400.0593566894531,54,291,291,1649.9604639419415,3.9541846437145893
0.0,1.0,-320.2157287597656,43,271,271,1714.501099191729,3.2596109742381785
0.0,0.0,-162.9996795654297,15,70,70,52399.13195155916,10.263222260717292
0.0,1.0,-410.22271728515625,42,326,326,17451.965447953477,3.5196160026843426
1.0,1.0,-329.6368103027344,34,221,221,16239.475282805333,4.44406401899442
0.0,1.0,-336.8283386230469,50,275,275,842.6627110825816,3.403588520603562
1.0,0.0,-203.6564483642578,18,110,110,81981.35573818917,6.368871261313666
1.0,0.0,-247.10110473632812,23,139,139,46329.13430762846,5.91626767323574
1.0,0.0,-357.59033203125,39,273,273,9594.86052957468,3.7056352297835056
1.0,0.0,-318.1555480957031,38,261,261,4326.501053608189,3.383757486103983
1.0,1.0,-318.86376953125,42,271,271,1982.2632226353935,3.24338998912491
1.0,1.0,-286.6593322753906,32,177,177,7770.611447255082,5.050787896080713
0.0,1.0,-473.23577880859375,71,419,419,784.6930790883723,3.0939265103045925
0.0,0.0,-384.8858642578125,65,383,383,372.9039905722771,2.7316994578950613
1.0,1.0,-364.595703125,41,252,252,7277.757987437284,4.249529817900952
0.0,0.0,-273.4649963378906,21,131,131,452318.87364738184,8.06488180375262
1.0,1.0,-440.22216796875,44,319,319,22137.96466936252,3.974928641575612
0.0,1.0,-330.32061767578125,50,344,344,739.8240247420467,2.612308605902532
0.0,0.0,-247.23776245117188,36,215,215,960.7513394773445,3.158013154154665
0.0,1.0,-407.9109191894531,55,341,341,1663.3055010153666,3.307589592659665
1.0,0.0,-183.65786743164062,15,72,72,207701.62399433771,12.817401173003496
0.0,1.0,-256.06634521484375,33,204,204,2343.9345281533833,3.508635384103323
0.0,1.0,-321.6844482421875,42,329,329,2119.9621835861376,2.658505918915273
1.0,1.0,-199.207275390625,16,86,86,255366.41438425423,10.138739363751492
0.0,1.0,-284.35736083984375,47,282,282,424.17945712057195,2.7411003725476824
0.0,1.0,-259.084716796875,26,186,186,21264.55327365685,4.026625116073641
1.0,0.0,-240.24398803710938,31,220,220,2321.122225775525,2.980282597632518
1.0,1.0,-438.49737548828125,60,411,411,1492.6220111972689,2.906366251285391
1.0,1.0,-267.404052734375,31,205,205,5574.384490712447,3.685514048014721
0.0,0.0,-149.98019409179688,9,56,56,17269733.354584698,14.559122187619664
0.0,1.0,-316.4034423828125,55,324,324,315.06843257650013,2.6552898882493112
0.0,0.0,-239.06675720214844,17,92,92,1280486.220657271,13.44425273419757
0.0,1.0,-297.9349365234375,40,282,282,1717.0679124506228,2.876306101046768
0.0,1.0,-245.451171875,24,148,148,27643.120278171522,5.251185517770335
0.0,0.0,-398.07208251953125,54,329,329,1590.3433763123696,3.353302025316077
0.0,0.0,-280.52752685546875,29,157,157,15888.692870628971,5.9703140703003585
1.0,1.0,-355.97613525390625,37,263,263,15077.768127961057,3.8710331174192847
0.0,1.0,-352.82586669921875,52,317,317,884.5798806250871,3.043521862791802
1.0,0.0,-315.9132080078125,40,315,315,2691.4361104542622,2.726173760140682
1.0,1.0,-352.627685546875,50,361,361,1155.8065731154984,2.65596483901698
0.0,1.0,-226.86871337890625,31,185,185,1507.7075431672158,3.4086535829543085
0.0,1.0,-238.3435821533203,21,118,118,84939.4890352911,7.5372761671065085
1.0,1.0,-304.3099365234375,35,217,217,5970.402442719087,4.064740640527579
1.0,0.0,-359.2611999511719,64,348,348,274.089925894086,2.807683510778541
0.0,1.0,-271.9813232421875,30,182,182,8656.312547719028,4.456674566165837
1.0,1.0,-341.5066833496094,32,214,214,43134.73442572317,4.932399694757338
0.0,1.0,-227.24560546875,25,139,139,8864.627679961324,5.128742338801769
0.0,0.0,-359.06317138671875,55,328,328,684.3170255834036,2.988300379442627
0.0,0.0,-364.37255859375,47,295,295,2327.6341155846762,3.4389328855501313
1.0,1.0,-386.65087890625,48,341,341,3150.2170804703155,3.107670919614497
1.0,1.0,-156.752685546875,11,56,56,1544551.5088283743,16.43075854135519
0.0,1.0,-210.25485229492188,17,110,110,235139.08942560476,6.762602141321517
0.0,0.0,-331.9471740722656,63,347,347,194.22218030374447,2.6028840966612177
1.0,1.0,-296.1350402832031,42,236,236,1153.820965468481,3.507170169265264
0.0,1.0,-323.6327209472656,45,274,274,1328.5431478202593,3.258090596941067
0.0,1.0,-379.50811767578125,47,281,281,3211.9734257747637,3.8595967007806005
0.0,0.0,-401.32489013671875,64,399,399,528.8481863713552,2.7341669267887156
1.0,1.0,-299.362060546875,41,239,239,1482.5423126409444,3.4992929114666698
0.0,0.0,-345.2679443359375,53,322,322,674.8493736160704,2.9219777442829855
0.0,0.0,-206.04652404785156,21,103,103,18246.69488419731,7.392394413975726
1.0,0.0,-197.68203735351562,21,113,113,12251.827030116043,5.751142672111652
1.0,0.0,-403.2940673828125,63,347,347,602.7443438200779,3.197057136206003
0.0,1.0,-385.0838317871094,68,365,365,288.0106694874119,2.872044646997279
0.0,0.0,-325.6343688964844,41,212,212,2813.8295969954365,4.646021091455992
0.0,0.0,-466.9111328125,45,257,257,32074.06220181434,6.151985257629157
0.0,0.0,-368.99505615234375,38,226,226,16488.13342085983,5.117783767338888
1.0,0.0,-317.0904541015625,47,289,289,851.1644953404046,2.995762538855013
0.0,1.0,-266.7005615234375,24,164,164,67005.05858622043,5.084633418366734
0.0,0.0,-381.01959228515625,55,330,330,1020.0724678222897,3.172769370961899
1.0,1.0,-275.286865234375,30,173,173,9664.637081264318,4.909899908026843
0.0,1.0,-351.733154296875,46,249,249,2093.040179814,4.106548723029976
0.0,0.0,-210.28091430664062,18,123,123,118453.17538485552,5.5267554714255205
0.0,0.0,-280.69647216796875,40,242,242,1115.894722929817,3.1896231580746575
0.0,0.0,-285.25244140625,53,298,298,217.48318473285852,2.604453743282244
0.0,1.0,-360.43304443359375,39,230,230,10320.349803970807,4.79273003235003
1.0,0.0,-276.5040588378906,25,136,136,63586.874580881784,7.637864738992949
0.0,1.0,-258.5302734375,37,223,223,1082.7990577043797,3.187792211367449
1.0,1.0,-345.36962890625,50,303,303,999.6373649108673,3.1262486105597858
1.0,0.0,-404.7276611328125,52,356,356,2400.000566923386,3.117013876400769
0.0,0.0,-365.7476806640625,50,270,270,1502.6020936434431,3.875292095686932
0.0,1.0,-295.1798095703125,41,224,224,1338.7713247617683,3.7350716694570125
1.0,0.0,-244.57455444335938,20,125,125,204582.73037501302,7.0752051214977625
1.0,0.0,-186.84762573242188,16,98,98,117945.34383171776,6.730223992828498
1.0,1.0,-359.9770812988281,43,297,297,4322.373839511529,3.360346335743255
0.0,0.0,-351.5352478027344,43,361,361,3551.901315734901,2.64793965751888
