acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-413.9501953125,56,312,312,1622.8964655153595,3.768825620806801
1.0,1.0,-326.29656982421875,51,296,296,600.625707304264,3.0112439819814156
1.0,0.0,-370.8605651855469,55,291,291,848.0328447089515,3.5766797713634206
0.0,0.0,-273.6695556640625,26,131,131,37262.850378667485,8.077485128300228
1.0,1.0,-331.01947021484375,49,277,277,858.7685050622987,3.3036110836141015
1.0,0.0,-373.99627685546875,40,243,243,11497.753200418403,4.6602976925719775
1.0,0.0,-303.4554443359375,26,155,155,117167.90185884158,7.083563216231135
0.0,0.0,-342.1554260253906,41,223,223,4210.153106278508,4.638213472825816
0.0,0.0,-232.91021728515625,21,119,119,65575.84743969336,7.079680054781988
0.0,1.0,-326.37457275390625,38,223,223,5371.188827537797,4.321329486953269
0.0,0.0,-415.1418762207031,43,250,250,15591.204773760439,5.26229637610312
1.0,1.0,-207.97592163085938,20,97,97,32820.0891687426,8.534200393744388
1.0,0.0,-293.71405029296875,39,227,227,1865.2110602161838,3.6469620088742176
0.0,0.0,-415.8166809082031,53,319,319,2554.4641458365704,3.682163794833765
0.0,1.0,-388.9215087890625,45,276,276,5668.615547058842,4.092417623496101
1.0,0.0,-229.3785400390625,21,116,116,55425.08792757699,7.2239450336499775
0.0,1.0,-299.27734375,27,150,150,65143.38645505955,7.353543395399623
0.0,1.0,-353.498291015625,57,364,364,493.5994724365133,2.6409775986756685
0.0,1.0,-332.6558837890625,42,255,255,2752.81192232168,3.6859668938108627
0.0,0.0,-377.8287353515625,48,283,283,2621.3165918010586,3.800314667345588
0.0,1.0,-377.08197021484375,53,317,317,1229.9811892994642,3.285546594348856
1.0,1.0,-394.4747009277344,36,226,226,57390.30016331428,5.728554776693073
0.0,0.0,-180.8277587890625,12,69,69,3502473.1775907893,13.745234144578275
0.0,1.0,-356.2073974609375,38,221,221,11776.707047346705,5.011815268715029
0.0,1.0,-298.4373779296875,26,272,272,96602.5762986602,2.9957548675227246
1.0,0.0,-329.3288879394531,42,257,257,2543.1633501117685,3.601805911021114
0.0,0.0,-314.2664489746094,30,170,170,35438.29517976923,6.351088213576802
0.0,1.0,-175.0967254638672,13,71,71,707136.419588527,11.777030455502203
0.0,1.0,-312.36248779296875,37,206,206,4638.88539519075,4.555442883976344
0.0,1.0,-342.96051025390625,48,271,271,1267.7648018468008,3.544995668800364
1.0,0.0,-389.8519287109375,39,289,289,21942.996472544088,3.853449077184128
0.0,1.0,-299.638671875,30,191,191,21762.764309130973,4.800830184122131
0.0,0.0,-374.88427734375,42,245,245,7523.721141735349,4.618822985191829
1.0,1.0,-312.56121826171875,50,288,288,518.647449989137,2.960274521700283
1.0,0.0,-356.51837158203125,56,292,292,581.9587055414594,3.390418371962268
0.0,0.0,-500.9422607421875,50,324,324,22445.495223587328,4.693216126534614
0.0,1.0,-274.5401916503906,40,266,266,956.7142822749257,2.8069710495045235
0.0,1.0,-327.5428466796875,31,199,199,38789.24436093375,5.185902846633855
1.0,1.0,-332.8541259765625,36,212,212,10362.491133329147,4.806968480859557
0.0,1.0,-386.93060302734375,49,299,299,2687.97370418356,3.647646935047255
0.0,0.0,-406.45849609375,41,251,251,20203.716587492247,5.04983999255351
0.0,1.0,-387.5803527832031,56,318,318,1013.4115885280113,3.3831463213957362
0.0,1.0,-199.16082763671875,16,85,85,254626.16459778394,10.41314093970325
0.0,0.0,-312.242919921875,34,189,189,9736.28874631832,5.217816093114464
1.0,0.0,-348.0272521972656,47,276,276,1643.9138196971655,3.5288368241163215
1.0,1.0,-307.54046630859375,30,234,234,28320.717330484335,3.722053369490071
0.0,0.0,-138.59799194335938,7,62,62,397105733.63492495,9.350702582186772
1.0,1.0,-441.7430114746094,59,337,337,1784.9928453712496,3.7091773855443564
1.0,1.0,-423.6898193359375,39,239,239,52252.42192760788,5.8870837155804905
1.0,0.0,-417.67291259765625,56,299,299,1734.4486619975848,4.042645778279763
1.0,1.0,-387.9901123046875,47,307,307,3847.230325583907,3.538884062024426
1.0,0.0,-151.97274780273438,11,66,66,1000193.8065169078,10.000322984780599
0.0,0.0,-512.3689575195312,52,392,392,19020.05414941848,3.695307114342209
0.0,1.0,-248.680419921875,27,153,153,10000.45552093689,5.080258884012075
0.0,0.0,-428.14093017578125,54,291,291,2775.3599902858473,4.354782533449101
0.0,0.0,-408.5758972167969,43,271,271,13383.328258998205,4.516151248087139
0.0,1.0,-185.9829864501953,15,70,70,242526.37912642502,14.252036466464782
0.0,0.0,-457.2120361328125,42,326,326,53423.22525726729,4.065313689385072
1.0,1.0,-330.76654052734375,34,221,221,16788.13494442455,4.46683980055911
0.0,1.0,-374.9051208496094,50,275,275,1804.614757053741,3.9090381588013905
1.0,0.0,-184.25257873535156,18,110,110,27896.440365009246,5.338920308174641
1.0,1.0,-237.77688598632812,23,139,139,30888.075358236405,5.532418595920937
0.0,0.0,-388.28759765625,39,273,273,21080.258124933574,4.1466421759899585
1.0,0.0,-355.575927734375,38,261,261,11582.623225447882,3.905398693849562
0.0,1.0,-355.1611633300781,42,271,271,4704.233723797893,3.70824158615489
1.0,1.0,-322.46893310546875,32,177,177,23793.177515345007,6.183338766887994
0.0,1.0,-584.1945190429688,71,419,419,3744.6813947779424,4.03198574513198
0.0,1.0,-430.6305847167969,65,383,383,753.7689726377383,3.0782518047809453
0.0,1.0,-392.4642333984375,41,252,252,14361.386280350838,4.7464537087569685
0.0,0.0,-262.0008544921875,21,131,131,262034.42475184257,7.389104296726847
1.0,1.0,-437.81353759765625,44,319,319,20958.669799861542,3.9450287055648396
0.0,1.0,-354.50244140625,50,344,344,1199.9663912893427,2.802551782161498
0.0,0.0,-295.25213623046875,36,215,215,3646.227055833314,3.948223575008396
0.0,1.0,-419.1236572265625,55,341,341,2039.4391679951586,3.418157400480422
1.0,0.0,-181.85769653320312,15,72,72,184212.71627027303,12.500908738414077
0.0,1.0,-325.6424865722656,33,204,204,19301.809723489994,4.934674429040895
0.0,1.0,-335.01898193359375,42,329,329,2912.1369186847364,2.768469880635675
1.0,1.0,-206.96954345703125,16,86,86,414818.5464241452,11.09642071642242
0.0,1.0,-328.8839111328125,47,282,282,1093.9278433655022,3.2099488550766533
0.0,1.0,-268.43365478515625,26,186,186,30466.14475021962,4.234188500523789
1.0,1.0,-270.5477600097656,31,220,220,6169.339723102924,3.4204172463818683
1.0,0.0,-484.80181884765625,60,411,411,3229.331129516843,3.2529636372730164
1.0,1.0,-266.2408142089844,31,205,205,5369.088112228012,3.664660430500855
1.0,1.0,-149.47691345214844,9,56,56,16330513.981463566,14.428863315375017
0.0,1.0,-362.06658935546875,55,324,324,722.725077462526,3.057169455461808
0.0,0.0,-212.81396484375,17,92,92,273339.125231889,10.106666645793362
0.0,1.0,-359.92987060546875,40,282,282,8088.889764819834,3.58352537998783
1.0,1.0,-247.93405151367188,24,148,148,30656.05514914336,5.340023628606971
0.0,0.0,-411.8782958984375,54,329,329,2053.6538469484076,3.4970148828991947
0.0,0.0,-287.94476318359375,29,157,157,20519.476042172268,6.259141765827055
0.0,1.0,-372.85919189453125,37,263,263,23796.063732939685,4.127680217692632
0.0,1.0,-351.7009582519531,52,317,317,865.649391066191,3.0327407398316897
1.0,0.0,-369.54742431640625,40,315,315,10287.507848592193,3.2322110104074793
1.0,1.0,-391.1653747558594,50,361,361,2498.154392241312,2.955183050288417
0.0,1.0,-250.3792266845703,31,185,185,3218.7528436938774,3.870567841400143
0.0,1.0,-244.83425903320312,21,118,118,115702.12039485146,7.963484075138984
1.0,1.0,-301.9311218261719,35,217,217,5578.099917156425,4.02042515980897
1.0,0.0,-364.8890380859375,64,348,348,299.28348066246684,2.853458361013465
0.0,0.0,-270.90863037109375,30,182,182,8352.261997279315,4.430484553432983
1.0,0.0,-380.3362731933594,32,214,214,145147.90518704947,5.913703616740238
0.0,1.0,-252.64517211914062,25,139,139,24484.77769261536,6.157009361083315
0.0,0.0,-392.1939697265625,55,328,328,1249.875780269522,3.3059151127236817
0.0,1.0,-424.20330810546875,47,295,295,8313.220019634902,4.2121673096070635
0.0,0.0,-458.77593994140625,48,341,341,14155.125761599327,3.839660641549804
1.0,0.0,-160.33035278320312,11,56,56,2138225.027976957,17.514726020888528
0.0,0.0,-210.82821655273438,17,110,110,243204.95358343783,6.7979435714330485
1.0,1.0,-338.16961669921875,63,347,347,214.38462044794738,2.649980309273872
0.0,1.0,-324.67938232421875,42,236,236,2276.6525969402937,3.958084098157146
0.0,1.0,-378.5507507324219,45,274,274,4501.828403679862,3.981155417081102
0.0,0.0,-413.21661376953125,47,281,281,6580.347576892714,4.351504977855637
0.0,0.0,-436.3625183105469,64,399,399,914.3051232321528,2.9851213424885765
1.0,0.0,-323.82666015625,41,239,239,2692.461805253808,3.876463481895331
0.0,0.0,-361.11407470703125,53,322,322,910.0259428035239,3.0693698553864537
0.0,1.0,-187.75672912597656,21,103,103,7637.278680422064,6.189664378659248
1.0,0.0,-203.74496459960938,21,113,113,16352.583423711476,6.068143950329264
1.0,0.0,-428.34405517578125,63,347,347,897.0503454107564,3.436387960613586
0.0,0.0,-424.8837890625,68,365,365,517.1283048754664,3.2029273083769034
0.0,0.0,-371.73486328125,41,212,212,8662.026511780146,5.774584675921491
0.0,1.0,-491.0894775390625,45,257,257,54890.7157331673,6.758858387512026
0.0,0.0,-379.19287109375,38,226,226,21563.552099960063,5.3540033048301465
0.0,0.0,-349.03997802734375,47,289,289,1679.7202005247743,3.345950434253311
0.0,1.0,-238.14013671875,24,164,164,20384.00281793927,4.271965408580087
0.0,0.0,-418.09759521484375,55,330,330,2001.744758422409,3.55005256259305
1.0,1.0,-301.97930908203125,30,173,173,23528.717360061946,5.729023739742188
0.0,1.0,-381.82830810546875,46,249,249,4026.3494212244314,4.6341232405225865
0.0,0.0,-226.6165313720703,18,123,123,293551.18505083135,6.311736420294418
0.0,0.0,-310.6055603027344,40,242,242,2356.986104659122,3.6092285478004698
0.0,0.0,-364.01995849609375,53,298,298,961.3140049242198,3.392419843497505
0.0,0.0,-389.83740234375,39,230,230,21934.82486566233,5.4463476474105565
1.0,0.0,-300.15045166015625,25,136,136,163737.21373803564,9.08830675398055
0.0,0.0,-259.499755859375,37,223,223,1111.54577441763,3.201681162858192
0.0,1.0,-330.2556457519531,50,303,303,738.8632932793115,2.9741331733665706
1.0,0.0,-449.8797912597656,52,356,356,5718.9153788012745,3.5385154642903216
0.0,0.0,-406.4205627441406,50,270,270,3389.4103760658954,4.505330915379626
0.0,1.0,-288.6146545410156,41,224,224,1140.6822394845508,3.6271901283341315
0.0,0.0,-231.82748413085938,20,125,125,108160.79122208386,6.389269055570105
1.0,0.0,-181.518310546875,16,98,98,84532.75819606875,6.374002821429014
0.0,1.0,-396.8110656738281,43,297,297,10179.83740523385,3.8040420325485904
0.0,0.0,-416.0553894042969,43,361,361,15925.975434404361,3.1661236107501916
0.0,1.0,-373.8349304199219,47,333,333,2846.7540369643984,3.0729174465928684
1.0,1.0,-306.77490234375,33,179,179,10896.63344149127,5.550157302096665
0.0,0.0,-209.43136596679688,14,82,82,3138900.9583232203,12.858962620063533
1.0,1.0,-539.1058349609375,56,336,336,15167.191347553393,4.975280006147479
1.0,1.0,-370.65740966796875,48,252,252,2257.536307193866,4.352989005239103
0.0,0.0,-514.1012573242188,72,432,432,1261.800868973493,3.287242958008436
0.0,1.0,-378.9940185546875,55,339,339,983.1879844905667,3.0586586063399395
0.0,0.0,-239.97842407226562,18,94,94,616697.9708764623,12.845094124057205
0.0,1.0,-257.0291748046875,26,138,138,19648.1308863957,6.44001102587946
0.0,1.0,-258.175048828125,22,151,151,124895.10352560262,5.527681866232791
0.0,1.0,-360.55657958984375,41,317,317,6594.972641847051,3.118656996382845
1.0,1.0,-232.2073516845703,23,131,131,24245.148448544678,5.885991488189328
0.0,0.0,-292.76617431640625,28,163,163,34749.99812424962,6.026169080877634
1.0,0.0,-201.27784729003906,24,121,121,4387.772483812207,5.27750413042862
0.0,0.0,-208.29620361328125,20,101,101,33349.904262969176,7.864340257409877
1.0,0.0,-311.16217041015625,48,296,296,653.6324672964697,2.8611497332515596
0.0,0.0,-428.79327392578125,44,264,264,17073.821792098937,5.074443920903266
0.0,1.0,-374.09033203125,38,258,258,18854.038649210637,4.262954767549872
1.0,1.0,-197.4521484375,17,102,102,110728.0264034129,6.929622766268124
0.0,0.0,-501.3241882324219,51,335,335,18580.836702346463,4.4659864265455305
1.0,1.0,-190.89736938476562,11,64,64,34425437.37677448,19.742455071004706
0.0,0.0,-463.6202392578125,49,328,328,12856.920888415674,4.11021911278667
0.0,0.0,-267.3653564453125,23,145,145,111812.73198462412,6.321136449597073
1.0,0.0,-394.1689147949219,49,281,281,3115.8696300746456,4.06631161545007
0.0,0.0,-393.2139892578125,43,285,285,9362.909620799535,3.9737022146690815
0.0,1.0,-262.5954895019531,23,128,128,90870.9089814907,7.779773788458783
0.0,1.0,-340.1549072265625,32,179,179,41350.543771715646,6.687945616749588
0.0,0.0,-313.1678771972656,60,323,323,184.83520049806674,2.6367839962277206
0.0,0.0,-616.308837890625,71,398,398,5886.436985091901,4.704477280152976
0.0,0.0,-324.1910400390625,39,289,289,4074.8563366039157,3.0702785937554187
1.0,0.0,-365.46820068359375,40,234,234,9290.103911850541,4.767537467733394
1.0,1.0,-242.34410095214844,25,155,155,16216.16783572426,4.775555626450557
0.0,1.0,-418.0078125,53,278,278,2662.284475282702,4.497965686161909
0.0,0.0,-335.75689697265625,40,240,240,4420.12132732657,4.051094415727077
1.0,1.0,-303.5126953125,39,248,248,2397.9675487981553,3.4002246853218288
0.0,0.0,-284.76361083984375,46,268,268,488.0965717118241,2.893742904138494
1.0,1.0,-335.582275390625,32,208,208,35844.52468662467,5.0197308864681665
1.0,0.0,-298.091552734375,42,226,226,1208.8417179653977,3.739639331659314
1.0,0.0,-481.64471435546875,56,352,352,5435.998343989908,3.928701042073471
0.0,1.0,-212.60977172851562,15,94,94,1431144.1423908037,9.600412652815441
1.0,0.0,-467.36102294921875,51,323,323,9546.612194007927,4.25008146737009
0.0,0.0,-233.10659790039062,23,125,125,25211.85183699999,6.454985533744881
0.0,0.0,-270.4411315917969,41,275,275,732.2523249470071,2.673590422750036
0.0,0.0,-266.71343994140625,25,125,125,42982.038480559604,8.446123000158305
0.0,1.0,-392.205322265625,45,286,286,6097.742063572648,3.940656290569921
0.0,0.0,-137.071533203125,10,71,71,897306.98732595,6.893541609721423
1.0,1.0,-454.20220947265625,54,333,333,4496.938123957359,3.911694276802123
0.0,1.0,-432.2621154785156,68,399,399,576.3965137906872,2.9546012410379503
0.0,1.0,-398.6912841796875,50,324,324,2903.945717920212,3.423038664124498
0.0,1.0,-181.70684814453125,10,54,54,77880395.31870359,28.93180856682152
0.0,1.0,-289.1575622558594,26,154,154,67605.50557611937,6.538099377393598
1.0,1.0,-335.0499267578125,45,269,269,1712.2334834993455,3.4748063859162737
0.0,0.0,-427.5584411621094,51,313,313,4374.2871410008265,3.9196462581538887
1.0,1.0,-369.3447265625,36,228,228,28554.66895661545,5.05275182764212
0.0,0.0,-338.88983154296875,45,292,292,1864.7553528919632,3.1917891283973567
0.0,1.0,-448.2407531738281,64,363,363,1100.7662072378153,3.4377700210922546
0.0,0.0,-270.4288635253906,17,104,104,8101665.431829647,13.467475197270637
1.0,1.0,-386.60211181640625,42,265,265,9944.870664294482,4.301121891401461
0.0,1.0,-423.05963134765625,60,393,393,1154.0050876812802,2.934354835505432
0.0,0.0,-341.2080078125,47,279,279,1421.893690577513,3.397255058912631
0.0,0.0,-353.0018005371094,40,297,297,6802.4968896959035,3.2823454759184436
0.0,0.0,-321.0332946777344,30,177,177,44405.109587169965,6.133388850132003
1.0,0.0,-356.54095458984375,46,339,339,2323.640270781717,2.862637002523398
0.0,0.0,-396.968505859375,34,230,230,117658.81182392205,5.617855601241599
1.0,1.0,-506.257080078125,64,399,399,2725.1176384003074,3.556634515940791
0.0,0.0,-399.6358337402344,55,328,328,1430.9675001378796,3.3817791005834237
0.0,1.0,-300.8204040527344,28,158,158,46331.89403763211,6.71219893833071
0.0,0.0,-356.5787353515625,37,273,273,15325.342621872465,3.69192947277194
0.0,0.0,-366.182861328125,36,254,254,26153.705155511285,4.227728319015432
1.0,1.0,-420.97808837890625,55,337,337,2109.3751843040427,3.4875278772429814
1.0,1.0,-342.7058410644531,44,257,257,2413.345203075982,3.7942462058986837
1.0,0.0,-308.3769226074219,40,227,227,2229.255751852637,3.8903092214549373
1.0,1.0,-364.29888916015625,49,265,265,1693.7007510766014,3.953940945613118
1.0,1.0,-274.654296875,28,163,163,18198.2739608207,5.39242767125206
0.0,1.0,-161.80966186523438,11,64,64,2446011.4112197943,12.531882118977434
0.0,0.0,-312.0491943359375,42,311,311,1685.3739084335064,2.7274677516025934
0.0,0.0,-404.6545104980469,52,294,294,2396.6267565812195,3.9605222031226006
0.0,0.0,-212.84628295898438,16,103,103,598925.613514728,7.896888069320456
1.0,1.0,-208.2336883544922,17,97,97,208780.86570356082,8.556909242928679
1.0,1.0,-460.99884033203125,59,341,341,2473.871636604595,3.864772263643008
0.0,0.0,-408.3574523925781,53,372,372,2219.101342668777,2.997369549112666
0.0,1.0,-356.4097900390625,51,276,276,1084.015255963791,3.637657094229517
0.0,0.0,-382.5279846191406,53,328,328,1363.0895684817542,3.2099130692547146
0.0,1.0,-245.40838623046875,19,93,93,406862.6158453094,13.996395776577161
0.0,0.0,-295.484375,26,233,233,86230.88212877033,3.5543538308555482
0.0,0.0,-329.718994140625,42,267,267,2566.8949106402893,3.438043638181668
0.0,0.0,-268.15057373046875,23,149,149,115695.9139872487,6.047641008590191
0.0,0.0,-323.45635986328125,44,253,253,1558.1911464681714,3.5911900428288113
1.0,1.0,-357.64971923828125,48,314,314,1721.6455326124747,3.123680158544091
1.0,0.0,-401.3667297363281,37,261,261,51418.30170326079,4.654356032182345
1.0,1.0,-356.44366455078125,50,278,278,1247.470638424502,3.604458153281625
0.0,1.0,-348.353271484375,52,295,295,811.6761046605502,3.2571694371642255
0.0,1.0,-236.49758911132812,17,109,109,1100882.7202365475,8.75568017312544
0.0,0.0,-381.1327819824219,50,309,309,2043.9830110065811,3.433016854065737
0.0,0.0,-511.0898132324219,58,359,359,6713.618347163016,4.152242313481153
0.0,0.0,-250.3321075439453,24,176,176,33877.43647300042,4.146818941254034
0.0,1.0,-460.94122314453125,58,352,352,2827.823088661102,3.704291866038096
1.0,0.0,-414.83612060546875,51,290,290,3408.547684214224,4.180661055987704
0.0,0.0,-418.6139221191406,48,289,289,6131.062718730486,4.256686667175717
1.0,1.0,-418.3168029785156,48,343,343,6093.228766815765,3.385773931984227
0.0,0.0,-374.3016357421875,41,301,301,9221.640128313476,3.467823032910635
1.0,0.0,-511.0193176269531,49,375,375,33825.3454503057,3.9067982643941592
0.0,1.0,-393.64434814453125,51,284,284,2249.62008602251,3.999109248299935
0.0,0.0,-380.956787109375,50,357,357,2036.8010476983295,2.9069541414716196
0.0,1.0,-350.0594482421875,33,198,198,40451.623916390046,5.858988696602695
1.0,1.0,-167.2376251220703,11,59,59,4006467.409027907,17.02250035139813
1.0,1.0,-353.3712158203125,38,227,227,10929.73703191676,4.743149617370555
0.0,0.0,-503.3313293457031,60,367,367,4397.7815039052675,3.9411596674434084
1.0,0.0,-213.20175170898438,22,110,110,16171.225109435438,6.946220806340697
1.0,1.0,-322.31494140625,40,255,255,3158.566407584161,3.53948119874038
0.0,1.0,-365.1911315917969,37,205,205,19341.930509834587,5.938283711144622
1.0,0.0,-305.7492980957031,27,162,162,82788.80100133026,6.601793445392837
0.0,0.0,-335.84326171875,34,223,223,19491.680095331696,4.508766420517465
1.0,1.0,-421.1065673828125,59,386,386,1258.152239672725,2.9770999526623023
0.0,0.0,-257.5926513671875,19,141,141,772593.2301065238,6.21458057426967
0.0,0.0,-196.59019470214844,14,96,96,1254385.995782077,7.750943114441633
1.0,1.0,-284.1784973144531,30,184,184,12998.85527956431,4.685386243944928
1.0,1.0,-376.5015869140625,33,257,257,90141.77587926206,4.327485768787545
0.0,1.0,-411.16705322265625,42,273,273,17848.803308085786,4.50913988317265
1.0,0.0,-170.63839721679688,11,60,60,5457937.696810375,17.1839066674223
0.0,0.0,-215.31570434570312,20,101,101,47371.93374764063,8.43035309688573
0.0,1.0,-399.0373840332031,46,299,299,5853.094295873235,3.7983744190521294
0.0,1.0,-175.28392028808594,10,64,64,40971695.34440437,15.468585950636383
1.0,1.0,-397.0997009277344,39,240,240,26424.41344532059,5.230893408007329
0.0,0.0,-429.567138671875,66,409,409,670.8818293295465,2.8584696740451783
1.0,1.0,-320.5491638183594,60,328,328,209.03173104848392,2.6572294930180584
1.0,1.0,-279.0898742675781,25,147,147,70516.00404038998,6.676344273167708
1.0,0.0,-463.11859130859375,63,360,360,1557.8917609300372,3.619878752212366
0.0,0.0,-330.91839599609375,46,226,226,1331.2560497068273,4.324258541726733
1.0,1.0,-339.41119384765625,43,260,260,2679.226943168613,3.689266539990397
1.0,0.0,-393.47845458984375,51,318,318,2242.314377018148,3.446480725303104
0.0,0.0,-236.56057739257812,21,139,139,78025.37705731635,5.484218792934341
0.0,0.0,-431.7307434082031,57,344,344,1947.3476935780327,3.507947928784609
0.0,0.0,-425.4953308105469,51,305,305,4200.8648601971245,4.035243546526615
1.0,1.0,-153.7117156982422,10,53,53,4738217.508204876,18.178163224878567
0.0,1.0,-181.9908905029297,13,65,65,1201761.8777950795,16.442342279328464
1.0,0.0,-263.08160400390625,28,203,203,12037.373793031811,3.6545336496644936
1.0,1.0,-299.5068664550781,35,194,194,5204.812938391967,4.682582748709544
0.0,0.0,-256.70330810546875,23,135,135,70334.19647631916,6.695970891073203
0.0,0.0,-336.62249755859375,32,211,211,37028.865966149715,4.930139515812132
0.0,0.0,-273.23260498046875,38,190,190,1326.543160282556,4.212542320352377
0.0,0.0,-364.99957275390625,43,300,300,4857.903071748557,3.375911096841554
0.0,1.0,-387.7634582519531,53,307,307,1504.6139988711502,3.53627231480342
0.0,0.0,-328.346435546875,54,342,342,437.243193498379,2.611898357320684
0.0,0.0,-227.78834533691406,20,98,98,88381.43955939055,10.220248206028785
0.0,1.0,-272.4635314941406,38,194,194,1299.96540824895,4.073290678397895
0.0,0.0,-545.0123291015625,58,358,358,12049.329507680115,4.583123751925115
0.0,0.0,-397.5450134277344,34,297,297,119670.85700371409,3.81345422349524
0.0,0.0,-448.07293701171875,44,294,294,26462.28633555372,4.590815186662472
0.0,1.0,-406.63604736328125,54,313,313,1863.659251218028,3.666203657175738
0.0,0.0,-294.43499755859375,33,169,169,7497.108210887008,5.709999410711659
1.0,1.0,-362.7796630859375,32,181,181,83856.68346219091,7.420953335960231
0.0,0.0,-151.19488525390625,8,61,61,161394245.0528217,11.924614107509612
0.0,1.0,-346.77691650390625,41,265,265,4712.498781864807,3.700959601387147
1.0,0.0,-212.77902221679688,15,107,107,1447383.7115909092,7.305218769600248
0.0,0.0,-407.17303466796875,42,250,250,16229.665714366814,5.097203921358452
0.0,0.0,-420.1312255859375,58,326,326,1399.1802668616854,3.6282342258040643
0.0,0.0,-197.86082458496094,17,87,87,113422.1564569771,9.720745874143416
0.0,0.0,-472.5766906738281,63,332,332,1810.2447068621827,4.151309252795846
0.0,0.0,-303.8280029296875,36,226,226,4627.012766557816,3.835775743860488
0.0,0.0,-438.51116943359375,63,345,345,1054.1549744909657,3.5645822565912266
1.0,1.0,-196.54891967773438,14,82,82,1250693.241076125,10.98947553053431
0.0,0.0,-409.42864990234375,33,234,234,244489.7793856151,5.752848279118847
0.0,0.0,-361.8714904785156,52,300,300,1052.651106725501,3.340893551490294
0.0,0.0,-341.1528015136719,42,264,264,3370.0597404491214,3.6409529989466325
0.0,0.0,-342.09320068359375,36,221,221,13394.358741765645,4.701741795111789
1.0,0.0,-242.95565795898438,23,156,156,38688.18272629529,4.746502655667148
1.0,1.0,-433.1955261230469,48,315,315,8307.440136382264,3.9559623338914007
1.0,0.0,-429.1297302246094,53,301,301,3283.9011273292595,4.1606868418524305
0.0,0.0,-408.11419677734375,58,366,366,1137.3447620342365,3.049769797110146
0.0,0.0,-440.51202392578125,48,321,321,9675.322317246093,3.9444581785101227
0.0,0.0,-226.23663330078125,20,113,113,81783.57150221383,7.404545734120588
0.0,1.0,-381.80133056640625,47,348,348,3372.5774913649752,2.995557207725941
1.0,0.0,-325.30615234375,36,199,199,8402.478573226734,5.127941354045673
0.0,0.0,-268.13629150390625,26,132,132,30119.686955368994,7.624262082129944
0.0,0.0,-411.56451416015625,60,337,337,952.8033836797388,3.3914572149073905
0.0,1.0,-375.3813171386719,50,294,294,1821.883878445884,3.585174690910852
1.0,1.0,-395.3035888671875,45,269,269,6532.364123151883,4.347191785748598
1.0,0.0,-425.8482666015625,59,335,335,1363.4414092768222,3.565088419017192
1.0,1.0,-335.21282958984375,37,215,215,8602.483375334485,4.754680208262049
1.0,1.0,-212.11038208007812,20,138,138,40356.95816272134,4.650765148854534
1.0,0.0,-348.50537109375,32,208,208,53679.842988061406,5.3415004240781
0.0,0.0,-243.71737670898438,26,159,159,11775.133519286424,4.631189238080677
1.0,0.0,-444.2352294921875,44,249,249,24252.020578798674,5.954083143919541
0.0,0.0,-347.39361572265625,39,226,226,7387.381406155675,4.651268102232449
0.0,0.0,-346.5818786621094,55,323,323,545.3832196832552,2.9241648316341395
0.0,0.0,-332.4971923828125,41,230,230,3326.538720389443,4.244567656536047
0.0,1.0,-287.014404296875,35,241,241,3642.4490536919934,3.290143359556755
1.0,0.0,-313.9237365722656,35,250,250,7857.703100760397,3.5102769808555925
0.0,1.0,-377.9425048828125,54,354,354,1095.4661677271863,2.908490431677628
0.0,0.0,-248.75222778320312,18,109,109,1004065.8956302893,9.797532126344004
1.0,0.0,-424.65802001953125,61,332,332,1055.3279868100074,3.5933697876435655
1.0,1.0,-384.77288818359375,55,322,322,1092.1141613999964,3.3033822165513
1.0,1.0,-403.1329650878906,52,354,354,2327.5163199513127,3.12299877699601
