acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-157.00872802734375,15,78,78,35145.38292605883,7.485234978312603
1.0,1.0,-233.58090209960938,36,193,193,657.443212602029,3.3543692220933576
1.0,1.0,-256.5260925292969,43,274,274,389.83480874635205,2.5503398251865868
1.0,0.0,-363.6446228027344,48,273,273,1950.6728468794936,3.788732708063696
0.0,1.0,-164.09600830078125,15,85,85,56372.33972165871,6.893240364640128
0.0,0.0,-169.51766967773438,22,125,125,2220.1912542423574,3.881188252606808
0.0,1.0,-337.803466796875,57,336,336,374.794025775802,2.7329113258620743
0.0,1.0,-203.0676727294922,24,129,129,4727.505814180413,4.826724139893075
1.0,0.0,-133.8333282470703,15,78,78,7496.727591220482,5.561188812490793
0.0,1.0,-226.72789001464844,40,214,214,289.5121457505157,2.884859277758848
1.0,0.0,-207.90562438964844,27,176,176,2208.8080623816036,3.2585488451803015
0.0,1.0,-145.0569305419922,12,67,67,177740.0813824633,8.714853023527818
0.0,1.0,-264.4463195800781,36,225,225,1549.5674391455882,3.239169519840353
0.0,0.0,-226.48439025878906,28,161,161,3257.5420693504575,4.082605319079891
1.0,0.0,-197.0130615234375,26,134,134,1953.5928495493104,4.350308350613437
1.0,1.0,-242.3587646484375,40,260,260,427.93405910946797,2.5399619352641674
1.0,0.0,-176.0803985595703,25,138,138,1145.0641520187576,3.582084584411721
1.0,1.0,-182.0734100341797,19,109,109,14513.159294983812,5.314283827557963
0.0,1.0,-290.344970703125,50,293,293,332.58631289483424,2.693761291398423
1.0,1.0,-258.7232971191406,53,345,345,131.83770305029338,2.116836167883463
1.0,1.0,-187.142822265625,20,108,108,11581.231739250428,5.656491987474514
0.0,0.0,-252.03860473632812,31,210,210,3395.741997710679,3.320727322832677
1.0,1.0,-166.2068328857422,18,92,92,10236.478450185417,6.089682889202869
1.0,1.0,-246.4857177734375,38,265,265,656.2004177821485,2.534850812054289
1.0,1.0,-334.3594665527344,55,336,336,436.70723519200163,2.705042056801156
1.0,1.0,-284.82427978515625,45,262,262,560.8359506473014,2.9657073532368154
0.0,0.0,-243.77806091308594,41,248,248,382.1473868843966,2.6723976135470897
1.0,0.0,-192.49874877929688,21,108,108,9572.092233366284,5.944080331414791
1.0,1.0,-162.03924560546875,21,101,101,2244.312579549738,4.974619903527285
1.0,1.0,-191.53529357910156,21,137,137,9142.857621805788,4.047372221527896
0.0,1.0,-339.6953125,66,421,421,171.89755248006145,2.2408992290271983
1.0,1.0,-311.11773681640625,54,352,352,317.8055032540949,2.4202170031336245
0.0,1.0,-232.2913818359375,36,214,214,634.3103745001152,2.9608421763252433
0.0,1.0,-254.38670349121094,46,293,293,252.18065814645732,2.3826516474802815
1.0,1.0,-277.8472900390625,43,263,263,640.0618962893046,2.876152818692728
1.0,1.0,-242.28819274902344,35,173,173,1014.8740476890707,4.057267772670736
0.0,0.0,-374.796875,74,379,379,158.35235343901803,2.6883025185243277
1.0,0.0,-139.70162963867188,11,55,55,327796.4609848521,12.680046672439113
1.0,1.0,-349.111572265625,69,363,363,157.52560301024386,2.616244437131808
1.0,1.0,-352.0260925292969,76,531,531,102.71131335547824,1.9405070924829164
