acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-77.09170532226562,15,78,78,170.62139226553325,2.686811558715656
1.0,1.0,-149.20486450195312,36,193,193,63.09109090593865,2.16643335362291
1.0,1.0,-178.01522827148438,43,274,274,62.79585257973918,1.9149482794150061
1.0,0.0,-254.7996368408203,48,273,273,202.01173050400135,2.5429682550135233
0.0,1.0,-85.60218048095703,15,85,85,300.9102453463439,2.7376078078948027
0.0,0.0,-119.17333984375,22,125,125,225.19574300180562,2.5944815763246214
0.0,1.0,-247.9239044189453,57,336,336,77.44300006978645,2.091473336162492
0.0,0.0,-130.75067138671875,24,129,129,232.28025564969957,2.755423347685201
1.0,1.0,-65.10664367675781,15,78,78,76.74152153638144,2.304123997992091
1.0,1.0,-154.53115844726562,40,214,214,47.62124385649841,2.0587689705084187
1.0,0.0,-129.33169555664062,27,176,176,120.30892363319273,2.0851466307965425
0.0,1.0,-72.99386596679688,12,67,67,438.26430475657486,2.972670437599044
0.0,1.0,-182.52581787109375,36,225,225,159.20005319192873,2.2506652905629316
0.0,0.0,-133.4501495361328,28,161,161,117.45752385809188,2.2907583418049313
1.0,0.0,-125.8974380493164,26,134,134,126.74905106073342,2.5587864925838004
1.0,1.0,-168.42724609375,40,260,260,67.40243550428046,1.911325729237824
1.0,0.0,-105.99089813232422,25,138,138,69.38258679489215,2.1555587840047794
0.0,1.0,-112.22357177734375,19,109,109,367.41932757577297,2.7998729831826155
0.0,1.0,-201.54586791992188,50,293,293,56.31254634688925,1.989473152867704
1.0,1.0,-176.05007934570312,53,345,345,27.707402348651907,1.6657743411154595
1.0,1.0,-106.86491394042969,20,108,108,209.19057885472895,2.68986214178346
0.0,0.0,-159.16339111328125,31,210,210,169.74595536389265,2.1338351701960194
0.0,1.0,-91.86363220214844,18,92,92,164.60277091595407,2.7142556163261453
1.0,1.0,-167.90188598632812,38,265,265,82.96930199080818,1.8843671264504243
1.0,1.0,-261.96429443359375,55,336,336,117.0951873961862,2.1807211791019316
1.0,1.0,-187.10975646972656,45,262,262,63.94316156489023,2.042469011602019
0.0,0.0,-150.73617553710938,41,248,248,39.507561591048905,1.8364000478031421
1.0,0.0,-108.11210632324219,21,108,108,172.12062500871946,2.721104928437075
1.0,1.0,-85.96839904785156,21,101,101,59.96333475365161,2.3423911528085783
1.0,1.0,-125.52156066894531,21,137,137,394.341456447619,2.499812605603721
0.0,0.0,-245.9071807861328,66,421,421,41.507177975590274,1.7933808244458886
1.0,1.0,-213.13369750976562,54,352,352,51.77566878061041,1.832156079459677
1.0,1.0,-148.3690185546875,36,214,214,61.64312005334287,2.0003320080669926
0.0,1.0,-181.80393981933594,46,293,293,52.05285066027525,1.8598414872446425
1.0,1.0,-184.2091064453125,43,263,263,72.52509994119096,2.014588292947204
0.0,1.0,-166.25367736816406,35,173,173,115.59642933570942,2.614319712327435
0.0,0.0,-239.2271728515625,74,379,379,25.35052989892122,1.8798768339175087
1.0,0.0,-73.060302734375,11,55,55,766.508435235679,3.774882063005453
1.0,1.0,-252.1954345703125,69,363,363,38.667764648634595,2.003214746321525
1.0,1.0,-262.8880920410156,76,531,531,31.786886885329427,1.6406313751887174
1.0,0.0,-187.0739288330078,46,274,274,58.371312209256736,1.9793164643597567
0.0,1.0,-181.66116333007812,47,278,278,47.709528396351956,1.922175124285679
0.0,1.0,-144.98574829101562,47,264,264,21.863162766995046,1.7318469505392031
1.0,1.0,-240.94732666015625,56,369,369,73.89394083734287,1.9212457139192893
0.0,0.0,-286.02362060546875,76,424,424,43.09765952096039,1.9632161294964905
1.0,1.0,-208.26034545898438,56,347,347,41.22046021878644,1.822435705741967
1.0,1.0,-162.78057861328125,44,292,292,40.42945505557117,1.746244941798544
0.0,1.0,-147.64492797851562,50,344,344,19.161413811608615,1.5360287807702517
