acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,0.0,-51.06999206542969,11,52,52,103.82705179807533,2.6700981499769134
1.0,1.0,-81.66314697265625,18,86,86,93.39534442921979,2.5846018591481146
1.0,1.0,-140.3034210205078,35,188,188,55.073528378546506,2.1091706063685116
0.0,0.0,-54.49736022949219,11,49,49,141.7840996253484,3.041014038494007
1.0,0.0,-92.80548858642578,26,112,112,35.4967757604971,2.290157136583404
0.0,0.0,-78.49468994140625,22,91,91,35.443520293412355,2.369263175381288
0.0,0.0,-66.60118865966797,20,107,107,27.940002211579124,1.8634712568033378
0.0,0.0,-100.49205017089844,17,101,101,369.1847029755528,2.7046453476352523
0.0,0.0,-79.76858520507812,19,105,105,66.5761622792223,2.137636568485544
1.0,1.0,-120.14348602294922,29,159,159,62.983880487683216,2.1289297932055624
1.0,1.0,-121.11610412597656,28,146,146,75.60898666539954,2.2923153050224068
0.0,0.0,-103.66919708251953,25,137,137,63.22930518390691,2.131251717161449
1.0,0.0,-123.69048309326172,30,168,168,61.74519156656392,2.0880964793854546
0.0,1.0,-113.40608215332031,24,136,136,112.75907050162525,2.302207053096407
1.0,1.0,-95.62962341308594,22,112,112,77.23101030243818,2.3486387930444033
1.0,1.0,-92.44412994384766,26,131,131,35.00683959432637,2.025224140805593
0.0,1.0,-104.27832794189453,27,140,140,47.568001326600196,2.10611538220954
0.0,1.0,-66.60405731201172,14,87,87,116.44658443340552,2.15020648518622
1.0,1.0,-109.41703796386719,29,180,180,43.51045739546098,1.8365199203572633
1.0,1.0,-107.62120056152344,26,172,172,62.75742794764788,1.8695628891541067
1.0,0.0,-128.28695678710938,31,171,171,62.6954532221587,2.117457595407651
1.0,0.0,-71.92105102539062,18,99,99,54.35920398908709,2.067779369067369
1.0,1.0,-82.44654846191406,14,82,82,361.0582042156861,2.7331251906768097
1.0,1.0,-110.39390563964844,29,156,156,45.00107603472385,2.029223568421094
0.0,1.0,-105.02429962158203,22,108,108,118.37195182082084,2.6444079920263523
0.0,0.0,-144.62567138671875,36,176,176,55.55534664796029,2.274446598129967
1.0,1.0,-67.59405517578125,13,83,83,181.18936608638856,2.2577894314702327
1.0,1.0,-74.80836486816406,18,103,103,63.817041986246,2.0674062547070218
1.0,1.0,-99.17167663574219,30,170,170,27.268237260560113,1.7920546374558843
1.0,1.0,-103.81533813476562,24,143,143,75.61382137896423,2.0667583918635217
0.0,0.0,-109.26416778564453,23,125,125,115.6555053026486,2.3967492553543073
1.0,1.0,-73.74644470214844,16,70,70,100.3990549017638,2.867729605847233
1.0,1.0,-150.58238220214844,49,238,238,21.608998839269066,1.8826852550044648
0.0,0.0,-72.52143096923828,18,88,88,56.20290169665765,2.279844343189707
0.0,1.0,-110.0177230834961,30,154,154,39.144402485754725,2.0429621709527694
0.0,1.0,-139.64044189453125,33,176,176,68.82234968492504,2.2109263744796195
0.0,1.0,-134.7237548828125,30,154,154,89.19204280876428,2.398466505663802
0.0,1.0,-51.890342712402344,10,46,46,179.29531865091985,3.0896287205557273
0.0,0.0,-103.48967742919922,28,137,137,40.28825181383018,2.128460833909649
1.0,1.0,-84.37078094482422,20,118,118,67.93416315226744,2.044200211091539
1.0,1.0,-162.212646484375,40,207,207,57.70340374234004,2.1894184778830392
0.0,1.0,-91.23171997070312,27,128,128,29.340024023387294,2.0395879706220446
1.0,1.0,-141.49465942382812,34,176,176,64.17460874902464,2.234342337350092
0.0,1.0,-94.74291229248047,23,105,105,61.51352419181784,2.4652998680109977
1.0,1.0,-149.1855926513672,29,180,180,171.4567041985825,2.290588675488672
