acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-107.50485229492188,11,52,52,17556.304417347117,7.904253289524704
0.0,1.0,-149.82037353515625,18,86,86,4118.95218219027,5.709305380897371
1.0,1.0,-197.1519775390625,35,188,188,279.4752238083718,2.853883594952017
0.0,1.0,-107.6571044921875,11,49,49,17800.992609246005,8.998732779516317
1.0,0.0,-150.28256225585938,26,112,112,323.79109790799566,3.825956845075762
0.0,1.0,-149.46914672851562,22,91,91,892.5228575476006,5.168167081233566
0.0,0.0,-122.85157012939453,20,107,107,465.2516799962956,3.152341516368538
0.0,0.0,-159.55673217773438,17,101,101,11916.629351446825,4.853837482149487
0.0,0.0,-133.1788330078125,19,105,105,1107.00368726865,3.5550525252088563
1.0,0.0,-188.48692321777344,29,159,159,664.8417726466643,3.2721666424298492
0.0,1.0,-188.64869689941406,28,146,146,843.4102215477902,3.640475708743314
0.0,1.0,-172.35733032226562,25,137,137,986.6281422695326,3.518668683247704
1.0,0.0,-182.38124084472656,30,168,168,436.7560035238023,2.9612237859017996
1.0,1.0,-173.98101806640625,24,136,136,1406.9915988082032,3.594023013546045
1.0,1.0,-154.7112274169922,22,112,112,1132.664973773484,3.9802723428004323
1.0,1.0,-156.2451171875,26,131,131,407.2501371017376,3.296003975564972
0.0,1.0,-158.11376953125,27,140,140,349.3469443173811,3.093750373556394
1.0,1.0,-120.06816101074219,14,87,87,5304.427960889913,3.975274509522386
1.0,1.0,-168.3898468017578,29,180,180,332.4689397477113,2.548485213902515
0.0,1.0,-177.87762451171875,26,172,172,935.8424097067382,2.8127769548929957
1.0,0.0,-183.410888671875,31,171,171,371.1032329153204,2.922905910722083
1.0,1.0,-129.4983367919922,18,99,99,1331.887041731676,3.6990055305625202
1.0,1.0,-147.18154907226562,14,82,82,36789.50123315769,6.018854386141129
1.0,1.0,-178.07501220703125,29,156,156,464.29385609132964,3.13148235568586
0.0,1.0,-153.24334716796875,22,108,108,1059.5575448562518,4.132654271054423
0.0,1.0,-200.3221893310547,36,176,176,260.9960463688687,3.1211273215266564
1.0,0.0,-124.59623718261719,13,83,83,14535.161690149562,4.486888531445184
1.0,1.0,-121.85527038574219,18,103,103,871.0829813352818,3.264350704401848
1.0,1.0,-152.80714416503906,30,170,170,162.97086983515152,2.4568144061462776
1.0,1.0,-168.2805633544922,24,143,143,1109.528178770757,3.243935185760912
0.0,0.0,-165.36965942382812,23,125,125,1326.0835692676742,3.754508090328552
0.0,1.0,-125.44042205810547,16,70,70,2540.2718418380937,6.001479543431458
1.0,1.0,-224.98406982421875,49,238,238,98.64342979310193,2.5736142083858997
0.0,1.0,-134.73077392578125,18,88,88,1781.2007524310293,4.6229430305570425
0.0,1.0,-173.51559448242188,30,154,154,325.00908942950736,3.0855336960571025
