acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-305.46221923828125,76,469,469,55.65877386387782,1.9180429541848611
0.0,1.0,-143.65267944335938,14,82,82,28592.670122172607,5.7653274077410135
0.0,0.0,-222.94796752929688,40,229,229,263.40669016134285,2.647383809373788
1.0,0.0,-259.9566955566406,65,398,398,54.561787647270776,1.9215987589939196
1.0,1.0,-246.72540283203125,48,319,319,170.73498499908527,2.167195346784878
1.0,0.0,-355.0718994140625,55,344,344,636.4161775926962,2.807194971814614
0.0,1.0,-145.90243530273438,13,85,85,74851.71140558725,5.565012544237518
0.0,0.0,-158.37158203125,24,133,133,734.225291353999,3.2895927557574343
0.0,1.0,-348.2243957519531,54,331,331,631.8170796578146,2.8634793729949206
0.0,0.0,-219.28790283203125,49,310,310,87.8177218003977,2.028669849463691
0.0,0.0,-196.23892211914062,24,144,144,3556.818537215862,3.9070018613776756
1.0,0.0,-118.65521240234375,13,71,71,9203.361078603686,5.318547153877473
0.0,1.0,-206.63442993164062,43,267,267,122.1746842658945,2.168231205707771
1.0,0.0,-228.3179168701172,28,196,196,3477.9952068868865,3.205561695328989
0.0,1.0,-138.67843627929688,12,74,74,104457.58226135343,6.514516032414985
0.0,1.0,-216.85789489746094,39,251,251,259.9420817043444,2.3725745578864235
1.0,0.0,-206.39236450195312,26,162,162,2802.221755027491,3.5752208174955444
1.0,0.0,-208.45558166503906,23,131,131,8632.471772508175,4.909951098457479
1.0,1.0,-209.01654052734375,39,255,255,212.59702556657544,2.2697568425816925
1.0,1.0,-171.43978881835938,22,127,127,2422.8932758522456,3.8571153945606778
0.0,1.0,-273.30706787109375,50,293,293,236.5456842661626,2.541586843627762
1.0,1.0,-257.1563720703125,63,369,369,59.25482289174099,2.0075212203490285
1.0,0.0,-157.13768005371094,21,123,123,1777.1152263164788,3.587810451186781
0.0,1.0,-244.95457458496094,38,266,266,630.2855781916824,2.511504207102555
0.0,0.0,-153.18336486816406,16,92,92,14385.273724334444,5.2858665749661835
1.0,1.0,-218.811767578125,48,305,305,95.44770359981443,2.0491306528043585
1.0,1.0,-283.76116943359375,59,384,384,122.67165891288687,2.0937597613827292
0.0,0.0,-229.7037353515625,40,276,276,311.87216734058677,2.298507296438755
1.0,0.0,-167.26983642578125,21,110,110,2879.092173747036,4.575128915573934
0.0,0.0,-227.54861450195312,33,203,203,987.7331406083014,3.0677031914099664
0.0,0.0,-159.1541290283203,21,109,109,1956.2175161108305,4.306517720706625
1.0,1.0,-188.86474609375,25,161,161,1909.486895307685,3.231908912034446
1.0,1.0,-324.6004333496094,70,417,417,103.24956800397966,2.1780245699038887
1.0,1.0,-328.34942626953125,66,419,419,144.74756686863017,2.1894495868353743
0.0,1.0,-216.42503356933594,40,235,235,223.77158890650415,2.511694411308777
0.0,1.0,-234.86550903320312,52,341,341,91.52795131499134,1.9912352174390473
1.0,1.0,-260.8250732421875,48,295,295,229.03061682553604,2.420932485777354
0.0,1.0,-250.5667724609375,33,188,188,1984.1234304067193,3.7916526565080857
0.0,0.0,-320.43878173828125,63,392,392,161.79496231200798,2.2647080894091096
1.0,1.0,-120.82478332519531,12,67,67,23593.627745404377,6.069977965524249
1.0,1.0,-315.6408386230469,66,374,374,119.39495520291719,2.32555672400161
1.0,1.0,-297.1570129394531,78,494,494,45.1371347258971,1.8249131828415535
1.0,0.0,-241.43646240234375,46,307,307,190.30323009872308,2.195561864049451
0.0,0.0,-272.742919921875,48,302,302,293.57823573921974,2.467294611557253
0.0,1.0,-220.60968017578125,44,307,307,150.4839400150388,2.051555542778535
1.0,1.0,-298.8825378417969,67,428,428,86.56827427854572,2.010379854483664
0.0,0.0,-395.75555419921875,81,467,467,132.40574575422573,2.3336703839334434
