acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-204.25437927246094,76,469,469,14.695739502383045,1.5457518148807845
1.0,1.0,-79.86968994140625,14,82,82,300.3588279152401,2.648571952880413
0.0,0.0,-132.36032104492188,40,229,229,27.357973612012344,1.7824568551312703
1.0,1.0,-187.52517700195312,65,398,398,17.903616348916184,1.6018653380010948
1.0,1.0,-140.13140869140625,48,319,319,18.530246588510636,1.5515949669933276
1.0,0.0,-245.43959045410156,55,344,344,86.70729389833336,2.041096536939518
0.0,1.0,-84.171142578125,13,85,85,648.5267651096144,2.691903963080686
1.0,1.0,-118.07992553710938,24,133,133,137.00218812002007,2.429824394250973
1.0,1.0,-240.99789428710938,54,331,331,86.74076590652926,2.0711216388971376
0.0,0.0,-153.76593017578125,49,310,310,23.05955478091378,1.6421709715908972
0.0,1.0,-130.61178588867188,24,144,144,230.9399558529638,2.476945854328749
0.0,0.0,-62.2760009765625,13,71,71,120.35691422819848,2.4039825894411955
0.0,1.0,-145.98239135742188,43,267,267,29.812844790859515,1.7276300040497239
1.0,0.0,-140.38449096679688,28,196,196,150.46519880038568,2.046738197690442
0.0,1.0,-77.4246826171875,12,74,74,634.0050278481413,2.847038965820289
0.0,1.0,-158.19265747070312,39,251,251,57.7556965692153,1.8780793482491662
1.0,1.0,-131.272705078125,26,162,162,155.85875731713372,2.2486394400138976
1.0,0.0,-118.41451263427734,23,131,131,172.16564592175325,2.469282388265341
1.0,1.0,-154.800048828125,39,255,255,52.94385546597428,1.8350266691767965
1.0,1.0,-110.2067642211914,22,127,127,149.81457663974948,2.3815934894238007
0.0,1.0,-181.82339477539062,50,293,293,37.95752971062251,1.859964983270904
1.0,1.0,-159.9528045654297,63,369,369,12.666154117104766,1.5426109997319388
0.0,0.0,-95.1919937133789,21,123,123,93.03279650606271,2.168246221814274
0.0,0.0,-148.18222045898438,38,266,266,49.37933996292096,1.7455610398061043
0.0,1.0,-91.14300537109375,16,92,92,297.80468009583444,2.6930781712782714
1.0,1.0,-132.79757690429688,48,305,305,15.904724214543284,1.5455840912417569
1.0,1.0,-218.78329467773438,59,384,384,40.779986545437566,1.7678217928276976
0.0,1.0,-138.369873046875,40,276,276,31.79302182282266,1.6509322357606595
1.0,0.0,-98.07296752929688,21,110,110,106.7128210538402,2.438961739343041
1.0,1.0,-149.5758056640625,33,203,203,93.00006309912658,2.089294875456779
0.0,1.0,-92.24717712402344,21,109,109,80.86027945094223,2.331016357222849
1.0,0.0,-129.892822265625,25,161,161,180.4967713986729,2.240698653085532
0.0,1.0,-218.44766235351562,70,417,417,22.66180460468498,1.6885248963741644
1.0,1.0,-225.45179748535156,66,419,419,30.44544293154617,1.7127000737499656
0.0,1.0,-140.27786254882812,40,235,235,33.346291398043114,1.8165281595953513
0.0,1.0,-156.88475036621094,52,341,341,20.430204735978727,1.5841889639801199
1.0,1.0,-166.81045532226562,48,295,295,32.304864390476396,1.7602558548949274
