acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-328.49615478515625,74,474,474,84.70183167157079,1.999765377475001
0.0,0.0,-157.17074584960938,15,94,94,35527.05235068114,5.322958251743966
0.0,0.0,-258.1639709472656,38,241,241,892.2877847040397,2.918937839359221
1.0,1.0,-300.1799621582031,56,375,375,212.80078941355436,2.22660921987109
1.0,1.0,-230.13848876953125,42,296,296,239.72389602246716,2.1760142865704677
1.0,0.0,-357.2001647949219,46,314,314,2357.179305852273,3.119211179147792
0.0,1.0,-165.0975341796875,14,79,79,132280.64099592014,8.083639504198779
1.0,0.0,-193.4468994140625,22,136,136,6588.235796380817,4.147076682462885
1.0,1.0,-342.1435546875,52,345,345,720.3114903857249,2.6958685875442394
0.0,0.0,-276.46282958984375,46,321,321,407.50838649406984,2.366128134872543
0.0,1.0,-183.09800720214844,25,149,149,1516.1360244776638,3.4172826412830823
0.0,0.0,-131.55245971679688,15,89,89,6439.228289658795,4.384683848879482
1.0,1.0,-198.96875,35,223,223,294.365275129482,2.440582028389813
0.0,0.0,-210.5765380859375,22,158,158,14352.23304664685,3.791504474424709
0.0,1.0,-151.45504760742188,12,71,71,302929.07078967424,8.441581601643781
1.0,1.0,-241.7659912109375,38,238,238,579.5563671270957,2.761636648265739
1.0,0.0,-193.1910400390625,21,141,141,9892.907202811411,3.935937972849006
1.0,0.0,-206.55296325683594,24,131,131,5466.388660338107,4.839155284655865
1.0,1.0,-235.0456085205078,36,250,250,684.7437503029655,2.5604484887928316
1.0,0.0,-177.445068359375,24,139,139,1625.4573721953163,3.5843717893742943
1.0,1.0,-164.246826171875,22,137,137,1747.1913346847773,3.3164069166926273
1.0,0.0,-218.94894409179688,53,380,380,62.24711274578937,1.7792313261989559
0.0,0.0,-181.07797241210938,21,124,124,5556.705029892944,4.3072783405040616
0.0,0.0,-258.51800537109375,32,263,263,3224.99818953971,2.6723498936596686
1.0,1.0,-156.4332275390625,17,90,90,9916.492519784393,5.68679586499754
1.0,1.0,-231.5489501953125,35,284,284,746.7155264834275,2.2598833680908808
1.0,1.0,-388.8238830566406,56,434,434,1036.1670199686384,2.449557913111184
0.0,0.0,-230.25701904296875,41,285,285,274.79485973775354,2.243235773055303
1.0,0.0,-189.25973510742188,23,128,128,3746.9000924915654,4.386763364331552
1.0,0.0,-245.2495574951172,31,220,220,2727.8691389770606,3.04886904180098
1.0,1.0,-170.96591186523438,21,118,118,3433.151415415445,4.258272918458486
1.0,1.0,-192.17808532714844,22,143,143,6219.019364543972,3.8339771876604796
1.0,1.0,-279.29364013671875,67,455,455,64.62244479460959,1.8474977872218221
1.0,0.0,-295.7715148925781,56,383,383,196.69104427886407,2.1646298700920648
0.0,1.0,-227.15020751953125,36,233,233,549.8953495922821,2.6508851272295693
0.0,1.0,-265.5059509277344,45,345,345,365.0857446483123,2.158864667163781
1.0,1.0,-269.16845703125,47,300,300,307.0431979039645,2.4527949986692588
0.0,1.0,-269.30389404296875,36,205,205,1773.4174440814998,3.719828376669609
0.0,0.0,-350.77288818359375,64,418,418,240.04499330336608,2.3144442385035777
1.0,1.0,-145.65325927734375,12,68,68,186795.85339768732,8.516110267787955
1.0,1.0,-334.9442138671875,60,374,374,265.7094887647598,2.4487379376687968
1.0,0.0,-304.02703857421875,66,462,462,100.13009409299076,1.9310563466580728
1.0,1.0,-269.9540100097656,42,283,283,618.6108680023374,2.5958164604595786
