acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-375.963134765625,74,474,474,160.8677988044604,2.2103948625159187
0.0,1.0,-144.263427734375,15,94,94,15026.368682898157,4.640013688414472
0.0,0.0,-239.72491455078125,38,241,241,549.2481719071214,2.7039378920686112
1.0,1.0,-295.7156677246094,56,375,375,196.49498780960397,2.200259073102739
1.0,1.0,-233.121826171875,42,296,296,257.371269482186,2.198056887362553
1.0,0.0,-361.4818115234375,46,314,314,2587.1191814980716,3.162035482513924
0.0,1.0,-144.71603393554688,14,79,79,30848.998547859734,6.245420847569499
1.0,0.0,-177.53228759765625,22,136,136,3195.9812375245865,3.689107163373881
1.0,1.0,-354.27203369140625,52,345,345,909.5261274695089,2.7923274512098586
0.0,0.0,-223.9476776123047,46,321,321,130.11618397146668,2.009038634880812
0.0,1.0,-201.71575927734375,25,149,149,3192.725983322491,3.8721001804503543
0.0,0.0,-126.07305145263672,15,89,89,4468.77721655846,4.122876667216378
0.0,1.0,-195.38027954101562,35,223,223,265.68029865195496,2.401622982000076
1.0,0.0,-217.55548095703125,22,158,158,19710.080769776643,3.9627309593601647
0.0,1.0,-141.93846130371094,12,71,71,137064.25488853175,7.382654466865369
0.0,0.0,-248.45611572265625,38,238,238,691.1237077001913,2.8403669720580065
1.0,0.0,-205.09201049804688,21,141,141,17435.893655273354,4.282569868390275
1.0,0.0,-209.8317108154297,24,131,131,6266.592034200386,4.961801025710421
1.0,1.0,-252.28628540039062,36,250,250,1105.3887612717378,2.743254917863772
1.0,0.0,-170.24038696289062,24,139,139,1203.933578257915,3.403318501081087
0.0,1.0,-171.66494750976562,22,137,137,2447.8176697199633,3.500930582745956
1.0,0.0,-237.04222106933594,53,380,380,87.57492714408734,1.8659966713917953
1.0,1.0,-169.7618408203125,21,124,124,3241.842700757216,3.9316024992374508
0.0,0.0,-237.0965576171875,32,263,263,1651.2162648126846,2.463314556270896
1.0,1.0,-163.734130859375,17,90,90,15236.047760633446,6.16734304675965
1.0,1.0,-217.5547637939453,35,284,284,500.6215338297306,2.1512259752738085
1.0,1.0,-344.525390625,56,434,434,469.76807633248234,2.2118677748556834
0.0,0.0,-243.58853149414062,41,285,285,380.38492288148666,2.3506610858763706
1.0,0.0,-172.82449340820312,23,128,128,1833.7318085477814,3.8581637380286535
1.0,0.0,-242.53021240234375,31,220,220,2498.7733708447604,3.011414965091565
1.0,1.0,-170.21160888671875,21,118,118,3312.0238245808446,4.231139159937383
1.0,1.0,-192.15386962890625,22,143,143,6212.177771629304,3.8333279948346535
0.0,0.0,-302.08343505859375,67,455,455,90.8044220987237,1.9423909010590148
1.0,0.0,-323.74908447265625,56,383,383,324.1588428277285,2.328671354205792
0.0,0.0,-215.46896362304688,36,233,233,397.5214876160464,2.5212618252999044
1.0,1.0,-261.1361999511719,45,345,345,331.3007806350746,2.131693046705631
