acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-381.3475341796875,61,747,747,518.8417487562858,1.6661330466804791
0.0,0.0,-326.2069091796875,58,702,702,277.0663629201123,1.591508337999616
1.0,0.0,-273.2810363769531,52,667,667,191.598980724026,1.5063909583981894
0.0,0.0,-177.6493377685547,24,224,224,1639.3510484722888,2.210187604304725
0.0,1.0,-268.28582763671875,42,555,555,594.5220472887696,1.6215749813018465
1.0,0.0,-311.23809814453125,43,550,550,1391.441175192458,1.7610098997672228
1.0,0.0,-298.6483154296875,36,396,396,4006.953635581368,2.1258302090738703
1.0,1.0,-326.6587219238281,49,516,516,785.6446013629595,1.8833639982457575
1.0,1.0,-238.90232849121094,27,306,306,6962.085773704964,2.183057819985232
0.0,0.0,-244.6666259765625,40,483,483,453.35054189955133,1.6595660647890362
1.0,1.0,-173.06227111816406,20,201,201,5727.953301339866,2.365539995932756
1.0,1.0,-226.0898895263672,37,434,434,450.5808619683324,1.6836169842408015
0.0,0.0,-339.28546142578125,63,765,765,218.21558904762495,1.5581674311211853
0.0,1.0,-341.7899169921875,50,618,618,930.5709661360621,1.738561623345195
1.0,1.0,-203.24313354492188,23,241,241,6881.954536671074,2.3240991563796167
0.0,0.0,-188.68820190429688,29,288,288,669.4722536205347,1.9254647510614404
0.0,0.0,-309.53076171875,66,849,849,108.83794426327579,1.4399130908759417
0.0,0.0,-323.836669921875,53,636,636,450.3953927725471,1.6639214802987745
0.0,0.0,-314.95635986328125,52,721,721,427.0294900931567,1.5477970727939352
0.0,0.0,-320.18841552734375,63,778,778,161.15325425726274,1.5091600432781715
1.0,1.0,-336.6246337890625,50,594,594,839.2366056106762,1.7624557300593766
0.0,0.0,-165.5955810546875,14,163,163,137071.20161504459,2.7619137031121266
0.0,1.0,-291.15625,48,561,561,430.84793478904965,1.6803382258104687
0.0,1.0,-268.768310546875,37,590,590,1427.9689417079717,1.5770239728224675
1.0,1.0,-275.93829345703125,56,704,704,138.02978925360043,1.47987526409311
0.0,0.0,-221.45614624023438,37,394,394,397.5422627141209,1.7543026668975765
0.0,1.0,-153.93260192871094,16,164,164,15074.918579376768,2.5564342754199214
0.0,0.0,-241.96066284179688,48,573,573,154.6009285897726,1.5254202070336125
0.0,1.0,-321.138671875,51,672,672,542.8519894150891,1.6126599013275948
1.0,0.0,-272.83062744140625,47,598,598,331.92431193893026,1.578126694821173
0.0,1.0,-247.6067657470703,44,525,525,277.9459010604704,1.6026074110717476
1.0,0.0,-298.626708984375,45,587,587,762.1543456650322,1.6631838480424668
1.0,1.0,-297.2208251953125,55,651,651,222.29715070601344,1.578634775479103
1.0,1.0,-316.41009521484375,59,642,642,213.33911091716877,1.636975964449957
1.0,0.0,-391.31597900390625,54,727,727,1403.3144807540086,1.713025866123668
0.0,1.0,-264.1872253417969,49,691,691,219.549128470755,1.4656897358989303
0.0,1.0,-281.1259765625,35,411,411,3078.416926497133,1.9817985860096676
