acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-632.5335693359375,64,445,445,19601.022669525126,4.143014866028133
0.0,0.0,-172.30941772460938,13,90,90,570672.4002890473,6.7838791599866735
1.0,0.0,-360.7451171875,35,255,255,29941.577587366915,4.115197112972243
1.0,1.0,-464.3049011230469,46,390,390,24187.344166501374,3.288808652493794
1.0,0.0,-328.7828674316406,36,263,263,9254.428092443382,3.4907791771466994
1.0,1.0,-167.11415100097656,11,68,68,3961746.595821302,11.676298805975652
0.0,1.0,-459.343994140625,35,308,308,500876.13717042346,4.443207850173963
0.0,0.0,-392.0236511230469,45,319,319,6073.174271642521,3.4175170097171055
0.0,1.0,-252.5367431640625,19,126,126,592086.2139591655,7.420599628507448
0.0,0.0,-177.74517822265625,10,71,71,52405275.52940337,12.224635444232408
0.0,1.0,-329.4658203125,31,230,230,41271.59159806128,4.188991816169483
1.0,0.0,-313.04620361328125,16,146,146,314152069.9464623,8.534801335648774
0.0,1.0,-170.1668701171875,10,68,68,24561408.568069793,12.212426174960617
1.0,0.0,-469.8617858886719,34,289,289,1003961.5591918401,5.082581634825967
0.0,0.0,-305.46466064453125,19,148,148,9598212.127199063,7.877025907804061
0.0,0.0,-286.7283020019531,22,131,131,457304.44809013896,8.92419086468683
1.0,1.0,-401.8841247558594,38,302,302,39179.07255739542,3.7838504735156353
0.0,1.0,-226.79673767089844,18,111,111,296504.8217442774,7.715365445645183
0.0,0.0,-481.7143859863281,41,275,275,126643.50429952951,5.7643285468533785
0.0,0.0,-537.0278930664062,45,363,363,152352.65012686476,4.390379559526882
0.0,0.0,-235.91929626464844,20,122,122,132715.73821264046,6.915496226891086
0.0,0.0,-393.46148681640625,31,272,272,325235.8942006806,4.248430343959541
0.0,1.0,-218.4706268310547,15,81,81,2115302.646302037,14.837655387220417
1.0,1.0,-311.3900146484375,31,288,288,23036.591884937985,2.9482604800227583
0.0,0.0,-343.7509765625,32,275,275,46268.56267610334,3.4903553521676467
1.0,0.0,-263.16241455078125,18,111,111,2235854.7283400935,10.70630225123396
1.0,0.0,-344.42022705078125,24,205,205,1708015.611963196,5.366085408817052
1.0,0.0,-219.85906982421875,19,108,108,106035.58144188597,7.657856604886078
0.0,0.0,-221.50564575195312,16,104,104,1029004.9851887051,8.413705458073554
0.0,0.0,-532.0750122070312,57,428,428,11323.656783069437,3.4665709841472947
1.0,0.0,-518.811279296875,50,428,428,32087.620673552552,3.360789397817303
0.0,0.0,-389.25457763671875,31,254,254,283963.0146632887,4.629729009652117
0.0,1.0,-411.66571044921875,39,349,349,38389.18418909778,3.252935793262524
0.0,1.0,-399.8267822265625,36,255,255,66589.32153051431,4.796795858771912
0.0,0.0,-318.1219482421875,24,158,158,570963.8500607013,7.4889608693172
0.0,0.0,-480.2969055175781,52,357,357,10264.831889501575,3.839604948231135
1.0,0.0,-158.90167236328125,9,60,60,46536214.49074384,14.13086208852956
0.0,1.0,-517.5906372070312,55,397,397,12218.895674539495,3.6830998703450746
1.0,1.0,-473.205078125,52,465,465,8956.167286489139,2.7666724854338027
1.0,1.0,-367.4149169921875,35,272,272,36227.3289703604,3.8604746259200757
1.0,1.0,-490.47979736328125,52,440,440,12485.257102929238,3.048735188114841
0.0,0.0,-565.582763671875,59,399,399,14561.677627926872,4.126793284000315
1.0,0.0,-445.45849609375,44,363,363,24935.72341033066,3.4115215408572426
0.0,0.0,-432.70391845703125,44,385,385,18660.79289015713,3.0768498010392262
0.0,1.0,-505.0538024902344,42,354,354,166890.0573674999,4.164955772654887
0.0,1.0,-505.19482421875,51,336,336,20045.9189231047,4.497654436088488
0.0,0.0,-264.7198486328125,20,136,136,560168.2318649518,7.003916378466099
1.0,1.0,-402.54144287109375,39,275,275,30381.084041034286,4.32229739365781
1.0,1.0,-495.03045654296875,46,395,395,47170.8626386626,3.501675828807849
0.0,1.0,-338.36590576171875,36,273,273,12076.937701561797,3.453663501863447
1.0,0.0,-346.32598876953125,26,267,267,609400.1168560674,3.6586750787500755
0.0,0.0,-481.73193359375,47,403,403,28271.672437365247,3.304762465576338
0.0,0.0,-257.8357238769531,16,131,131,9966427.39595257,7.157864144630029
1.0,0.0,-257.7301940917969,16,123,123,9900909.016491938,8.128427062877982
1.0,0.0,-427.18341064453125,46,409,409,10792.382968352473,2.8418584351501073
0.0,1.0,-477.0816650390625,56,419,419,5010.622546442347,3.122455544074391
0.0,0.0,-326.067138671875,30,184,184,52517.65209226557,5.883218725997655
1.0,1.0,-427.2029724121094,45,318,318,13271.834831856848,3.83207171085805
0.0,0.0,-389.824462890625,25,268,268,5914860.763901467,4.282636785948755
0.0,1.0,-236.3276824951172,17,105,105,1089934.741321433,9.494757776359103
0.0,0.0,-219.4048614501953,15,99,99,2251237.815984429,9.172507745921266
1.0,1.0,-305.043212890625,34,266,266,7878.235233774228,3.1480367224975603
1.0,1.0,-274.78472900390625,21,131,131,481656.7947992733,8.146540439440296
0.0,0.0,-348.5037841796875,30,224,224,110945.3266213477,4.738973092519849
0.0,0.0,-392.12615966796875,32,277,277,209806.82169070083,4.119030849302473
1.0,1.0,-328.77239990234375,34,239,239,15831.809707368235,3.9575167134286
0.0,0.0,-328.48077392578125,42,304,304,2492.3238012355296,2.9462372908764696
1.0,0.0,-211.64114379882812,15,97,97,1341648.4287399435,8.862841833087307
0.0,0.0,-559.5421142578125,42,359,359,610742.8559357747,4.752225960962116
0.0,1.0,-554.101806640625,51,396,396,52299.45904433257,4.052147495807713
1.0,1.0,-358.2532958984375,35,260,260,27884.003558968503,3.966552350835789
1.0,1.0,-372.60772705078125,43,309,309,5798.160423855003,3.3395973617757218
0.0,0.0,-233.14064025878906,16,117,117,2129270.5541135347,7.334982640657242
0.0,0.0,-293.932373046875,22,149,149,634480.8669949188,7.190067000431627
0.0,0.0,-408.7166442871094,39,306,306,35593.34481907818,3.8025629812397086
0.0,1.0,-417.7967529296875,36,282,282,109695.69028920324,4.399754611494908
1.0,0.0,-314.37359619140625,27,202,202,113944.47252597491,4.741269522704375
1.0,0.0,-302.0451354980469,21,163,163,1764012.6564531294,6.379167743320944
0.0,1.0,-331.48175048828125,33,251,251,23038.028209160486,3.745834506253092
0.0,1.0,-464.540283203125,52,353,353,7581.504825129591,3.7283960933127855
0.0,1.0,-316.7623291015625,42,304,304,1885.5224375937923,2.8348282284407196
1.0,0.0,-376.780029296875,30,241,241,284740.7254410223,4.775041243083436
1.0,0.0,-495.8463439941406,51,377,377,16688.536627586887,3.7256535710692646
0.0,0.0,-335.9906005859375,30,217,217,73107.53264570635,4.703673416877685
0.0,0.0,-425.209228515625,51,337,337,4177.364621023733,3.5315909115214863
0.0,0.0,-175.69354248046875,13,66,66,740357.0753930056,14.3252450787144
0.0,0.0,-333.5731506347656,24,161,161,1086944.684352765,7.9397590082870835
0.0,0.0,-459.06768798828125,38,314,314,176438.6726559919,4.314575777807548
1.0,1.0,-418.818115234375,41,282,282,27311.850775614686,4.415718764618749
0.0,0.0,-236.32925415039062,16,120,120,2598846.8474588944,7.166450270912601
1.0,1.0,-381.80157470703125,38,331,331,23095.887739129514,3.1691996436418526
0.0,0.0,-599.6729736328125,45,442,442,612966.8166402166,3.883458741185291
0.0,0.0,-290.5365905761719,24,185,185,180898.48092101913,4.8088985065151375
1.0,0.0,-223.97596740722656,13,119,119,30368625.265180238,6.5676165350020925
0.0,1.0,-451.0201416015625,48,392,392,12043.169720449985,3.159967003829736
