acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-494.3518981933594,64,445,445,2262.5514355744804,3.0371000888509907
0.0,0.0,-107.72513580322266,13,90,90,3970.1093125130174,3.3099925987826344
0.0,0.0,-277.9373474121094,35,255,255,2810.3577542885864,2.9741264987179257
1.0,0.0,-347.5802001953125,46,390,390,1912.356076198688,2.4381298305967483
1.0,0.0,-248.0584716796875,36,263,263,982.9056189024585,2.5681559322000624
0.0,1.0,-105.25418853759766,11,68,68,14307.835372357269,4.701378265886683
0.0,1.0,-331.0578308105469,35,308,308,12820.4286508012,2.9295917740144297
0.0,0.0,-308.27001953125,45,319,319,944.3009123861216,2.628369514806999
0.0,0.0,-173.1676025390625,19,126,126,9082.314537841452,3.9524911535079235
0.0,0.0,-109.48971557617188,10,71,71,56895.50152174019,4.67443673077943
0.0,1.0,-240.64224243164062,31,230,230,2351.1338535889713,2.8470136968705226
1.0,0.0,-229.2413330078125,16,146,146,1668746.5154159823,4.807350575660427
0.0,1.0,-97.74435424804688,10,68,68,17578.562956419235,4.2098077191316285
0.0,0.0,-357.3860778808594,34,289,289,36730.22379570011,3.4439877418061333
0.0,0.0,-212.6415252685547,19,148,148,72523.01397874454,4.207072605103967
0.0,0.0,-193.69204711914062,22,131,131,6662.059566589414,4.386647400272533
1.0,1.0,-268.76031494140625,38,302,302,1179.2570103256955,2.4349709290791988
1.0,1.0,-156.8289337158203,18,111,111,6079.7480792493325,4.107741141109789
0.0,0.0,-367.0569152832031,41,275,275,7728.017882163447,3.799055256880254
0.0,0.0,-400.08624267578125,45,363,363,7264.867900185843,3.0106799726543367
0.0,0.0,-150.29969787597656,20,122,122,1835.3397510727887,3.4279579591039915
0.0,0.0,-297.0014343261719,31,272,272,14482.429425584247,2.979981337649168
0.0,0.0,-137.40805053710938,15,81,81,9514.161981812102,5.454253078125013
1.0,1.0,-233.56842041015625,31,288,288,1871.4431955532586,2.250160303677839
0.0,0.0,-238.53515625,32,275,275,1727.1425777930235,2.3807142987544783
1.0,0.0,-186.4933319091797,18,111,111,31594.57354663379,5.366200452211174
1.0,1.0,-231.2780303955078,24,205,205,15314.947631150768,3.0900445680550592
1.0,0.0,-141.74868774414062,19,108,108,1737.9425493891383,3.7154055935672106
0.0,0.0,-158.75103759765625,16,104,104,20372.47185865278,4.601821873739852
0.0,0.0,-414.14935302734375,57,428,428,1430.498298845502,2.6317227645502954
1.0,0.0,-404.8645324707031,50,428,428,3285.5542870151526,2.575246272437531
0.0,1.0,-299.819091796875,31,254,254,15860.44584929544,3.255644063912436
0.0,1.0,-291.3902893066406,39,349,349,1757.3211939682774,2.3046508633673346
0.0,1.0,-296.68096923828125,36,255,255,3793.855390279207,3.200972856719797
0.0,0.0,-243.09637451171875,24,158,158,25059.68364969127,4.657992907483987
0.0,0.0,-355.572998046875,52,357,357,932.5681856005677,2.7074379874709047
1.0,0.0,-97.3428726196289,9,60,60,49805.20300235919,5.065137124709386
0.0,0.0,-395.54193115234375,55,397,397,1328.3216081083165,2.708316658046105
1.0,1.0,-361.1175537109375,52,465,465,1037.499054308908,2.174061092436556
1.0,1.0,-273.8927001953125,35,272,272,2503.651937258861,2.737262837264577
1.0,1.0,-383.2267150878906,52,440,440,1587.2282276353928,2.3892268192595987
0.0,0.0,-416.63250732421875,59,399,399,1166.27235557992,2.8411012687035035
1.0,0.0,-346.5476989746094,44,363,363,2633.5395783296467,2.5978309755421836
0.0,0.0,-319.1986389160156,44,385,385,1414.4761376950748,2.2912267522615513
0.0,1.0,-352.1150207519531,42,354,354,4375.127627142896,2.70384598909848
1.0,1.0,-382.7351989746094,51,336,336,1816.3999007816735,3.1239332161969244
0.0,0.0,-187.29800415039062,20,136,136,11671.441126703248,3.963752616542581
1.0,1.0,-304.2347412109375,39,275,275,2442.77703517774,3.023176651326472
1.0,1.0,-369.8514709472656,46,395,395,3103.3869805487734,2.5506107437377827
0.0,0.0,-238.73550415039062,36,273,273,758.650943749083,2.3976498446359185
1.0,1.0,-229.18270874023438,26,267,267,6732.619450733122,2.359293488692695
0.0,1.0,-369.65289306640625,47,403,403,2604.3936720005354,2.502406418724822
0.0,0.0,-191.85177612304688,16,131,131,161253.99470095645,4.325455163599457
0.0,0.0,-175.32171630859375,16,123,123,57388.96229400183,4.159437327809595
1.0,0.0,-276.0914611816406,46,409,409,404.2317235026621,1.964112024757572
0.0,1.0,-328.87939453125,56,419,419,355.25872644614094,2.1922206439308862
0.0,0.0,-236.75537109375,30,184,184,2675.377318759948,3.6208687141611904
1.0,1.0,-327.80157470703125,45,318,318,1457.502214978105,2.80337083280713
0.0,0.0,-296.292724609375,25,268,268,140323.9538199273,3.0209455183903158
0.0,1.0,-148.37924194335938,17,105,105,6174.546407671163,4.10881899289939
0.0,0.0,-150.77658081054688,15,99,99,23196.85652904438,4.585943048321029
1.0,1.0,-175.59390258789062,34,266,266,174.95460612480957,1.9350389458586543
1.0,1.0,-186.11294555664062,21,131,131,7062.265822175363,4.140056802136635
0.0,0.0,-249.83493041992188,30,224,224,4137.433776996191,3.0505884633223035
0.0,0.0,-269.4568176269531,32,277,277,4539.288455288572,2.645257184191345
1.0,1.0,-216.00015258789062,34,239,239,574.1815665596464,2.4688842521825443
0.0,0.0,-217.3643798828125,42,304,304,176.85715593979225,2.044216134109257
1.0,1.0,-132.5220184326172,15,97,97,6869.18831365594,3.9204497352198744
0.0,1.0,-409.7898254394531,42,359,359,17273.012747616554,3.131386372124917
0.0,1.0,-412.56732177734375,51,396,396,3260.237514669987,2.834418130540731
1.0,1.0,-262.6448059082031,35,260,260,1815.5383452328726,2.7460742063539185
1.0,1.0,-264.50372314453125,43,309,309,469.30335675245345,2.35372482216126
0.0,0.0,-146.99310302734375,16,117,117,9769.972587100421,3.5125817482986257
0.0,0.0,-214.7488555908203,22,149,149,17349.37250330638,4.2260488866205375
0.0,0.0,-270.0020751953125,39,306,306,1015.4936553715089,2.4165954791483952
0.0,0.0,-326.9332275390625,36,282,282,8790.954224507977,3.1878212391258955
1.0,1.0,-224.79898071289062,27,202,202,4129.403211025686,3.043068073395914
1.0,1.0,-206.902099609375,21,163,163,19005.447617804846,3.558496180507977
0.0,1.0,-220.36038208007812,33,251,251,794.4001771742419,2.405913846367288
0.0,1.0,-368.7183837890625,52,353,353,1200.7938392758736,2.8420567545323374
0.0,1.0,-227.6038818359375,42,304,304,225.68495982816162,2.114243319072069
1.0,0.0,-292.4571533203125,30,241,241,17129.74623849788,3.3652934270255925
1.0,0.0,-337.40216064453125,51,377,377,746.7486431509786,2.447252442833423
0.0,0.0,-246.44122314453125,30,217,217,3694.8950811100967,3.1132706806306705
0.0,1.0,-296.7289733886719,51,337,337,336.37115035704613,2.412108846004186
0.0,0.0,-94.79512786865234,13,66,66,1468.4062573805209,4.205065273740969
0.0,0.0,-252.07785034179688,24,161,161,36433.492865959386,4.786028449570399
1.0,1.0,-349.4970703125,38,314,314,9870.357217414265,3.0436212118523356
1.0,1.0,-301.8530578613281,41,282,282,1575.408218356436,2.916548551934686
0.0,0.0,-169.78871154785156,16,120,120,40611.00921410197,4.1160992445158335
0.0,1.0,-276.50482177734375,38,331,331,1445.8355639148826,2.3056485404557847
0.0,0.0,-429.5690612792969,45,442,442,13988.336294539491,2.6428971063910747
0.0,0.0,-210.54055786132812,24,185,185,6454.438058237268,3.1206991695495523
1.0,0.0,-138.45968627929688,13,119,119,42224.04389881018,3.2012033162705236
0.0,0.0,-356.0501708984375,48,392,392,1665.2189474138602,2.4800810777705977
0.0,0.0,-300.65606689453125,37,286,286,3380.7053353293704,2.861211078272045
0.0,0.0,-218.92233276367188,34,278,278,625.7132131112825,2.1978737277431777
0.0,1.0,-341.0191955566406,42,325,325,3359.3562962626634,2.8556224275015887
1.0,1.0,-142.60443115234375,17,116,116,4396.200614342152,3.4190014830243673
0.0,1.0,-282.24334716796875,40,343,343,1159.8937431815148,2.277018476296755
1.0,1.0,-206.44091796875,24,191,191,5440.928009945037,2.9471614961897155
1.0,1.0,-230.09519958496094,41,309,309,273.7124324509723,2.1056930626325525
1.0,1.0,-359.1473083496094,40,317,317,7932.176243863522,3.1048233096879763
0.0,0.0,-270.389404296875,43,357,357,538.1437303804173,2.1327096115153
1.0,1.0,-200.06610107421875,27,175,175,1652.187746030011,3.136899410798839
1.0,1.0,-431.7351379394531,63,442,442,946.6587667326844,2.6558807444675483
0.0,0.0,-312.3892822265625,38,273,273,3717.365825114845,3.140189301104666
0.0,0.0,-340.8393859863281,45,360,360,1947.3185009303465,2.577386941151666
0.0,1.0,-227.907470703125,34,290,290,814.9778239823719,2.194354289740562
0.0,0.0,-121.12134552001953,18,114,114,836.2801294249252,2.893503186110731
0.0,0.0,-302.2713928222656,40,313,313,1913.682778003451,2.626686851495475
0.0,0.0,-444.7389221191406,53,405,405,4408.546919100458,2.9985258823525363
0.0,0.0,-124.857421875,16,109,109,2449.376710236531,3.143953029198587
1.0,0.0,-261.95257568359375,32,281,281,3590.3967479032585,2.5401307899923293
1.0,0.0,-128.78311157226562,16,96,96,3130.488912042947,3.8247409731381725
0.0,0.0,-230.40335083007812,29,195,195,2821.2720169513923,3.2594407946537407
0.0,0.0,-295.13128662109375,36,272,272,3634.0074354414883,2.9595626230369247
0.0,0.0,-326.32708740234375,51,396,396,600.9852196007689,2.279732933147367
0.0,0.0,-108.74832916259766,10,64,64,52829.91685100265,5.469529746437298
0.0,0.0,-111.9795150756836,12,86,86,11289.476146706904,3.6769639004275225
0.0,1.0,-411.8690490722656,56,412,412,1563.6911821166,2.7174179814602564
0.0,0.0,-104.67928314208984,10,64,64,35169.28214334565,5.132607420162022
1.0,0.0,-312.6273498535156,51,445,445,459.41228731735004,2.018860756646466
1.0,1.0,-420.47564697265625,49,387,387,5330.1552936420385,2.963883435109266
