acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-329.88812255859375,66,467,467,148.16179516981765,2.026679114625398
0.0,1.0,-163.45101928710938,16,116,116,27328.5905331982,4.092109106476697
0.0,0.0,-209.52972412109375,30,191,191,1079.5765256767386,2.995209749730229
1.0,1.0,-229.07191467285156,39,258,258,355.54038301309686,2.42996204591842
1.0,0.0,-342.41748046875,36,244,244,13515.557112985798,4.0688090087573086
0.0,1.0,-151.25155639648438,10,67,67,3704858.5566782593,9.559026739273367
0.0,1.0,-342.27752685546875,48,340,340,1249.8537325490668,2.7365516568414567
0.0,0.0,-269.0992431640625,41,259,259,708.6743943640753,2.8263700397163842
0.0,1.0,-211.28369140625,26,160,160,3382.24788891466,3.7453799657022047
0.0,0.0,-143.76275634765625,10,73,73,1752012.4117150523,7.166037319173778
0.0,1.0,-217.43487548828125,35,212,212,498.90964836225305,2.7888691891729396
1.0,0.0,-221.08065795898438,21,169,169,37333.651317252545,3.699396039363401
0.0,1.0,-150.95668029785156,11,70,70,911944.6464495502,8.641049144926516
0.0,1.0,-242.39178466796875,33,241,241,1548.7533500361394,2.7340254312785612
0.0,0.0,-215.30474853515625,21,158,158,28356.372774049327,3.9066814588478036
1.0,0.0,-213.82183837890625,23,156,156,10900.911282787689,3.9379205709640246
1.0,1.0,-223.98452758789062,33,220,220,886.6141897873209,2.7679624973983237
1.0,0.0,-203.99591064453125,22,164,164,10641.762449553358,3.4690386307994747
1.0,1.0,-170.30526733398438,15,91,91,85279.08320506982,6.4979481264956584
0.0,1.0,-281.518310546875,41,293,293,959.392486174494,2.613821551903784
1.0,0.0,-287.71844482421875,48,337,337,401.0693147757321,2.34846971568707
1.0,1.0,-162.4243621826172,17,103,103,14106.264183424799,4.840100839752168
0.0,0.0,-255.93653869628906,31,226,226,3850.7275262994867,3.1032891359194386
1.0,1.0,-156.62973022460938,16,105,105,17842.84986261124,4.444697072277945
0.0,0.0,-236.76219177246094,37,255,255,601.2303602445047,2.5306575835683582
1.0,1.0,-333.6319885253906,55,383,383,430.968997088458,2.3895421957892533
1.0,1.0,-259.4572448730469,39,272,272,774.9123053312887,2.5957796890056204
0.0,0.0,-236.3497314453125,36,241,241,710.0037970120432,2.666333425741765
1.0,0.0,-187.23666381835938,20,125,125,11635.699461161546,4.472257481444049
1.0,1.0,-234.55630493164062,26,187,187,8278.328404839795,3.5054250791983264
1.0,0.0,-193.43368530273438,21,137,137,10007.87809741805,4.103846522998259
0.0,0.0,-193.54562377929688,24,167,167,3179.251245958432,3.1866041850903426
1.0,1.0,-373.9562683105469,60,417,417,509.0796419736316,2.4516900960392856
1.0,1.0,-287.8578796386719,52,390,390,253.59245095435006,2.091951008184598
0.0,1.0,-236.42501831054688,28,207,207,4645.947689204551,3.1334976693921237
1.0,1.0,-275.1597900390625,44,332,332,519.8974558273309,2.2905559208712174
1.0,1.0,-270.10003662109375,40,264,264,856.1973644633423,2.781822252072816
1.0,1.0,-251.92788696289062,33,215,215,2067.6715391492935,3.2276606368087024
1.0,0.0,-346.986083984375,55,399,399,549.4061076938757,2.3860500696754627
1.0,1.0,-147.9071807861328,12,79,79,225392.45334137316,6.502864647148294
1.0,1.0,-300.5169677734375,54,388,388,261.1588996106655,2.1695684297148388
1.0,0.0,-350.9328918457031,65,448,448,221.1779468419836,2.1887538155460278
1.0,0.0,-281.81280517578125,40,278,278,1147.4761178586805,2.7558202412983523
0.0,1.0,-252.03732299804688,44,315,315,307.3911304464303,2.225804638907902
0.0,1.0,-210.06320190429688,35,231,231,404.15795072487686,2.4827442738090864
