acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-286.6362609863281,66,456,456,76.9359802965253,1.874961810790748
0.0,0.0,-151.08029174804688,15,90,90,23671.31957683404,5.358424033838015
0.0,0.0,-225.30162048339844,40,237,237,279.3709621432777,2.587364393412427
1.0,1.0,-269.2702941894531,54,312,312,146.42113113046958,2.370369415951464
1.0,1.0,-250.73199462890625,45,290,290,262.91271707731505,2.3740398568028254
1.0,1.0,-301.77044677734375,47,270,270,614.400996520627,3.057716273240912
1.0,1.0,-139.80381774902344,13,82,82,46823.46882579286,5.500970915201168
1.0,1.0,-306.80377197265625,47,276,276,683.8508437879171,3.0392411710291984
0.0,0.0,-240.85145568847656,46,291,291,187.8983660662158,2.2879774841061855
0.0,0.0,-195.40223693847656,22,131,131,7200.601627151399,4.444290013899189
0.0,1.0,-127.78746032714844,13,69,69,18579.324223912157,6.372502048033836
1.0,1.0,-213.98675537109375,40,248,248,210.53857369195129,2.3699048817163364
1.0,1.0,-218.4629669189453,26,177,177,4457.849726156939,3.4358146199761905
0.0,1.0,-149.57290649414062,12,71,71,258954.81720353072,8.220743497925689
0.0,1.0,-239.54586791992188,40,233,233,398.87444692016464,2.795731678971846
1.0,1.0,-223.09329223632812,22,141,141,25351.779215200444,4.865755180146151
1.0,0.0,-196.5507354736328,23,132,132,5144.503545650548,4.432752501535117
1.0,1.0,-231.82730102539062,37,237,237,526.1586222112597,2.659596091411508
0.0,1.0,-190.08450317382812,23,122,122,3883.700115672688,4.749644143803538
0.0,1.0,-281.45733642578125,47,288,288,398.7975786605692,2.6572251939257865
0.0,0.0,-255.41818237304688,54,333,333,113.2917489115845,2.153343108544462
0.0,0.0,-160.96502685546875,22,124,124,1505.0661501333673,3.6623501370193443
0.0,0.0,-244.7356414794922,34,232,232,1336.8977571501646,2.871673630654407
0.0,0.0,-144.70379638671875,15,92,92,15474.05081677965,4.820450324556371
1.0,1.0,-203.3060302734375,41,261,261,142.4062182066172,2.1791835919671563
1.0,1.0,-301.96295166015625,59,378,378,167.00372705012796,2.22296921717322
1.0,1.0,-287.2529296875,47,281,281,451.13402190144205,2.779448200067828
0.0,0.0,-234.0850067138672,43,242,242,231.32817317703697,2.630814295090318
1.0,0.0,-168.40029907226562,21,103,103,3038.3256224767338,5.129223893521292
1.0,0.0,-224.5177001953125,35,200,200,610.8133527270542,3.0727978580348463
0.0,0.0,-165.11465454101562,20,102,102,3849.6315717400757,5.0468845037194505
1.0,0.0,-192.88131713867188,22,137,137,6421.022148753163,4.08733359965309
1.0,1.0,-323.0223388671875,71,407,407,94.59554733220025,2.21149040639474
1.0,0.0,-273.6551818847656,54,318,318,158.80682927868193,2.364462885511023
0.0,1.0,-210.9175262451172,34,216,216,494.45525135989806,2.655067369405308
0.0,1.0,-224.72108459472656,50,323,323,89.51638596174357,2.005174144417611
0.0,1.0,-249.05108642578125,44,258,258,287.2210028561812,2.6256127266247336
0.0,1.0,-224.06594848632812,32,164,164,1098.8955294035375,3.9206434410337603
0.0,1.0,-353.73876953125,56,354,354,553.7779209284629,2.7162766417469024
1.0,1.0,-140.91683959960938,13,65,65,51008.975798890235,8.740359997421736
1.0,1.0,-274.6663818359375,59,324,324,105.14731890373349,2.3343552911142087
0.0,0.0,-296.24700927734375,78,505,505,44.61359264767304,1.7979151455610645
1.0,0.0,-289.23699951171875,42,271,271,979.0622506553145,2.907504639616505
1.0,1.0,-239.06790161132812,46,289,289,180.75242836717845,2.286962626171815
0.0,1.0,-231.25794982910156,49,290,290,112.11778791840511,2.219853507972717
1.0,1.0,-280.3486328125,64,397,397,79.8737599500603,2.0262115963812097
1.0,1.0,-261.4759521484375,49,325,325,207.73098918147448,2.235670965358063
1.0,1.0,-264.88311767578125,50,304,304,199.86904028835878,2.390078104188239
0.0,1.0,-211.0402374267578,53,292,292,53.618345279901675,2.0600711872723383
0.0,0.0,-315.4146423339844,57,314,314,253.0507891947447,2.7305559423824572
0.0,0.0,-231.16366577148438,27,159,159,5227.127917141971,4.279599939536422
1.0,1.0,-278.7496032714844,42,264,264,762.7232984135746,2.8744740240670934
0.0,1.0,-245.918701171875,43,255,255,304.6122213075457,2.6231793210570324
1.0,1.0,-206.07916259765625,36,244,244,306.2559478643537,2.32701593450691
0.0,0.0,-286.38818359375,54,336,336,201.0361778900692,2.345141601488425
1.0,1.0,-159.68600463867188,20,122,122,2934.5231002847786,3.7021053723210113
1.0,0.0,-203.58096313476562,24,129,129,4829.70240373686,4.845967913045878
0.0,1.0,-227.90908813476562,49,335,335,104.71117862259942,1.9745206029855138
0.0,1.0,-308.04852294921875,61,388,388,156.01868661241153,2.2120938095404323
0.0,0.0,-227.30943298339844,35,186,186,661.5299299416695,3.394287005058364
0.0,1.0,-314.2475280761719,53,333,333,375.8532004978369,2.5694356169706896
0.0,1.0,-262.7893371582031,33,225,225,2873.578071959299,3.215402710085892
0.0,1.0,-185.27963256835938,22,121,121,4545.083964052904,4.623891343871765
1.0,0.0,-186.43295288085938,19,108,108,18256.211877410053,5.6194345512838275
1.0,1.0,-212.0831756591797,44,268,268,123.9740381681251,2.2063843456469607
1.0,1.0,-206.88063049316406,23,138,138,8061.138039022076,4.4778141014669455
0.0,1.0,-217.00399780273438,34,218,218,591.3869397798381,2.7058908227679432
1.0,0.0,-254.23497009277344,42,273,273,425.47814076453335,2.5377138754646698
1.0,0.0,-230.212158203125,38,241,241,427.61133599945157,2.599286985228905
0.0,0.0,-244.2843780517578,38,259,259,619.2668414451907,2.5681426332824717
1.0,1.0,-197.08843994140625,32,207,207,472.9613857034901,2.591192170635746
0.0,0.0,-156.4591064453125,17,95,95,9931.599779215414,5.191060245731117
0.0,0.0,-301.83990478515625,49,340,340,473.4271548891945,2.4296918189655043
0.0,0.0,-270.54156494140625,54,360,360,149.90908051067473,2.1201871160133026
0.0,1.0,-281.2939147949219,63,372,372,86.91953229641523,2.130094697430782
1.0,1.0,-229.094482421875,49,301,301,107.27521128570542,2.1406536734647363
1.0,1.0,-286.1487731933594,46,295,295,503.01777336817514,2.637933489045505
1.0,1.0,-264.18524169921875,40,289,289,738.5073411024086,2.49461843196125
1.0,0.0,-210.89288330078125,29,165,165,1439.6688339274112,3.589951478502563
1.0,1.0,-231.49383544921875,50,314,314,102.50142582652285,2.090161872991187
0.0,1.0,-231.37228393554688,36,232,232,618.3210909028818,2.7109369883950403
1.0,0.0,-254.14413452148438,27,166,166,12243.441967348921,4.622745359097211
1.0,1.0,-233.32000732421875,26,178,178,7893.906688135814,3.7090899795538372
0.0,1.0,-186.73068237304688,38,230,230,136.17833664658573,2.252121209908779
0.0,1.0,-309.5899353027344,63,374,374,136.200212944896,2.288234536958049
0.0,1.0,-257.4605712890625,46,286,286,269.60797004066785,2.4601240800672546
1.0,0.0,-250.8644561767578,47,282,282,208.00073654610273,2.434132110310386
1.0,0.0,-262.30841064453125,56,330,330,108.21053866270556,2.2141619320446893
0.0,0.0,-261.5234069824219,42,223,223,506.106835977192,3.2308675870109074
1.0,1.0,-232.4686279296875,47,288,288,140.63122234698827,2.241583948556954
1.0,1.0,-135.27395629882812,14,78,78,15715.856501598666,5.664856091174017
0.0,1.0,-229.83877563476562,30,182,182,2124.5016180282887,3.535484739094834
1.0,1.0,-284.61346435546875,43,297,297,749.1339273235486,2.60724600246352
1.0,1.0,-255.0386962890625,46,279,279,255.78045644996226,2.494572048888903
0.0,0.0,-159.60174560546875,20,122,122,2922.186102153451,3.6995494040801393
1.0,1.0,-228.01913452148438,46,292,292,142.1577998269488,2.183409065773683
0.0,1.0,-376.7281494140625,57,419,419,741.9380723162113,2.4574212516457656
0.0,1.0,-227.0086669921875,31,208,208,1514.5296770502393,2.9784047014124426
1.0,0.0,-143.5411834716797,14,107,107,28365.862501651132,3.824800800362566
0.0,1.0,-296.85980224609375,77,435,435,47.24383206406076,1.978692606771939
0.0,1.0,-288.59326171875,50,290,290,321.13616858291255,2.705127857665445
1.0,1.0,-205.53765869140625,41,288,288,150.37221091921057,2.0414746737864884
0.0,1.0,-342.1877746582031,56,337,337,450.5621277790029,2.760450773385758
0.0,0.0,-187.24485778808594,18,110,110,32941.61724897693,5.486145860285278
1.0,1.0,-170.1067657470703,17,108,108,22165.23474818264,4.831044253292835
0.0,1.0,-270.0661926269531,52,320,320,180.1123148052444,2.325550655237352
1.0,1.0,-211.9976806640625,34,198,198,510.4159093412277,2.91740743418425
0.0,0.0,-219.2570343017578,42,298,298,185.00920463294656,2.0870714433607964
1.0,0.0,-193.4169158935547,21,128,128,9999.889563493074,4.5315754270179
1.0,0.0,-247.35667419433594,48,306,306,172.995234126284,2.2442135419415665
0.0,0.0,-278.9004821777344,51,348,348,237.13673256906435,2.2287439310823065
1.0,1.0,-200.12210083007812,30,169,169,788.9766250299213,3.2679224375018094
1.0,1.0,-371.3946533203125,68,424,424,235.4941513791209,2.4011091732957404
0.0,1.0,-233.62913513183594,43,284,284,228.88866372938895,2.276496867463682
1.0,0.0,-317.755615234375,58,352,352,239.49800578685415,2.46628955317656
0.0,1.0,-231.63072204589844,38,240,240,443.87603233641323,2.62512367317585
0.0,1.0,-160.66546630859375,22,117,117,1484.7114777757054,3.9479999691164918
1.0,0.0,-242.45401000976562,47,280,280,173.92009292229605,2.377161618266717
1.0,1.0,-322.91595458984375,67,375,375,123.92060933753126,2.3657833947685116
1.0,1.0,-143.28599548339844,18,102,102,2865.0270837241724,4.074567726183971
1.0,0.0,-251.90762329101562,35,257,257,1335.9002197045672,2.6649500237675605
1.0,1.0,-150.47576904296875,18,100,100,4271.690573976956,4.503062362975304
0.0,1.0,-201.71017456054688,28,150,150,1344.7115468593747,3.8371676260971066
1.0,1.0,-230.46084594726562,45,246,246,167.5617821914823,2.5518860343594336
0.0,0.0,-323.7828674316406,54,322,322,401.8098740071695,2.733374305693909
0.0,0.0,-118.75169372558594,12,68,68,19850.30154397436,5.733627701630782
1.0,0.0,-164.91937255859375,15,80,80,59553.171863732794,7.857685967954133
1.0,1.0,-149.76055908203125,15,81,81,21677.654710357187,6.352800829277567
0.0,0.0,-207.31588745117188,22,141,141,12375.196048305554,4.350650799175365
0.0,1.0,-200.99371337890625,37,218,218,228.66602290149382,2.51428761992297
1.0,1.0,-134.29733276367188,13,75,75,30655.398473054247,5.993233623916723
1.0,1.0,-275.86767578125,60,376,376,99.26515432792412,2.082753105809344
1.0,0.0,-312.6998291015625,49,319,319,590.8895807441144,2.6651231001243416
0.0,1.0,-312.61126708984375,60,372,372,183.12844370888155,2.317184494000043
1.0,0.0,-235.57298278808594,25,173,173,12368.637471758744,3.90279725975144
1.0,0.0,-286.59130859375,56,344,344,166.95126428114986,2.300471884736413
0.0,1.0,-264.34246826171875,54,376,376,133.65086219905936,2.0198807588923846
0.0,0.0,-202.3372344970703,29,163,163,1071.8549419614735,3.460221924272458
1.0,1.0,-270.5320129394531,40,274,274,865.4938972685565,2.684093656615423
0.0,1.0,-320.80224609375,58,393,393,252.41465927398363,2.262093478707568
1.0,1.0,-304.6806945800781,58,376,376,191.16088891221844,2.248629672474233
1.0,1.0,-188.85403442382812,21,124,124,8046.956772689459,4.586037707201193
0.0,1.0,-283.0158996582031,37,235,235,2098.7104614941395,3.334500780869052
0.0,0.0,-369.9388427734375,67,413,413,250.00358687896613,2.449136949014146
1.0,1.0,-226.3740692138672,49,287,287,101.48174839543368,2.200665518539426
1.0,1.0,-237.8504638671875,42,265,265,288.0419941571979,2.453581810145895
0.0,1.0,-282.6556091308594,57,333,333,142.43280371694024,2.3368775151480707
1.0,0.0,-207.16969299316406,25,148,148,3971.0575346287796,4.054369639883023
0.0,0.0,-355.9726257324219,61,419,419,342.27578989144536,2.3386566244316773
0.0,1.0,-257.99835205078125,48,295,295,215.9324587307134,2.3978456416617737
1.0,1.0,-225.05514526367188,41,302,302,242.05134776092873,2.106895870359254
