acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-223.0967559814453,66,456,456,29.378228667417986,1.6310879919696553
0.0,0.0,-85.52422332763672,15,90,90,299.35042841139307,2.5864056917823364
0.0,0.0,-139.0566864013672,40,237,237,32.34363217628155,1.7981117264697217
1.0,1.0,-198.38780212402344,54,312,312,39.40324555808266,1.88864254363853
1.0,1.0,-152.7767791748047,45,290,290,29.815832286691897,1.693532323528961
1.0,1.0,-220.0867462158203,47,270,270,108.06109136615378,2.259483160520877
1.0,1.0,-77.94518280029297,13,82,82,401.7312337768498,2.5871348031718324
1.0,1.0,-210.81500244140625,47,276,276,88.7146983237506,2.146465364208006
0.0,0.0,-151.10443115234375,46,291,291,26.705751070065098,1.6807820878657878
0.0,0.0,-128.89324951171875,22,131,131,350.29794672643743,2.6749158855622754
0.0,0.0,-67.7088851928711,13,69,69,182.79691528461112,2.6678907827134597
0.0,1.0,-152.90350341796875,40,248,248,45.72236591222702,1.8525190930040687
1.0,1.0,-140.90676879882812,26,177,177,225.7642035871015,2.2168415099127055
0.0,1.0,-88.08293914794922,12,71,71,1541.0895249545727,3.457703971461028
0.0,1.0,-160.99630737304688,40,233,233,55.97514116024772,1.995652922565775
1.0,1.0,-135.94613647460938,22,141,141,482.6876899016031,2.6225758830973334
1.0,0.0,-137.23629760742188,23,132,132,390.2531176234032,2.828280475813429
1.0,1.0,-169.5576171875,37,237,237,97.77200634382493,2.0450719738528487
1.0,1.0,-116.13082122802734,23,122,122,155.89241787645824,2.5906063940358655
0.0,1.0,-195.76177978515625,47,288,288,64.40197180605357,1.973341703844289
0.0,0.0,-164.05027770996094,54,333,333,20.86280911677998,1.6366369180132692
0.0,0.0,-90.61072540283203,22,124,124,61.47738210343299,2.0765994093885367
0.0,0.0,-163.66754150390625,34,232,232,123.19287550118482,2.0247850382337154
0.0,0.0,-94.93986511230469,15,92,92,560.7775713085614,2.806547430723442
1.0,1.0,-127.64093780517578,41,261,261,22.492762819541156,1.630759306754445
1.0,1.0,-222.28738403320312,59,378,378,43.275332316990244,1.800495423881858
1.0,1.0,-182.4327392578125,47,281,281,48.49921652955882,1.9140603629003916
0.0,0.0,-130.8000946044922,43,242,242,20.944218992723208,1.7168586568508142
1.0,0.0,-105.50308227539062,21,103,103,152.011518689667,2.785150105198019
0.0,0.0,-146.01300048828125,35,200,200,64.83204572762544,2.0752154973637684
0.0,0.0,-94.13965606689453,20,102,102,110.71759867259338,2.516673033802565
1.0,1.0,-133.25421142578125,22,137,137,427.09634080027695,2.644966705611289
1.0,1.0,-224.33908081054688,71,407,407,23.563652194849094,1.7353370727185258
1.0,1.0,-201.81402587890625,54,318,318,41.98434352346441,1.8863340728020204
0.0,1.0,-150.81004333496094,34,216,216,84.40186595691638,2.010120448835333
0.0,1.0,-150.4500732421875,50,323,323,20.26715235382498,1.5932718997349276
1.0,1.0,-169.40029907226562,44,258,258,46.9933826490714,1.92820651970547
0.0,0.0,-167.20010375976562,32,164,164,185.86177318041524,2.7718440696167534
1.0,1.0,-248.65762329101562,56,354,354,84.8016246841288,2.0186372694354238
1.0,1.0,-72.30777740478516,13,65,65,260.37859941343555,3.0417327746294163
1.0,1.0,-204.42486572265625,59,324,324,31.97096773106144,1.8793781363558426
0.0,0.0,-228.9051971435547,78,505,505,18.815519124593152,1.573460947133127
1.0,0.0,-176.7056884765625,42,271,271,67.1734645689796,1.9194726963142557
1.0,1.0,-158.82542419433594,46,289,289,31.586398885450524,1.7325060460318633
0.0,1.0,-151.470947265625,49,290,290,22.00443055063238,1.685923713060296
1.0,1.0,-205.43466186523438,64,397,397,24.777019527940716,1.6777735760308568
1.0,1.0,-180.9502410888672,49,325,325,40.15962200198894,1.7450269027445384
1.0,1.0,-185.01527404785156,50,304,304,40.45966212874804,1.8378618817393226
1.0,1.0,-136.64151000976562,53,292,292,13.172636667980408,1.5967181663695877
0.0,1.0,-222.32595825195312,57,314,314,49.42495249628732,2.030017579831464
0.0,0.0,-161.0389404296875,27,159,159,389.3213912535631,2.753364242014478
1.0,1.0,-219.40261840820312,42,264,264,185.65161260725372,2.2957751082086677
0.0,0.0,-155.38433837890625,43,255,255,37.09897215919594,1.8392361445289482
1.0,1.0,-152.82431030273438,36,244,244,69.76411254512587,1.8707307699237201
1.0,0.0,-201.28292846679688,54,336,336,41.573445672639004,1.8204001411943436
1.0,1.0,-94.7802505493164,20,122,122,114.32125682317853,2.1746925529521426
