acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,0.0,-581.3216552734375,40,834,834,2049366.7108172502,2.0077774492437164
0.0,0.0,-397.80010986328125,29,750,750,906408.3198868836,1.6996122664413287
1.0,1.0,-454.43011474609375,33,785,785,956092.1109520722,1.7840603568822033
0.0,0.0,-355.3373107910156,20,369,369,52005785.99814199,2.6194745441237606
0.0,0.0,-517.3154296875,38,770,770,817138.5465982371,1.9578329432540376
0.0,0.0,-475.8617858886719,28,607,607,24036012.433881916,2.1901210442655636
0.0,0.0,-396.0831604003906,25,493,493,7597474.261556293,2.233152174312402
0.0,0.0,-507.9543151855469,34,647,647,3078129.9134065243,2.192607943802242
1.0,0.0,-296.67779541015625,13,320,320,8150693704.588321,2.527215517437247
0.0,0.0,-368.559814453125,25,551,551,2526618.936298542,1.9520743671968201
0.0,1.0,-250.12107849121094,15,294,294,17448051.981457885,2.341406852336622
1.0,0.0,-385.64569091796875,28,512,512,958438.2251893067,2.1238155103518506
0.0,0.0,-588.237060546875,42,981,981,1209411.334445746,1.8214447978600852
0.0,0.0,-464.6578369140625,27,555,555,29786014.086032048,2.309939486275611
1.0,0.0,-260.19403076171875,14,252,252,117892990.58692779,2.8081221757125667
0.0,0.0,-334.11749267578125,17,349,349,343250190.43053406,2.604802124767409
0.0,0.0,-535.4906005859375,39,884,884,918528.5074813431,1.8326419201029025
0.0,1.0,-444.2355041503906,32,728,728,1069133.9698003258,1.8408245653880262
0.0,1.0,-473.77783203125,28,654,654,22312036.814149078,2.063556469723547
0.0,0.0,-446.9246826171875,31,724,724,1824698.3537401618,1.8539143809924958
1.0,1.0,-450.62664794921875,26,495,495,33659104.829794236,2.4852092582234513
0.0,0.0,-206.78463745117188,12,219,219,30463905.69450075,2.5708127365540685
0.0,0.0,-470.691162109375,30,618,618,6515570.967725493,2.1417776989627875
0.0,1.0,-413.82159423828125,26,612,612,8171925.864697291,1.966350084991462
0.0,0.0,-446.608154296875,30,674,674,2919545.3981598094,1.9398746824775146
0.0,0.0,-385.8388671875,24,507,507,9593721.826978393,2.1404656668235855
0.0,0.0,-191.5101318359375,10,195,195,207577056.14048144,2.6700661307705573
0.0,0.0,-413.6307678222656,30,582,582,972565.0685218152,2.035427329215336
0.0,0.0,-540.5028076171875,35,688,688,5090758.323781716,2.1937546896352287
1.0,0.0,-427.3531188964844,24,506,506,54101904.905543774,2.326980213366221
0.0,0.0,-368.10986328125,26,504,504,1408550.4228994811,2.0758624644822987
0.0,0.0,-520.7198486328125,35,718,718,2892726.2685517576,2.0652195863692624
0.0,1.0,-437.4971923828125,32,650,650,866127.375812896,1.9602511517196861
0.0,0.0,-702.901611328125,46,869,869,4327366.91172483,2.2453527004370253
0.0,1.0,-409.91375732421875,24,543,543,26159942.55154789,2.1274107510471145
0.0,0.0,-430.154296875,26,524,524,15315807.66402109,2.272555903366132
1.0,0.0,-458.67510986328125,29,603,603,7395506.165189214,2.139677764239404
0.0,1.0,-460.339111328125,38,699,699,182441.91734285429,1.9320239138599404
0.0,0.0,-429.2967224121094,29,603,603,2685386.58637788,2.037930562931546
0.0,0.0,-708.0556030273438,49,1075,1075,1886274.6316293455,1.9321944445617816
0.0,0.0,-213.45106506347656,12,244,244,53094757.646813214,2.398394240525767
0.0,0.0,-398.427978515625,29,582,582,926246.6240946143,1.98294706647966
0.0,0.0,-469.1937255859375,29,618,618,10628971.442107758,2.1365943757661245
0.0,0.0,-436.879150390625,36,595,595,186377.9639877055,2.0839198697280334
0.0,0.0,-175.26925659179688,7,131,131,74828542053.48727,3.8111586725129687
1.0,0.0,-663.5442504882812,42,1005,1005,7265681.312309672,1.9352626144051503
1.0,1.0,-468.1370544433594,31,597,597,3617143.9366415367,2.190542368294189
0.0,0.0,-738.0344848632812,45,1103,1103,13266681.906209266,1.952509718358763
0.0,0.0,-573.1097412109375,39,930,930,2409962.076645335,1.851964622204475
0.0,0.0,-197.86004638671875,9,179,179,3529597216.9144964,3.0203218170160384
0.0,0.0,-622.234619140625,44,1047,1047,1385672.1539078227,1.8117666265943453
0.0,1.0,-296.53350830078125,18,393,393,14275906.219774446,2.126629195921068
1.0,0.0,-656.0547485351562,42,898,898,6079002.363929636,2.0762704193676513
0.0,1.0,-534.2178344726562,33,675,675,10728552.74762447,2.206557985642201
0.0,0.0,-210.19691467285156,10,158,158,1345042525.9205215,3.7824056382721998
0.0,0.0,-549.2183837890625,36,787,787,4223041.733778908,2.0094544306157847
1.0,1.0,-461.94390869140625,28,583,583,14621399.591238083,2.2085951146943206
1.0,1.0,-498.0318298339844,37,790,790,701039.6491387433,1.8783994122729575
1.0,1.0,-447.6659851074219,29,573,573,5059398.229183727,2.184237920082904
0.0,1.0,-274.79547119140625,13,325,325,1514139561.8166437,2.329199221492889
1.0,0.0,-299.384521484375,18,370,370,16725974.290067052,2.245992136873156
0.0,0.0,-496.95709228515625,29,623,623,27686388.43395538,2.220392398292401
1.0,0.0,-471.2552185058594,32,687,687,2487342.8703173567,1.9856791898481974
0.0,0.0,-512.8988037109375,37,705,705,1047723.035702361,2.0699325736535505
0.0,0.0,-390.04150390625,21,475,475,116500363.1248493,2.2730897019719594
0.0,0.0,-845.7818603515625,52,1145,1145,11582846.087011665,2.093158384098378
