acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,0.0,-506.0809631347656,40,834,834,312395.1207941715,1.8345729073834682
1.0,1.0,-324.94903564453125,29,750,750,73507.23826560426,1.5422854594367938
1.0,1.0,-373.509521484375,33,785,785,82328.3128877828,1.6093144930687777
0.0,0.0,-299.9382629394531,20,369,369,3258941.954966404,2.25430297003359
1.0,0.0,-452.9850769042969,38,770,770,150340.78835536004,1.8009103871243732
0.0,0.0,-405.7139892578125,28,607,607,1962609.1219536883,1.9510975776447248
0.0,0.0,-325.1543273925781,25,493,493,445152.89913842815,1.9339068785972815
0.0,0.0,-441.455810546875,34,647,647,435388.6797761958,1.9784464536900441
1.0,0.0,-216.38829040527344,13,320,320,16941098.779445123,1.9664175948101306
0.0,0.0,-298.632080078125,25,551,551,154088.62503781237,1.7194113545318042
0.0,0.0,-194.80714416503906,15,294,294,436761.6685172049,1.9398474459881805
1.0,1.0,-309.83135986328125,28,512,512,63921.15881380266,1.8315074569605425
0.0,0.0,-486.21044921875,42,981,981,106557.41929072172,1.6415277600921314
0.0,0.0,-392.25469970703125,27,555,555,2038962.8730934814,2.0274223841019854
1.0,0.0,-193.65890502929688,14,252,252,1017418.3329941368,2.1565025473983233
0.0,0.0,-264.3043518066406,17,349,349,5650840.268511009,2.1325513069340984
0.0,0.0,-456.3152770996094,39,884,884,120618.95465103755,1.6756376047136752
0.0,1.0,-359.3151550292969,32,728,728,75252.06278536645,1.6381454411367558
0.0,1.0,-393.446044921875,28,654,654,1266343.8667300628,1.8250355331554688
0.0,0.0,-370.23040771484375,31,724,724,153724.35544418864,1.6675708163089396
1.0,1.0,-392.0841979980469,26,495,495,3541856.0707026664,2.2080047703231216
0.0,0.0,-144.86444091796875,12,219,219,174911.73306285904,1.9376607864923237
0.0,0.0,-401.82550048828125,30,618,618,656175.3602183884,1.9159298673970533
0.0,1.0,-342.8721923828125,26,612,612,533594.7926977166,1.7511079123078117
0.0,0.0,-372.6513671875,30,674,674,248131.0317835745,1.738278409399763
0.0,0.0,-315.52716064453125,24,507,507,512453.383511367,1.8632858957696967
0.0,0.0,-128.2899627685547,10,195,195,372874.16291089,1.9307282145047253
0.0,0.0,-347.17529296875,30,582,582,106139.52335213438,1.8157908846776691
0.0,0.0,-475.19158935546875,35,688,688,787723.6056132175,1.9950825933186271
1.0,0.0,-349.10931396484375,24,506,506,2076556.2181546409,1.9935946293500086
0.0,0.0,-287.8175964355469,26,504,504,64209.57072068009,1.7701541967413976
0.0,0.0,-443.1287536621094,35,718,718,315155.5272316967,1.8536765032970879
0.0,1.0,-355.222412109375,32,650,650,66217.5212541073,1.7271903595069835
0.0,0.0,-618.0230102539062,46,869,869,683705.6936754608,2.0364105718419583
0.0,0.0,-318.0915832519531,24,543,543,570241.9188647369,1.7964347759287276
0.0,0.0,-354.8663330078125,26,524,524,846364.2620214425,1.968409441140465
1.0,0.0,-376.1936950683594,29,603,603,430282.1269316291,1.8661362950983764
0.0,1.0,-380.7553405761719,38,699,699,22468.67472262389,1.7241158428291785
0.0,0.0,-366.408203125,29,603,603,307049.9217767057,1.8360970089150264
0.0,0.0,-618.4821166992188,49,1075,1075,303180.6205360467,1.7777209905551807
0.0,0.0,-153.17373657226562,12,244,244,349576.6212556161,1.8734117156567875
0.0,1.0,-321.0755615234375,29,582,582,64316.47427763047,1.736160771999517
0.0,0.0,-391.02197265625,29,618,618,717491.4416216895,1.8827277170382042
0.0,0.0,-333.65966796875,36,595,595,10596.97763047953,1.7520255070171826
0.0,0.0,-106.16187286376953,7,131,131,3859243.885552991,2.2487982806786477
1.0,0.0,-567.95654296875,42,1005,1005,746219.3214724952,1.7596780893207964
1.0,1.0,-386.41864013671875,31,597,597,259138.36446438325,1.9103135748819389
0.0,0.0,-648.52685546875,45,1103,1103,1815203.0619868375,1.8003234155854937
0.0,0.0,-484.00994873046875,39,930,930,245367.28904755515,1.6827692594832244
0.0,1.0,-139.98585510253906,9,179,179,5688652.165543166,2.1859354997427274
0.0,0.0,-555.5364990234375,44,1047,1047,304318.31556935376,1.6999492120999133
0.0,1.0,-232.18907165527344,18,393,393,400069.22344808397,1.8054536451556342
1.0,0.0,-562.5330810546875,42,898,898,655822.0638595638,1.8709172540139483
0.0,1.0,-461.173583984375,33,675,675,1172861.550535646,1.9802441088819354
0.0,0.0,-140.8321533203125,10,158,158,1306961.234203243,2.438401599648065
0.0,0.0,-462.9733581542969,36,787,787,384758.4677252187,1.800881353158146
1.0,1.0,-378.09173583984375,28,583,583,731810.0611681703,1.9127229379389372
0.0,1.0,-419.97540283203125,37,790,790,85023.80567517744,1.7016773378791512
1.0,1.0,-338.258056640625,29,573,573,116316.58325195011,1.804580575394175
1.0,1.0,-200.30520629882812,13,325,325,4916427.919796618,1.8521066328303388
0.0,0.0,-230.97686767578125,18,370,370,374013.88605998975,1.866867335636778
