acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,0.0,-418.3737487792969,32,643,643,476479.3428750904,1.9168036215675546
0.0,0.0,-422.34552001953125,24,686,686,43913396.93328356,1.8508852226058272
0.0,0.0,-420.8868408203125,37,956,956,87144.24578200988,1.5531081819093067
0.0,0.0,-244.1475372314453,16,349,349,4236385.880160288,2.012873179503573
0.0,0.0,-349.8552551269531,26,617,617,697997.8845691261,1.7630166463401478
0.0,0.0,-388.32086181640625,27,730,730,1762518.2026296763,1.7022423069860741
0.0,0.0,-326.6045227050781,22,523,523,2801484.8074243856,1.8672800158090548
1.0,0.0,-348.974609375,26,551,551,674751.909340531,1.8839068804350723
0.0,0.0,-278.01324462890625,18,404,404,5102189.18300192,1.9900337444767098
0.0,1.0,-374.12725830078125,18,611,611,1063517538.0808103,1.8447053663169242
0.0,1.0,-335.04119873046875,22,517,517,4110870.632809934,1.9118067556316116
0.0,0.0,-361.23297119140625,27,620,620,646286.9847891635,1.7907487428757556
1.0,0.0,-557.3240966796875,37,1106,1106,3480941.718041425,1.6551798464926135
0.0,1.0,-582.8823852539062,45,1046,1046,422076.5161745682,1.745862903979793
1.0,1.0,-290.82598876953125,18,385,385,10396703.846972177,2.1284460907500664
0.0,1.0,-240.42059326171875,17,367,367,1386631.3006770108,1.9253292351539117
0.0,0.0,-598.5809326171875,47,1118,1118,339681.78224886255,1.708137061037378
0.0,0.0,-402.9029541015625,32,914,914,293818.4432721356,1.5539698653136167
0.0,1.0,-446.23211669921875,26,835,835,28424832.906966794,1.7064406681309816
0.0,0.0,-396.9873962402344,27,720,720,2429599.2834449387,1.7356316033507224
1.0,1.0,-393.6988525390625,26,526,526,3768786.254558496,2.113778080799666
0.0,0.0,-198.02377319335938,12,213,213,14679772.730344102,2.5337212604476016
0.0,1.0,-287.1712646484375,23,481,481,264529.2628164599,1.816714511441888
0.0,1.0,-321.6021728515625,32,773,773,23157.3592140164,1.5159528847668642
1.0,0.0,-415.7244873046875,37,833,833,75795.7085187988,1.6471870458757139
0.0,0.0,-301.7267761230469,21,474,474,1737471.963446661,1.8899575717431567
0.0,0.0,-209.70826721191406,15,311,311,1179440.9906559903,1.9626647378524122
0.0,1.0,-417.529296875,29,626,626,1789706.0764022556,1.9483438567233844
0.0,0.0,-444.9521179199219,35,836,836,332009.09923417727,1.702741119097272
0.0,0.0,-447.91363525390625,33,859,859,784765.685375148,1.684444994647426
0.0,0.0,-335.3531494140625,34,720,720,19212.721638525956,1.5932377445495738
0.0,0.0,-488.0918273925781,35,1003,1003,1138794.4748508327,1.6268277152905053
1.0,0.0,-435.94854736328125,33,856,856,546102.5411027633,1.6641020791692682
1.0,1.0,-408.58343505859375,37,797,797,62492.107148397714,1.669712970726405
1.0,0.0,-656.0941162109375,40,987,987,13287747.198180482,1.9439766216225483
0.0,1.0,-342.19293212890625,25,675,675,880035.2875651254,1.6602239319621732
0.0,0.0,-406.26385498046875,21,609,609,252241584.8318545,1.948578097990034
0.0,1.0,-464.8519592285156,36,734,734,405369.55966268794,1.883841976326083
1.0,1.0,-492.41119384765625,37,927,927,602239.5956514739,1.7009516888237626
1.0,0.0,-352.5901794433594,23,596,596,4547134.452585666,1.8068667372202305
0.0,1.0,-579.8582153320312,44,1107,1107,528921.7625388948,1.6884492305705017
1.0,0.0,-257.37664794921875,12,347,347,2064293751.223515,2.099542463651313
0.0,0.0,-343.46466064453125,25,533,533,925960.1015131926,1.9048418525073405
0.0,1.0,-434.79376220703125,38,902,902,93147.64656532269,1.6193632165970382
0.0,0.0,-603.271240234375,55,1453,1453,58021.447418971926,1.514658675927236
0.0,0.0,-160.97152709960938,8,159,159,547810995.9123667,2.7521971092500817
0.0,0.0,-496.75323486328125,40,1023,1023,247417.10400672452,1.6251250794887593
0.0,0.0,-480.9234619140625,32,768,768,3364729.6793889035,1.8704937330147329
0.0,0.0,-519.34521484375,34,1108,1108,4303155.979216936,1.5979524933581908
1.0,1.0,-168.15623474121094,11,190,190,4355414.889039569,2.4230639016355515
0.0,0.0,-675.0616455078125,49,1385,1385,961998.6012739873,1.6280925751893438
0.0,0.0,-268.1539611816406,16,401,401,18993788.713201348,1.9517240694861275
0.0,0.0,-358.389404296875,25,654,654,1682138.0177317304,1.7297831105655597
0.0,1.0,-384.8314208984375,33,846,846,116024.68034392904,1.5759897320839231
1.0,0.0,-193.80349731445312,15,280,280,408494.26511475316,1.9980173173909102
0.0,0.0,-546.1498413085938,40,1038,1038,850641.4855503816,1.692414007407103
0.0,0.0,-308.37628173828125,27,610,610,91248.67657797447,1.6578720593686496
1.0,1.0,-401.1949768066406,25,715,715,9321173.327678882,1.7526200779602126
0.0,0.0,-483.1875,31,810,810,5877802.634334143,1.8158029703284855
1.0,1.0,-231.9556121826172,13,310,310,56105219.12309239,2.1132856369642297
1.0,0.0,-247.48353576660156,15,315,315,14634647.393416347,2.1938588348008543
0.0,0.0,-383.4602966308594,26,636,636,2542028.5127805187,1.8274562904888578
1.0,0.0,-365.93536376953125,28,619,619,474074.6769737048,1.806103625148446
0.0,0.0,-449.5287780761719,33,918,918,824130.5115281086,1.6317984739026725
0.0,1.0,-327.96453857421875,20,511,511,13233035.212474294,1.899915237128034
0.0,0.0,-574.044921875,36,1047,1047,8416396.069190826,1.730267381115187
0.0,0.0,-446.4950866699219,28,725,725,8421117.485072397,1.8512392727012654
0.0,0.0,-306.036376953125,24,597,597,345074.53162602783,1.6696662346952194
1.0,1.0,-605.85791015625,39,1030,1030,5580663.360683982,1.8007649795492444
0.0,0.0,-470.8131103515625,43,1054,1054,56905.205511819026,1.5631323981349783
0.0,0.0,-304.72064208984375,25,600,600,196580.1831090731,1.6617441388134455
1.0,0.0,-214.16354370117188,11,241,241,285403082.54666936,2.4318332810357868
0.0,0.0,-405.8160400390625,30,731,731,749529.7843056967,1.742205608421862
0.0,0.0,-429.95172119140625,31,836,836,1055378.8511139916,1.6724612054649945
0.0,0.0,-281.98431396484375,18,375,375,6361630.181186286,2.1211495251449026
0.0,0.0,-300.17388916015625,22,476,476,842616.903206633,1.8787702006483415
0.0,0.0,-334.65802001953125,20,452,452,18492965.989731535,2.0967611604394003
