acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,0.0,-380.7347717285156,32,643,643,146966.7451231075,1.807821459064176
0.0,0.0,-351.22027587890625,24,686,686,2267476.6463433793,1.6685965926532536
0.0,0.0,-364.20562744140625,37,956,956,18833.553831294357,1.4637011022154842
0.0,0.0,-188.22340393066406,16,349,349,128535.80024792744,1.7148439312663475
0.0,0.0,-310.8705749511719,26,617,617,155836.17513627044,1.6550680052765119
0.0,0.0,-324.8912658691406,27,730,730,168216.9588603324,1.5605784106331182
0.0,0.0,-288.629150390625,22,523,523,498573.7672828524,1.736501019807183
1.0,0.0,-276.2618408203125,26,551,551,41169.6007106531,1.6510024538477048
0.0,0.0,-236.41165161132812,18,404,404,505842.5050985207,1.7953093653485956
0.0,0.0,-294.6180419921875,18,611,611,12834777.023057612,1.619617356134098
0.0,1.0,-254.45196533203125,22,517,517,105450.65782828955,1.6358624305024094
0.0,0.0,-318.7696228027344,27,620,620,134092.1227625408,1.6722074048086493
1.0,0.0,-537.5219116210938,37,1106,1106,2038284.810503768,1.6258086862106524
0.0,1.0,-528.3822021484375,45,1046,1046,125721.78819091314,1.657226643888624
1.0,0.0,-226.86988830566406,18,385,385,297712.2466308499,1.8026763778114123
0.0,1.0,-193.62814331054688,17,367,367,88423.29950630409,1.6948548801512637
0.0,0.0,-572.6089477539062,47,1118,1118,195471.35015502214,1.6689131112585383
0.0,0.0,-347.0177917480469,32,914,914,51241.549321995924,1.4618011743143269
0.0,0.0,-391.199951171875,26,835,835,3423424.651668089,1.5976006908274896
0.0,0.0,-331.6456604003906,27,720,720,216030.00896758973,1.5850547871836524
1.0,0.0,-356.5878601074219,26,526,526,904301.1337313247,1.9697835988510115
0.0,0.0,-134.70382690429688,12,213,213,75005.66392682826,1.8821454686402999
0.0,1.0,-241.91549682617188,23,481,481,36977.506687501744,1.653580308153871
0.0,1.0,-305.6681213378906,32,773,773,14074.62474862911,1.4850240183595365
1.0,0.0,-384.0138854980469,37,833,833,32168.843247958106,1.5856605368730587
0.0,0.0,-272.1795959472656,21,474,474,425462.9462440695,1.7757423429025807
0.0,0.0,-146.68862915039062,15,311,311,17663.258026590698,1.6026645980774767
0.0,0.0,-366.0284423828125,29,626,626,303055.25481561193,1.7944704632253041
0.0,1.0,-424.210205078125,35,836,836,183559.02808026387,1.6610143583152437
0.0,0.0,-419.188720703125,33,859,859,328630.23967923137,1.629048630945471
0.0,0.0,-302.38751220703125,34,720,720,7286.294225271421,1.5219351587075325
0.0,0.0,-457.5975646972656,35,1003,1003,476496.7274717521,1.5781114985379174
1.0,0.0,-379.00482177734375,33,856,856,97245.55945561858,1.557002723835918
1.0,1.0,-388.64324951171875,37,797,797,36456.374604864046,1.6284565826878998
1.0,0.0,-607.864501953125,40,987,987,3979284.3471879554,1.8512680239459929
0.0,1.0,-291.8477478027344,25,675,675,117466.66992440772,1.5409005739486188
0.0,0.0,-354.5166015625,21,609,609,21460893.535333496,1.7898450763915112
0.0,0.0,-421.18341064453125,36,734,734,120516.16647958847,1.7750336146004515
1.0,0.0,-455.6497497558594,37,927,927,222984.62491809693,1.6348181143819374
1.0,0.0,-323.18505859375,23,596,596,1266191.6932394232,1.7198839364166896
0.0,1.0,-511.43023681640625,44,1107,1107,111682.40729995308,1.5872399074845553
0.0,0.0,-184.626953125,12,347,347,4806979.234801035,1.702446181919075
0.0,0.0,-293.04803466796875,25,533,533,123243.9972319866,1.7329214703706846
0.0,1.0,-412.81671142578125,38,902,902,52239.681605964186,1.580384535751421
0.0,0.0,-600.5654296875,55,1453,1453,55236.069335496184,1.5118406678481155
0.0,1.0,-121.38895416259766,8,159,159,3888831.4434524374,2.145671467602837
0.0,0.0,-458.102783203125,40,1023,1023,94142.94334469018,1.5648708664526827
0.0,0.0,-403.09112548828125,32,768,768,295551.29015430756,1.6902192196855221
1.0,0.0,-487.21820068359375,34,1108,1108,1672695.7072369512,1.5522843465230776
0.0,1.0,-120.20347595214844,11,190,190,55691.829242653555,1.882592607611687
0.0,0.0,-646.3646850585938,49,1385,1385,535585.6079812165,1.5947058565777825
0.0,0.0,-205.78245544433594,16,401,401,385155.89957641216,1.6705838992644306
0.0,0.0,-305.3170471191406,25,654,654,201326.22569084176,1.594955183617907
0.0,0.0,-396.9183654785156,33,846,846,167347.7492053719,1.598667779781087
1.0,0.0,-152.45555114746094,15,280,280,25944.201374051238,1.7237189057533957
0.0,0.0,-531.903076171875,40,1038,1038,595750.3034369316,1.6693439571576698
0.0,0.0,-255.75233459472656,27,610,610,12994.853698149293,1.5208450316981876
1.0,1.0,-338.7376708984375,25,715,715,766436.2747993745,1.6060198579160307
0.0,0.0,-432.21875,31,810,810,1135450.813536399,1.7050652760257696
1.0,1.0,-204.62191772460938,13,310,310,6852660.419715196,1.934929133578507
1.0,0.0,-194.1327362060547,15,315,315,417559.53576320695,1.8520523464644136
0.0,0.0,-324.3241271972656,26,636,636,261451.71317928727,1.6651972688801313
1.0,0.0,-314.98681640625,28,619,619,76843.729941284,1.6634004993591596
1.0,0.0,-450.8630676269531,33,918,918,858135.4222594847,1.6341719757964723
0.0,1.0,-317.45269775390625,20,511,511,7823439.798172743,1.8612311103777415
0.0,0.0,-508.1114501953125,36,1047,1047,1348100.2671808223,1.6246659813170323
0.0,1.0,-409.76055908203125,28,725,725,2267765.8131301403,1.7597767915848255
0.0,0.0,-264.9910583496094,24,597,597,62398.349138913254,1.5587295828491405
1.0,1.0,-556.2294921875,39,1030,1030,1563276.7725188104,1.7160559976418326
0.0,0.0,-448.22412109375,43,1054,1054,33651.62986205171,1.529988282592956
0.0,1.0,-294.06903076171875,25,600,600,128381.45527295876,1.632504030812493
1.0,0.0,-157.14791870117188,11,241,241,1601056.7330812302,1.9195025284500695
0.0,0.0,-382.34893798828125,30,731,731,342821.3001638829,1.6871642529843198
0.0,0.0,-373.94134521484375,31,836,836,173273.06494531743,1.5640807321714678
0.0,0.0,-234.78369140625,18,375,375,462100.83852740977,1.870283163528916
0.0,0.0,-252.84515380859375,22,476,476,98023.40314593205,1.7009506453564631
0.0,0.0,-298.31939697265625,20,452,452,3005546.1262777722,1.9347897531367575
1.0,0.0,-531.9110717773438,35,861,861,3982654.8142219647,1.854811166885157
0.0,1.0,-282.78790283203125,25,616,616,81757.76862375213,1.582603492229569
0.0,1.0,-122.99888610839844,9,150,150,861596.9810526682,2.270482976990339
0.0,0.0,-350.8485107421875,32,801,801,57757.93148547534,1.5496252415075704
0.0,0.0,-182.3065643310547,14,286,286,452207.96484609036,1.891623659962011
0.0,0.0,-508.87701416015625,43,1122,1122,137908.97795924213,1.5738810508694299
1.0,0.0,-193.22296142578125,16,334,334,175682.74973115296,1.7833825331762934
0.0,0.0,-763.5533447265625,58,1462,1462,521629.4975845283,1.6858439680601305
1.0,1.0,-231.36465454101562,18,436,436,382158.9570414854,1.700041865268808
0.0,0.0,-396.72601318359375,29,794,794,873451.0352354152,1.6481524420328222
0.0,1.0,-365.86297607421875,26,734,734,1291936.6452413818,1.6461692484903283
1.0,1.0,-193.93881225585938,18,498,498,47780.76629122794,1.4761470756680477
0.0,1.0,-510.6924133300781,47,1205,1205,52354.64951470789,1.5277730181736422
0.0,0.0,-537.1839599609375,47,1240,1240,91990.99369463846,1.542204476272095
0.0,1.0,-249.28521728515625,20,463,463,258916.49207161256,1.7132857127471206
0.0,0.0,-226.2751922607422,22,449,449,29296.871420652802,1.6552526529929443
1.0,0.0,-285.60009765625,27,636,636,39252.93096444416,1.566833583952715
1.0,1.0,-467.0194091796875,39,1035,1035,158713.607381442,1.5702368726814324
0.0,0.0,-249.46319580078125,15,397,397,16699339.40557291,1.8745540109063448
0.0,0.0,-233.4608917236328,22,425,425,40613.61826974871,1.7320743651754824
0.0,1.0,-397.2923583984375,29,765,765,890676.4386939056,1.6809118536643763
0.0,1.0,-433.56610107421875,36,804,804,169991.345789702,1.7147397498497419
1.0,0.0,-124.08584594726562,9,154,154,972199.4096505455,2.238379678736962
0.0,1.0,-180.26210021972656,15,366,366,165623.65384839175,1.6364338614498959
0.0,0.0,-454.20111083984375,43,1159,1159,38669.88965754812,1.479775694341036
0.0,1.0,-332.1210632324219,29,726,726,94131.72934863235,1.580066649292575
0.0,0.0,-416.9747314453125,31,810,810,694396.0740333425,1.6732763975168035
0.0,0.0,-414.6446228027344,33,804,804,286355.28376687143,1.6748559185305505
1.0,0.0,-696.565185546875,57,1487,1487,202894.5878943814,1.5974946751202985
0.0,0.0,-327.42340087890625,29,980,980,80054.43335962432,1.396690502152919
0.0,0.0,-465.92913818359375,47,1160,1160,20198.950342566262,1.4943077410814007
1.0,1.0,-214.28810119628906,18,401,401,147989.19020227547,1.7063972767329343
0.0,0.0,-219.91500854492188,16,340,340,931627.219015656,1.9094377913710376
1.0,1.0,-445.4580078125,44,1019,1019,24935.44669263437,1.5482915815099065
0.0,0.0,-569.7674560546875,47,1276,1276,184003.82620196196,1.5628736647513883
0.0,0.0,-367.4963684082031,31,697,697,140747.3279644487,1.6942742432123659
0.0,0.0,-369.3459777832031,28,729,729,535484.7968897225,1.659717540892449
0.0,0.0,-323.02880859375,25,451,451,408869.92135808745,2.046743779210022
1.0,1.0,-337.2488098144531,36,918,918,11707.9396692312,1.443937029543561
0.0,0.0,-223.6798553466797,18,463,463,249361.4253283472,1.6211079557239432
0.0,0.0,-532.465087890625,47,862,862,83203.47753277814,1.8546739615923231
0.0,1.0,-284.84112548828125,23,484,484,239042.52892115276,1.8013109801023222
0.0,1.0,-372.669921875,25,628,628,2978102.3936609775,1.8101748493739123
0.0,0.0,-215.8060760498047,17,349,349,325942.10799874645,1.8558735817581744
0.0,0.0,-518.3492431640625,41,1103,1103,309484.86467783997,1.5999060627482673
0.0,0.0,-594.4168090820312,50,1215,1215,145558.9126584201,1.6310629871618556
0.0,0.0,-406.6590576171875,34,745,745,156460.759288689,1.7260767938451813
1.0,1.0,-231.808349609375,20,435,435,108057.36045825716,1.70385402340679
1.0,0.0,-335.1749572753906,34,759,759,19112.292218642342,1.5551946804461578
0.0,1.0,-335.2701416015625,22,644,644,4153873.7517307163,1.6830469474881502
1.0,0.0,-664.1253662109375,53,1236,1236,276693.94620885135,1.7114111385982578
0.0,1.0,-440.45159912109375,34,905,905,422717.2512142798,1.6269170602909
0.0,1.0,-244.81651306152344,18,449,449,806869.6356899842,1.7250367570854481
1.0,1.0,-192.7126007080078,13,341,341,2741583.437402227,1.7596934038534695
0.0,1.0,-396.3031005859375,34,900,900,115378.52762610084,1.5532302248724899
0.0,0.0,-363.401123046875,30,838,838,182293.0376515832,1.5428832272209612
0.0,0.0,-560.0194091796875,40,1034,1034,1203187.9648289694,1.7187629972968654
1.0,0.0,-317.51593017578125,24,554,554,556727.0840132072,1.773816514173515
0.0,0.0,-187.80865478515625,15,397,397,273916.0593444363,1.6049131763849693
0.0,0.0,-421.7110595703125,35,840,840,170909.1514599503,1.6520830986483572
0.0,1.0,-353.4696044921875,34,684,684,32733.845035636463,1.6766008289087924
0.0,0.0,-669.8080444335938,57,1460,1460,126882.70086338135,1.582130937794645
0.0,0.0,-422.27386474609375,38,884,884,67001.48919366449,1.612338109373405
0.0,1.0,-183.40057373046875,17,365,365,48449.100081092365,1.6527942249710605
0.0,1.0,-272.5129089355469,22,437,437,239653.73894624237,1.865631000512227
0.0,1.0,-171.19265747070312,15,271,271,90476.3555923996,1.8808188173014069
1.0,1.0,-369.5896911621094,37,834,834,21783.554251536698,1.557610797060738
1.0,1.0,-483.0864562988281,37,810,810,468078.2261285526,1.8155764715515157
1.0,1.0,-273.909423828125,24,472,472,90480.77349105809,1.7866039369944076
0.0,0.0,-297.0216064453125,27,625,625,59922.074497718604,1.6083914341211194
0.0,0.0,-190.12445068359375,18,358,358,38656.471649657644,1.700757745825018
0.0,0.0,-195.76266479492188,16,280,280,205904.25325160986,2.012046522062372
1.0,0.0,-348.6083984375,27,622,622,404910.83621306485,1.7514844107164556
0.0,0.0,-471.411376953125,35,760,760,707078.1557434456,1.8594451328905466
0.0,0.0,-266.26788330078125,23,441,441,106602.73972177072,1.8290231898411418
0.0,0.0,-185.34144592285156,14,253,253,561672.7752037963,2.080430586585566
0.0,0.0,-533.7852783203125,41,998,998,450968.6616756282,1.7072006602282375
0.0,0.0,-151.5604705810547,12,209,209,305602.1021726016,2.0650815469853447
0.0,0.0,-694.3497924804688,53,1234,1234,489401.98245224927,1.7553743968518438
0.0,0.0,-250.36972045898438,22,391,391,87591.72763235348,1.8971101713353533
1.0,1.0,-318.4433898925781,25,669,669,340351.9797628367,1.6096215480324267
0.0,0.0,-570.02685546875,38,1125,1125,3271328.4783444833,1.6597890868711827
0.0,0.0,-181.8614044189453,14,345,345,438055.2467947644,1.6940709958965972
0.0,0.0,-297.49566650390625,24,499,499,241748.39422460672,1.8151783010930003
0.0,0.0,-472.2615966796875,34,824,824,1077384.5630573556,1.773815729629736
0.0,0.0,-387.5616149902344,26,561,561,2976372.875171332,1.9953922916540314
1.0,0.0,-248.85244750976562,24,549,549,31851.889352594593,1.573469646102067
0.0,0.0,-516.2550048828125,43,992,992,163722.85129140175,1.6827314760327072
1.0,0.0,-296.48846435546875,20,505,505,2742617.23517114,1.7987749862345495
0.0,0.0,-402.70135498046875,32,798,798,291973.2137003361,1.6563862796979787
0.0,1.0,-463.51995849609375,38,1014,1014,198370.8712254752,1.579518848903514
0.0,0.0,-391.48736572265625,33,830,830,141953.31383957592,1.6026708598928392
1.0,1.0,-377.8537902832031,28,721,721,725617.4484351166,1.688885860278508
0.0,1.0,-440.81378173828125,33,846,846,632852.9616107207,1.6838056166183442
1.0,0.0,-388.5836486816406,28,823,823,1064469.864005852,1.6034460616168955
0.0,1.0,-222.8411102294922,15,354,354,2830811.606631351,1.8766619903602304
