acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,0.0,-471.3955383300781,46,743,743,28218.38780148267,1.885982504349857
0.0,0.0,-419.576416015625,38,678,678,62410.23928427083,1.856780866575579
0.0,1.0,-380.35693359375,37,656,656,29141.45833048728,1.785703399172503
0.0,1.0,-239.3911590576172,24,282,282,21474.718261622027,2.337085918571831
1.0,0.0,-397.55682373046875,43,629,629,10357.928339789203,1.8814557733022894
1.0,0.0,-352.5093078613281,31,433,433,86791.84941813065,2.257164221221125
0.0,0.0,-313.1258544921875,26,380,380,169957.22995069364,2.2796351461855737
0.0,0.0,-332.1579895019531,28,420,420,141886.87148118034,2.2052753049485285
1.0,1.0,-249.51834106445312,25,345,345,21606.157933981234,2.061103601642761
0.0,0.0,-384.689208984375,39,668,668,19222.290946605328,1.7786987353065293
0.0,0.0,-240.9410400390625,21,327,327,96122.89990268872,2.089286776375272
1.0,1.0,-262.4070129394531,25,398,398,36180.67869355705,1.933465720891288
0.0,1.0,-422.96661376953125,43,748,748,18702.881434169743,1.7602632775723759
0.0,0.0,-428.3670959472656,43,607,607,21205.704128741363,2.025287883079583
0.0,0.0,-206.27557373046875,24,280,280,5403.572414732068,2.0890271468032235
1.0,0.0,-205.2183380126953,23,286,286,7499.086074264864,2.049399116759093
0.0,0.0,-469.9178466796875,53,849,849,7089.530984563465,1.7393225475298293
0.0,0.0,-477.1857604980469,41,883,883,113400.04706582101,1.7167178220218917
0.0,0.0,-416.5513610839844,29,618,618,1730360.0001167976,1.9621313945789882
1.0,1.0,-381.5823059082031,34,536,536,74832.60743883501,2.0378743659448184
1.0,1.0,-212.4962158203125,14,209,209,3907081.0944754337,2.764136543465967
0.0,0.0,-381.4229431152344,33,507,507,104638.93652825299,2.1219033601178627
0.0,0.0,-278.0176086425781,31,562,562,7850.32299831549,1.639995099648469
0.0,0.0,-384.8686828613281,43,673,673,7711.241553281187,1.771577259507445
0.0,0.0,-364.384033203125,30,504,504,188364.54626410734,2.060573192457676
0.0,0.0,-173.05691528320312,14,187,187,233563.25867918733,2.5229732058415983
0.0,0.0,-337.3074951171875,30,483,483,76388.17384535358,2.0104512575985822
0.0,1.0,-361.6576232910156,37,570,570,17580.23184617273,1.8860544575161353
1.0,0.0,-406.64654541015625,34,558,558,156403.19136987886,2.0725034026574933
0.0,0.0,-280.352783203125,32,428,428,6380.645042687234,1.9252000170384125
0.0,0.0,-374.5025634765625,37,722,722,24876.799590878894,1.679845141458693
0.0,1.0,-427.59515380859375,41,787,787,33831.58433381216,1.72171853460666
1.0,0.0,-444.3338623046875,44,612,612,24306.44621681175,2.0668706967007817
0.0,0.0,-498.30364990234375,48,785,785,32251.700181230033,1.8866102865017427
0.0,1.0,-324.1722412109375,35,646,646,10530.846956380807,1.6517157809667165
0.0,0.0,-400.708984375,29,490,490,1002042.710877579,2.265450051656059
