acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,0.0,-531.2218017578125,45,737,737,133910.76549358453,2.056055659440285
0.0,1.0,-566.3312377929688,45,674,674,292183.8824946501,2.3169555523892074
0.0,0.0,-404.7161560058594,43,758,758,12234.359541020212,1.7056159852909099
0.0,0.0,-303.00714111328125,22,264,264,958430.058235942,3.1511085841450113
1.0,1.0,-440.27691650390625,41,630,630,46095.074439399286,2.0114427455013644
1.0,0.0,-472.97515869140625,29,506,506,12109347.472760243,2.5465347545072667
0.0,0.0,-353.234375,28,425,425,301195.0657667357,2.295933939118251
1.0,1.0,-424.5797119140625,37,540,540,96290.73169069142,2.195168317384169
0.0,1.0,-300.9112854003906,17,209,209,48674403.1439591,4.219712154094663
0.0,0.0,-407.474609375,33,551,551,230433.00204897302,2.0949262446213712
0.0,0.0,-179.21035766601562,21,220,220,5083.86234348978,2.258255324502955
1.0,0.0,-389.31622314453125,35,551,551,67732.44977496499,2.027012467996288
0.0,0.0,-486.60150146484375,38,674,674,364143.27074548096,2.058465257832048
0.0,1.0,-570.4486694335938,50,798,798,90126.84885084046,2.043875900962961
1.0,0.0,-266.959716796875,18,257,257,2760977.599247138,2.825693332318867
0.0,0.0,-372.3122253417969,26,359,359,1655644.5955570815,2.820971721358587
0.0,0.0,-532.8905029296875,58,1024,1024,9776.797856606696,1.6827020790898906
0.0,1.0,-559.2745361328125,44,793,793,331301.7637867208,2.0243815210371547
0.0,0.0,-459.31622314453125,37,694,694,246212.92193602122,1.938353571472816
0.0,0.0,-740.693603515625,53,1123,1123,1173323.654338444,1.9339545139049095
1.0,0.0,-443.1300048828125,33,547,547,678867.9878064629,2.2481545915282557
0.0,0.0,-164.5233154296875,14,157,157,126964.82871510378,2.8517111184579695
0.0,1.0,-446.8624267578125,36,546,546,245940.5668900356,2.266936482975028
0.0,0.0,-371.8069763183594,35,670,670,41070.95527007723,1.7418291305828062
0.0,0.0,-452.1494140625,42,662,662,47356.63613987402,1.9798184670478562
0.0,0.0,-343.583251953125,27,429,429,336147.59989633685,2.227530028758511
0.0,0.0,-154.9665069580078,17,171,171,9096.789971441221,2.4749913047826904
0.0,0.0,-430.72723388671875,37,616,616,113695.21467171692,2.012207790584548
1.0,0.0,-482.6905517578125,32,549,549,3555761.2824096847,2.4090145483128005
0.0,0.0,-367.58721923828125,32,497,497,97450.57459228771,2.0951226821186903
0.0,0.0,-446.45538330078125,35,684,684,346579.70302050805,1.9207438803460999
0.0,1.0,-390.88848876953125,33,626,626,139400.4102520527,1.8671673681110588
0.0,0.0,-495.48931884765625,45,672,672,60528.75087249413,2.0903579011893623
0.0,0.0,-576.86669921875,50,804,804,102470.88458441736,2.049295129079761
0.0,1.0,-349.56683349609375,29,561,561,171790.11366044517,1.864725365593607
0.0,0.0,-500.50286865234375,38,599,599,524986.6551191862,2.3061144557648197
1.0,0.0,-391.7366943359375,32,495,495,207268.78288244127,2.2064552340052064
0.0,1.0,-483.83087158203125,41,656,656,133352.7251424734,2.090800611521105
0.0,0.0,-548.577880859375,37,653,653,2748124.4325076533,2.3165723048874316
0.0,1.0,-601.5701904296875,48,716,716,277260.3680701372,2.3167882005671854
0.0,0.0,-270.0903625488281,14,209,209,239046524.34615907,3.6411457019277815
0.0,0.0,-380.9403076171875,26,411,411,2307211.690372029,2.5265685109659763
0.0,1.0,-523.632568359375,38,630,630,964923.8164395175,2.29598697818642
0.0,0.0,-192.72129821777344,9,147,147,1994137732.8621328,3.709990216584654
1.0,0.0,-568.07275390625,41,703,703,1040730.077161771,2.2435722525965467
1.0,0.0,-782.0892333984375,49,848,848,8546263.802403834,2.5150056231269033
0.0,0.0,-575.7628173828125,39,758,758,2579610.9827825925,2.1373816529937026
1.0,1.0,-424.3131103515625,44,767,767,15420.911867072873,1.738828057951896
1.0,0.0,-195.76943969726562,9,133,133,2797969930.540038,4.3577273628666084
0.0,0.0,-415.57659912109375,64,911,911,660.7558197680428,1.5780285090414368
0.0,0.0,-342.1856994628906,22,390,390,5688148.911890447,2.4046376559301286
0.0,0.0,-612.722900390625,48,800,800,349780.2659733396,2.150937138379546
0.0,0.0,-442.82781982421875,44,748,748,23488.556694613202,1.8076285663594611
0.0,0.0,-137.6113739013672,16,157,157,5435.522161619001,2.4024896798153828
0.0,0.0,-549.599853515625,41,804,804,663228.2484036274,1.9809606570201561
0.0,0.0,-486.20745849609375,34,518,518,1623702.133473322,2.556462424106022
0.0,1.0,-586.8938598632812,51,866,866,99481.07881670343,1.9693559013094875
1.0,1.0,-601.124755859375,68,1124,1124,6905.475586272669,1.7071213000458083
0.0,0.0,-234.8637237548828,15,241,241,6309592.066269382,2.6499433776407537
1.0,0.0,-320.3919677734375,19,296,296,21056821.892008107,2.951770903561103
1.0,1.0,-480.7333984375,33,536,536,2121595.0387643306,2.4519672676189335
0.0,0.0,-459.36065673828125,39,655,655,130415.18588984349,2.01640047693262
0.0,0.0,-496.4259033203125,37,617,617,671263.0097224582,2.2357574405147127
0.0,0.0,-311.1990051269531,22,416,416,1390827.3223070728,2.1129277216788362
0.0,1.0,-763.4901733398438,54,957,957,1381536.5969104418,2.220639848586567
0.0,0.0,-568.84716796875,56,1014,1014,25796.268851668396,1.7524122411508025
0.0,0.0,-456.54510498046875,36,569,569,321839.5703619155,2.230808287661035
0.0,0.0,-266.2563171386719,26,333,333,28018.704451436253,2.224580859090398
1.0,1.0,-480.802734375,36,655,655,631360.0054298718,2.0835016756861076
