acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-299.8599548339844,66,414,414,94.00355953999106,2.063285072083679
0.0,0.0,-153.73715209960938,16,91,91,14891.889371212434,5.416334276259266
0.0,1.0,-208.5374755859375,38,229,229,241.731668927831,2.485922947881039
1.0,1.0,-277.79205322265625,51,329,329,232.03842996882562,2.32647150765705
1.0,1.0,-221.45498657226562,49,289,289,91.78872987861209,2.151747344325589
1.0,1.0,-329.4571228027344,52,275,275,564.3721645201507,3.313569148677538
0.0,0.0,-152.31771850585938,16,79,79,13627.667860187701,6.876242717660327
0.0,1.0,-271.197998046875,54,316,316,151.7425218041411,2.35896157781975
0.0,0.0,-226.28965759277344,44,257,257,171.2195692380377,2.4121163224385045
1.0,1.0,-196.4329833984375,27,147,147,1444.1781456738665,3.8048584844659374
0.0,0.0,-122.1791763305664,12,68,68,26412.641719894764,6.0300336617095045
0.0,1.0,-215.4055938720703,36,223,223,396.8223576345807,2.627267590484853
1.0,0.0,-202.23812866210938,26,155,155,2388.4253153934806,3.686811972029896
0.0,1.0,-131.61073303222656,11,66,66,157095.95780538884,7.345603827991311
0.0,1.0,-244.18252563476562,41,259,259,385.93592448635536,2.567132903130804
1.0,1.0,-209.9501495361328,24,147,147,6297.593764881498,4.171319070991523
1.0,0.0,-204.26251220703125,24,117,117,4968.821700691141,5.730675646598765
1.0,1.0,-226.2154998779297,39,246,246,330.4308578671507,2.508224676665841
0.0,1.0,-174.359130859375,22,122,122,2766.712410961879,4.175245687034859
0.0,1.0,-246.46580505371094,48,280,280,169.8140936580111,2.411466377948879
0.0,0.0,-230.54046630859375,53,317,317,77.4645272776177,2.0693964433688294
0.0,1.0,-165.1105499267578,20,109,109,3848.841590175257,4.548400748816876
0.0,0.0,-212.60446166992188,33,223,223,628.0121067477269,2.5944725408973826
1.0,1.0,-162.12969970703125,17,96,96,13863.865905845685,5.413257506865624
1.0,1.0,-213.45941162109375,49,270,270,77.96925036555749,2.204697725171122
1.0,1.0,-292.9439697265625,55,336,336,205.6661030978148,2.391347591259985
1.0,1.0,-258.11151123046875,50,277,277,174.5533149207083,2.5391020879674397
0.0,1.0,-207.30621337890625,38,236,236,234.02470059051277,2.407084245473586
1.0,0.0,-173.821533203125,20,107,107,5949.584476128547,5.07588203745266
0.0,0.0,-168.14320373535156,20,96,96,4479.022845467749,5.763193254622569
1.0,0.0,-178.57635498046875,21,132,132,4932.671227577648,3.8684394162328
1.0,1.0,-308.99591064453125,65,394,394,116.02239591282407,2.1907710956269093
1.0,1.0,-280.4013977050781,52,319,319,219.71572929488602,2.408493014484025
0.0,1.0,-211.14410400390625,30,172,172,1139.2629533304362,3.4129669967845233
0.0,1.0,-232.41839599609375,49,312,312,114.80471693769951,2.1062955824375478
1.0,1.0,-257.52752685546875,44,262,262,348.2422428052398,2.6722731889317135
1.0,1.0,-235.54571533203125,36,185,185,694.3224909919469,3.572337283668495
0.0,1.0,-325.6273193359375,53,314,314,465.8723574640073,2.8208258012770133
1.0,1.0,-140.22909545898438,12,62,62,118866.6974736178,9.599966454811026
1.0,1.0,-300.53558349609375,74,471,471,58.04924307486043,1.8928427415466687
1.0,0.0,-261.59698486328125,41,264,264,590.1721446628987,2.6936513972657434
0.0,1.0,-246.599853515625,49,282,282,153.3388336416208,2.397598390342837
0.0,1.0,-240.01766967773438,50,293,293,121.55336610554333,2.2686227607758367
1.0,1.0,-270.080810546875,68,412,412,53.07874818800188,1.9261745700607193
1.0,1.0,-276.5989990234375,52,336,336,204.2227928407547,2.2778028284809984
0.0,1.0,-224.02638244628906,47,288,288,117.50945229975284,2.176829332593213
0.0,1.0,-203.8583221435547,54,315,315,43.604227809842186,1.9101261302268766
0.0,1.0,-280.2318115234375,61,335,335,98.88564913875031,2.3083035717540024
1.0,1.0,-303.4194030761719,43,253,253,1160.1042930004403,3.317747796455577
0.0,1.0,-273.40411376953125,77,429,429,34.83779205860495,1.8913779291989519
0.0,1.0,-243.9589385986328,43,246,246,291.0408654292408,2.6958215560033874
1.0,0.0,-231.1243896484375,32,229,229,1370.0974895058796,2.7436161435238855
0.0,1.0,-300.40118408203125,51,330,330,361.4845476972766,2.4850843892541614
0.0,0.0,-196.48974609375,23,131,131,5130.87987400695,4.481338283917608
1.0,1.0,-190.80978393554688,21,122,122,8832.383483962678,4.777964516405052
0.0,1.0,-250.81787109375,55,343,343,95.61454271875463,2.077670756417291
0.0,1.0,-299.2324523925781,62,393,393,124.75226331836667,2.141284175955945
0.0,1.0,-235.62384033203125,34,197,197,1022.6094778036127,3.3070617396492357
0.0,0.0,-308.7084045410156,47,284,284,712.1324549936651,2.9653688451920712
0.0,1.0,-244.6464080810547,38,237,237,625.1948558797825,2.8074127375351736
0.0,0.0,-183.78378295898438,22,129,129,4246.321324192227,4.156529569716921
1.0,1.0,-174.299560546875,25,130,130,1066.334581577031,3.8219694414835828
1.0,1.0,-229.3514862060547,40,232,232,309.1378071006806,2.6874263603207194
1.0,1.0,-183.28585815429688,19,115,115,15469.476655920438,4.92236974930057
1.0,1.0,-196.68072509765625,37,220,220,203.50595613065178,2.4448977350543015
1.0,0.0,-250.39566040039062,41,265,265,449.084573313553,2.5725285441133994
1.0,1.0,-241.60760498046875,37,223,223,685.3538469248998,2.9548331179618033
0.0,0.0,-262.24017333984375,47,269,269,264.9598105457171,2.650823994169232
1.0,1.0,-211.50450134277344,31,177,177,918.4852537034766,3.3033618276085535
0.0,0.0,-147.6244354248047,16,88,88,10163.185587348498,5.35242860386886
0.0,0.0,-256.927490234375,50,319,319,170.4683765408904,2.2376256586676253
0.0,1.0,-253.95120239257812,53,352,352,120.48582613958702,2.0574189894978585
0.0,1.0,-260.3937683105469,62,362,362,66.67962865992698,2.0530362643604447
1.0,1.0,-254.489990234375,45,271,271,285.8116754038803,2.557620808656602
1.0,1.0,-310.0632629394531,47,300,300,732.9596853410695,2.811011013164776
1.0,1.0,-264.20050048828125,42,281,281,539.4165577618669,2.560532652493576
0.0,0.0,-147.2709197998047,21,120,120,1110.8724125409697,3.4118602315416235
0.0,0.0,-189.27255249023438,26,144,144,1450.5724597317899,3.722489726102539
1.0,1.0,-219.6579132080078,47,295,295,107.07961481196246,2.105605545044901
0.0,1.0,-268.700439453125,41,232,232,701.8145918405518,3.1841696524487633
1.0,0.0,-245.96022033691406,27,155,155,9042.019190774967,4.888278180752782
1.0,0.0,-219.71128845214844,25,161,161,6558.069388475338,3.9144169372883177
0.0,1.0,-174.78248596191406,38,231,231,99.43847430959562,2.131091177311405
0.0,1.0,-305.4950866699219,53,314,314,318.63882109209084,2.645643404260835
0.0,1.0,-236.57183837890625,47,301,301,153.46052529669555,2.19449719384809
1.0,0.0,-219.3397674560547,41,262,262,210.55574201882143,2.3098317466820206
1.0,0.0,-269.5169372558594,57,337,337,113.11073790206655,2.2249924514693853
0.0,1.0,-234.6940155029297,36,209,209,678.0887698923592,3.0738715958715743
1.0,1.0,-208.02223205566406,42,284,284,141.58642202948303,2.0802179005026185
1.0,1.0,-129.0599365234375,13,78,78,20489.901313161878,5.231063329091615
0.0,1.0,-234.79281616210938,30,174,174,2505.9600796067343,3.8550500918730517
1.0,1.0,-273.0485534667969,51,360,360,211.42983736695084,2.135003325038454
1.0,1.0,-246.01382446289062,44,273,273,268.0633366164375,2.462432149438795
0.0,1.0,-162.2374725341797,19,120,120,5109.282916528601,3.8650666940315728
1.0,1.0,-248.3308868408203,47,308,308,197.08515421283008,2.239536921718823
1.0,1.0,-377.1056213378906,51,376,376,1626.5685152458464,2.7262866512641373
1.0,1.0,-204.37489318847656,35,218,218,343.53282329042037,2.553588206903691
1.0,0.0,-144.8555450439453,15,102,102,15631.38976958967,4.137750995348743
0.0,1.0,-285.4669189453125,75,412,412,44.98034362180926,1.9994674522474487
0.0,0.0,-286.5547180175781,46,286,286,507.4764935354534,2.7235592521476204
1.0,1.0,-217.57754516601562,43,267,267,157.58151986958603,2.2589433798246272
1.0,0.0,-308.44207763671875,52,307,307,376.7487109837799,2.7310805077912756
1.0,1.0,-171.4288330078125,17,95,95,23957.794541104682,6.0770174927180864
0.0,1.0,-310.0595397949219,48,293,293,638.7887121119445,2.881248437049302
1.0,1.0,-199.07896423339844,32,194,194,503.3157125220405,2.7903868105768526
0.0,0.0,-218.41656494140625,45,273,273,128.2140897818823,2.225675972717985
1.0,0.0,-200.77352905273438,22,137,137,9191.822438641564,4.329708471128134
1.0,0.0,-250.5574951171875,46,277,277,232.03821264153353,2.4707943387223548
0.0,0.0,-234.17054748535156,53,314,314,82.95615512401741,2.108055744931474
1.0,1.0,-206.8775634765625,29,165,165,1253.5177594635563,3.503643457882203
1.0,1.0,-346.0672302246094,69,421,421,150.7265253943094,2.2750736450655733
0.0,1.0,-230.9643096923828,45,263,263,169.4470036986062,2.4065430330447253
1.0,0.0,-335.5354309082031,59,339,339,295.0194250602881,2.6906425524668363
0.0,1.0,-228.42462158203125,41,241,241,262.78395578703345,2.58007896889629
1.0,1.0,-177.42454528808594,22,116,116,3180.3675744671705,4.615969594198287
0.0,0.0,-237.70223999023438,47,277,277,157.19616246192655,2.3587476709455286
0.0,1.0,-288.3048400878906,63,350,350,97.15108100950546,2.278980319263791
