acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-226.0199737548828,66,414,414,30.70867097487368,1.726233669493548
0.0,0.0,-89.539794921875,16,91,91,269.4107542965119,2.6750117967821776
0.0,0.0,-144.802001953125,38,229,229,45.17658848429462,1.8819776259205647
1.0,1.0,-196.28746032714844,51,329,329,46.93547245552842,1.8159675670165982
1.0,1.0,-147.7688751220703,49,289,289,20.403191384306812,1.6674758010385964
1.0,0.0,-243.70314025878906,52,275,275,108.4835828214501,2.425877312477521
0.0,1.0,-80.9952621459961,16,79,79,157.93821055867454,2.787810394462875
0.0,1.0,-203.0779266357422,54,316,316,42.978601191039985,1.9015163875448806
0.0,0.0,-146.65621948242188,44,257,257,28.02496996757263,1.7694110806313788
0.0,1.0,-137.8616485595703,27,147,147,165.0068492570441,2.5544433779737785
0.0,0.0,-69.70142364501953,12,68,68,333.1030729345099,2.7871538116850694
0.0,1.0,-136.1895294189453,36,223,223,43.949554337323015,1.8417484749938884
1.0,0.0,-139.8543243408203,26,155,155,216.80806621170822,2.4652321054533552
0.0,1.0,-81.65347290039062,11,66,66,1674.1200968923522,3.445861107352619
0.0,1.0,-162.144775390625,41,259,259,52.18267896778906,1.8701929433851416
1.0,1.0,-132.1257781982422,24,147,147,245.97766970618247,2.4566897597906734
1.0,0.0,-128.02740478515625,24,117,117,207.3638955466729,2.9869455884555225
1.0,1.0,-167.8619384765625,39,246,246,74.0064512626889,1.9785526717739657
0.0,1.0,-109.20020294189453,22,122,122,143.1145828770585,2.4475404703558796
0.0,1.0,-177.0968475341797,48,280,280,40.02553626171635,1.8822892856880853
0.0,0.0,-191.0699920654297,53,317,317,36.78514848403881,1.827126390877068
1.0,1.0,-95.25526428222656,20,109,109,117.06896599781017,2.396241593487317
1.0,1.0,-147.5492706298828,33,223,223,87.46074106069152,1.937998853941797
0.0,1.0,-93.88548278808594,17,96,96,250.30381952829117,2.6590629307171656
1.0,1.0,-137.68138122558594,49,270,270,16.606996901466143,1.6651763630493472
1.0,1.0,-227.5471649169922,55,336,336,62.62854598449544,1.9684052656746895
0.0,1.0,-170.18136596679688,50,277,277,30.072986770952554,1.8484975284470875
0.0,0.0,-136.82876586914062,38,236,236,36.625949669961614,1.7856507350098427
1.0,0.0,-106.56011962890625,20,107,107,206.02674314284235,2.7071298250462514
0.0,1.0,-99.82998657226562,20,96,96,147.1568947178797,2.8289219239071954
1.0,1.0,-119.43759155273438,21,132,132,295.15609726203274,2.4715123211279626
0.0,1.0,-220.7148895263672,65,394,394,29.832955896569548,1.751005290893161
1.0,1.0,-209.3461456298828,52,319,319,56.03000865002926,1.9275649257625231
0.0,1.0,-147.93292236328125,30,172,172,138.53145504912757,2.363338244683416
0.0,1.0,-168.45912170410156,49,312,312,31.122818353480756,1.7158920349402416
1.0,1.0,-161.47666931152344,44,262,262,39.24893470297564,1.8521056208811424
0.0,1.0,-177.6276092529297,36,185,185,138.94806872476607,2.612086270014322
0.0,0.0,-235.23565673828125,53,314,314,84.64013962170313,2.1152185541998705
1.0,1.0,-71.7093734741211,12,62,62,393.77556808212876,3.1791148149677513
1.0,1.0,-251.48609924316406,74,471,471,29.91801479837479,1.7056406069561112
0.0,0.0,-182.1580810546875,41,264,264,85.01944760929291,1.9937010415113683
0.0,1.0,-171.24440002441406,49,282,282,32.94316071887735,1.8353765145074405
0.0,1.0,-157.73876953125,50,293,293,23.447769910979254,1.713190763192146
1.0,1.0,-216.9053955078125,68,412,412,24.283211530453404,1.692944645597321
1.0,1.0,-195.95037841796875,52,336,336,43.30536403439646,1.7917371964897693
0.0,1.0,-166.60104370117188,47,288,288,34.6294008735409,1.7833183069315675
0.0,1.0,-146.54354858398438,54,315,315,15.086034045979805,1.5923606720406418
0.0,1.0,-225.88095092773438,61,335,335,40.567465729394875,1.9626026897773565
1.0,1.0,-263.9471740722656,43,253,253,463.2683027242807,2.8384821717428657
0.0,1.0,-176.95703125,77,429,429,9.955680203299687,1.510570285934933
0.0,1.0,-159.12586975097656,43,246,246,40.471645674294514,1.9095223439264857
1.0,0.0,-155.09600830078125,32,229,229,127.32594050597864,1.968506523652494
0.0,1.0,-206.61070251464844,51,330,330,57.465814776987536,1.8702891375467716
0.0,0.0,-117.5036392211914,23,131,131,165.48058540126723,2.452172448176698
0.0,0.0,-101.86991882324219,21,122,122,127.86161105304184,2.304812514702836
0.0,0.0,-177.45021057128906,55,343,343,25.187994315220976,1.6775720716825553
0.0,1.0,-219.58070373535156,62,393,393,34.52294770513494,1.748449728764907
0.0,0.0,-179.2282257080078,34,197,197,194.6919183262101,2.4837957830690156
0.0,0.0,-232.143798828125,47,284,284,139.66263469436143,2.26462173902957
0.0,1.0,-162.85183715820312,38,237,237,72.64428063896817,1.9880187770980822
0.0,0.0,-122.41525268554688,22,129,129,260.9502216602712,2.583010159116744
1.0,1.0,-111.44670104980469,25,130,130,86.30331777258579,2.356747088174969
1.0,1.0,-152.67315673828125,40,232,232,45.45982270782927,1.931069416858345
1.0,0.0,-115.80327606201172,19,115,115,443.5937944988094,2.7373355197690974
0.0,0.0,-148.75836181640625,37,220,220,55.72875521339836,1.96634083597099
1.0,0.0,-174.9986572265625,41,265,265,71.39729135026792,1.9355127750881498
1.0,0.0,-156.94528198242188,37,223,223,69.53042161676163,2.0214003264660345
0.0,0.0,-166.18191528320312,47,269,269,34.32196168216498,1.85479956079336
0.0,1.0,-149.9984130859375,31,177,177,126.29980515546045,2.333685229134765
0.0,0.0,-88.99932098388672,16,88,88,260.46215217772453,2.7493263561524866
0.0,1.0,-197.22886657714844,50,319,319,51.65450076931526,1.8557191614097066
0.0,0.0,-199.12857055664062,53,352,352,42.825890618566035,1.7606906843437597
1.0,1.0,-197.44461059570312,62,362,362,24.157393769747284,1.725345121821634
1.0,1.0,-166.49864196777344,45,271,271,40.446083739756865,1.8485215043316354
1.0,1.0,-211.12454223632812,47,300,300,89.30089738562931,2.0213153727529756
1.0,1.0,-191.89736938476562,42,281,281,96.4461658028959,1.9796276824261347
0.0,0.0,-99.17974090576172,21,120,120,112.4878037927249,2.2853012206353798
1.0,0.0,-129.01242065429688,26,144,144,142.88158053061764,2.4495873648874635
1.0,1.0,-152.40745544433594,47,295,295,25.603058524556335,1.676377880241408
0.0,1.0,-196.72006225585938,41,232,232,121.27373932771678,2.3348118339158823
1.0,0.0,-177.44009399414062,27,155,155,714.694610389281,3.1417337586053797
1.0,1.0,-153.4442596435547,25,161,161,463.0200629913845,2.5936598186372395
0.0,1.0,-123.41890716552734,38,231,231,25.73536144895272,1.706220999882022
0.0,1.0,-235.6868896484375,53,314,314,85.36382756021706,2.1182604088237964
1.0,1.0,-150.574951171875,47,301,301,24.62401941018392,1.6491318653113216
1.0,0.0,-155.3026885986328,41,262,262,44.1622544986919,1.8089713221805945
1.0,0.0,-183.212890625,57,337,337,24.88490112523736,1.7222962493423126
0.0,1.0,-166.6741485595703,36,209,209,102.49740282738858,2.2199484267038514
1.0,1.0,-155.91542053222656,42,284,284,40.946728517859405,1.7315170982316659
1.0,1.0,-83.79249572753906,13,78,78,629.9097747369261,2.9278336054300413
0.0,1.0,-158.15122985839844,30,174,174,194.7482428168011,2.4816287884357857
1.0,1.0,-195.43743896484375,51,360,360,46.15967799679377,1.7209591399401907
1.0,1.0,-178.25894165039062,44,273,273,57.47439722341823,1.9212252935714131
0.0,0.0,-101.18080139160156,19,120,120,205.47108869023216,2.3237292835741035
0.0,1.0,-164.031982421875,47,308,308,32.78733062007604,1.7033065161828336
0.0,1.0,-288.677734375,51,376,376,287.2485109326842,2.1549336448923526
1.0,1.0,-149.3594970703125,35,218,218,71.33693402094273,1.9840402732265645
1.0,0.0,-89.27754211425781,15,102,102,384.4586115735846,2.399523127480701
0.0,0.0,-203.41783142089844,75,412,412,15.062944968303198,1.6384203894792928
0.0,0.0,-205.67782592773438,46,286,286,87.46660692552855,2.0526943299753637
1.0,1.0,-143.04327392578125,43,267,267,27.843171998839416,1.7087166624707835
0.0,1.0,-223.72451782226562,52,307,307,73.87648473833214,2.0724766838842754
1.0,1.0,-104.18045806884766,17,95,95,458.6384638997328,2.994078188514395
0.0,1.0,-204.05044555664062,48,293,293,70.17912829553599,2.006552154024796
1.0,1.0,-133.2362060546875,32,194,194,64.30461741795762,1.9873151705896086
1.0,1.0,-154.5884246826172,45,273,273,31.04067143242673,1.7616625007109767
0.0,0.0,-120.69377899169922,22,137,137,241.30962580054154,2.4132550732454674
1.0,1.0,-186.98780822753906,46,277,277,58.26213242734261,1.9641237931642501
0.0,0.0,-160.741943359375,53,314,314,20.756653706644208,1.6684866484807976
1.0,1.0,-130.78599548339844,29,165,165,90.90926427624434,2.209226373198611
0.0,1.0,-263.79620361328125,69,421,421,45.74732800253368,1.8712268922978443
0.0,1.0,-181.2960205078125,45,263,263,56.19346425428391,1.9923970887098517
1.0,0.0,-252.55189514160156,59,339,339,72.27950343061305,2.1064221424366862
0.0,1.0,-144.9229278564453,41,241,241,34.284918289957915,1.8245619842758523
0.0,1.0,-100.48699951171875,22,116,116,96.31180403066543,2.378017689773323
0.0,0.0,-162.88436889648438,47,277,277,31.99644715206837,1.8004384392853
1.0,1.0,-220.90823364257812,63,350,350,33.330733493678096,1.8798018678301238
0.0,0.0,-98.60440063476562,18,100,100,239.37282111144316,2.680608996873733
1.0,1.0,-144.50807189941406,39,252,252,40.663674557691294,1.7743687568982405
1.0,1.0,-90.86375427246094,18,104,104,155.7086057192217,2.3957346928493455
0.0,1.0,-146.5439453125,31,166,166,112.98149478517959,2.417647237328446
0.0,1.0,-154.05191040039062,44,247,247,33.15454402262704,1.8658037864511399
0.0,0.0,-259.9677734375,69,420,420,43.27819335134361,1.8570159828338662
0.0,0.0,-70.05690002441406,11,64,64,583.3626844178674,2.9881039710942243
0.0,0.0,-99.09551239013672,17,94,94,340.0687447640958,2.869700240846102
1.0,1.0,-82.62712860107422,16,89,89,174.89670413545213,2.5304438025483598
0.0,0.0,-135.22222900390625,26,135,135,181.42728896739698,2.7227601879941665
0.0,1.0,-147.58987426757812,41,225,225,36.58919692730068,1.9269819003763098
1.0,0.0,-86.36668395996094,16,86,86,220.9458717912689,2.729896692692522
1.0,1.0,-208.69219970703125,62,388,388,28.962538558458046,1.712349654128034
1.0,0.0,-205.25155639648438,45,281,281,95.69305235954423,2.075978450686328
0.0,1.0,-239.0821075439453,62,377,377,47.28357695261656,1.885456650627287
1.0,1.0,-146.67559814453125,26,171,171,281.8483497385446,2.357854359840124
1.0,1.0,-207.73895263671875,49,328,328,69.37804492913602,1.883911998911279
0.0,1.0,-192.6030731201172,55,378,378,33.17757038282767,1.6645119202566783
0.0,1.0,-161.82568359375,33,183,183,134.8022101007553,2.421272801580932
1.0,1.0,-182.65904235839844,43,315,315,69.95727552093777,1.7858062175234792
0.0,0.0,-217.76199340820312,61,351,351,35.51193170569692,1.8596802040278277
1.0,1.0,-195.24122619628906,64,359,359,21.128950450136653,1.7226217899213432
1.0,1.0,-99.08213806152344,20,119,119,141.75594802117297,2.2993420318975364
0.0,1.0,-184.0373077392578,37,225,225,144.6014431911959,2.2658355563341672
1.0,1.0,-143.84759521484375,42,242,242,30.72088582185446,1.8119643816011166
0.0,0.0,-263.0594482421875,61,386,386,74.62308958495007,1.976843066158042
1.0,0.0,-209.0941162109375,44,259,259,115.83178447332558,2.2418763915304725
0.0,1.0,-145.53402709960938,46,252,252,23.65993704714936,1.7816073822405558
1.0,1.0,-126.75367736816406,43,243,243,19.06320312235451,1.6847548632564684
0.0,1.0,-186.79373168945312,55,313,313,29.85193515590903,1.8162702501515422
1.0,1.0,-120.5664291381836,25,138,138,124.2949245630506,2.395686374808456
0.0,0.0,-282.53387451171875,73,435,435,47.95806811162092,1.9145893477063145
0.0,1.0,-180.19390869140625,44,270,270,60.05832099017441,1.9491333677719915
0.0,1.0,-141.5206298828125,35,219,219,57.02253656807299,1.908300245156636
1.0,1.0,-163.82688903808594,56,312,312,18.643175634313053,1.6906045431583379
0.0,1.0,-93.972412109375,18,111,111,185.06175156622396,2.331701613580926
0.0,0.0,-197.4457244873047,61,335,335,25.452530174729667,1.8028887189008305
0.0,0.0,-108.90837097167969,15,99,99,1423.0504699931498,3.0044200527537717
1.0,1.0,-171.47296142578125,44,245,245,49.26001807765756,2.013530478908794
0.0,1.0,-103.26073455810547,25,151,151,62.204626768492446,1.9814837330961097
1.0,1.0,-151.61712646484375,24,140,140,554.119445646888,2.9534662327794807
1.0,1.0,-129.6536407470703,37,238,238,33.253248202243746,1.7242000372816428
1.0,1.0,-189.4595947265625,41,265,265,101.59209480075896,2.0440678507888475
0.0,0.0,-105.12359619140625,17,97,97,484.8021901764815,2.9557381432788956
0.0,0.0,-177.2510986328125,30,179,179,368.1056371420636,2.6918524542264164
0.0,0.0,-230.71078491210938,72,434,434,24.63865268337877,1.7016386019153547
1.0,1.0,-189.439208984375,45,235,235,67.34038962496984,2.23921261643047
0.0,0.0,-176.36642456054688,32,219,219,247.50994611315883,2.23742609296866
0.0,0.0,-87.33562469482422,16,89,89,234.73953633133766,2.6679200300890895
1.0,0.0,-85.04916381835938,12,65,65,1196.8283776329868,3.70042868640232
0.0,0.0,-131.698486328125,43,263,263,21.386406202450924,1.6499660317252498
0.0,0.0,-171.3096160888672,47,299,299,38.27838776129718,1.7734767045165718
0.0,0.0,-174.05572509765625,47,282,282,40.581540671365026,1.8537653284533628
1.0,1.0,-162.12600708007812,49,321,321,27.349384445247516,1.657093961478043
1.0,1.0,-165.88677978515625,37,217,217,88.53752564047764,2.147823935090338
1.0,0.0,-235.8323516845703,52,323,323,93.2456615394588,2.075352709597391
1.0,1.0,-227.90187072753906,57,359,359,54.50423656668314,1.8866903424016779
1.0,1.0,-88.13215637207031,22,123,123,54.92711407925714,2.0472994772107533
0.0,0.0,-109.4199447631836,21,126,126,183.1807847771797,2.3831240667578886
0.0,0.0,-194.33111572265625,54,298,298,36.55157822793331,1.9196019330257674
1.0,1.0,-107.03610229492188,22,123,123,129.7069113419561,2.3874174426493697
1.0,1.0,-180.4810028076172,49,334,334,39.77687731930282,1.7166286563925401
0.0,0.0,-76.71934509277344,16,96,96,120.89943306225025,2.223671913763743
1.0,1.0,-187.6700439453125,47,340,340,54.21619466707712,1.7366721378509304
1.0,1.0,-189.00970458984375,55,342,342,31.079240350439907,1.7378695299314657
1.0,1.0,-83.25698852539062,16,88,88,181.91904543819084,2.575650548325551
0.0,1.0,-117.07908630371094,33,158,158,34.73858747598172,2.0980469230622503
0.0,1.0,-100.56806945800781,17,90,90,370.83929129159304,3.0569662236050408
0.0,0.0,-139.54905700683594,51,319,319,15.429110538087391,1.5487650306829877
0.0,0.0,-233.12823486328125,39,253,253,394.5110096586329,2.512945255410123
0.0,1.0,-179.9593505859375,27,180,180,784.5898779697599,2.717668027971273
0.0,0.0,-74.125,16,93,93,102.80279074731456,2.2189697481403665
1.0,1.0,-139.275390625,30,172,172,103.80488391543385,2.247325051981094
0.0,1.0,-172.7940216064453,45,272,272,46.5192937926572,1.8875357422610344
0.0,1.0,-71.43276977539062,12,68,68,384.8027304828913,2.8590285761950427
0.0,0.0,-202.0135040283203,52,297,297,48.66086324152255,1.974233354868233
0.0,1.0,-210.0288848876953,51,330,330,61.44936050291449,1.8897625123335577
1.0,1.0,-152.1256103515625,44,253,253,31.73436728988292,1.8244653723086564
0.0,0.0,-166.2025909423828,45,267,267,40.180865906167845,1.8635469124871487
0.0,0.0,-158.18740844726562,31,201,201,164.4850405774181,2.1968006064143752
1.0,1.0,-115.67879486083984,23,133,133,152.8585249420178,2.3863508900044597
1.0,1.0,-138.8884735107422,24,165,165,326.03988796876314,2.3204202796832925
0.0,1.0,-222.9330596923828,57,347,347,49.95418625005354,1.901148895523844
0.0,1.0,-148.50701904296875,40,283,283,40.96325625867489,1.6900528229063632
0.0,0.0,-153.8953399658203,26,164,164,372.05866265397583,2.5558535014058763
0.0,1.0,-135.2677001953125,25,155,155,223.789976655445,2.3933518711545054
1.0,1.0,-238.22988891601562,55,320,320,76.05467775428119,2.1053219543264015
0.0,0.0,-193.78636169433594,48,289,289,56.66835083918488,1.9552949349484519
1.0,1.0,-199.70455932617188,49,292,292,58.885992942611566,1.9816299709888636
1.0,1.0,-124.06217193603516,18,106,106,984.7057694544842,3.2232747583436185
1.0,1.0,-175.85037231445312,42,252,252,65.81933410370561,2.009365373734196
