acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-241.8018341064453,67,436,436,36.92846262646913,1.7412293080091887
1.0,1.0,-93.56261444091797,15,95,95,511.5818690586089,2.6774627893116913
1.0,1.0,-146.5194549560547,38,220,220,47.26523947086289,1.9464311621919819
1.0,1.0,-224.9004669189453,52,340,340,75.56619138141838,1.937642371337438
1.0,1.0,-170.72349548339844,48,316,316,35.048733868147394,1.7164603360872344
1.0,1.0,-244.43165588378906,45,270,270,228.5636152244615,2.4726796205065567
0.0,0.0,-89.63510131835938,12,80,80,1753.8905601249387,3.0661992536418623
1.0,1.0,-249.5286865234375,51,308,308,133.31561253196372,2.248263348609326
0.0,0.0,-201.29071044921875,48,289,289,66.25801692222969,2.006732241512345
0.0,1.0,-148.30914306640625,23,153,153,631.5793654606756,2.636206110875189
0.0,0.0,-76.65573120117188,10,62,62,2133.615249425779,3.4431362661450997
0.0,1.0,-171.9368133544922,34,210,210,157.11296967447163,2.2676560711655758
1.0,0.0,-129.59909057617188,26,187,187,146.1422418651177,1.9997921799045926
0.0,1.0,-86.12202453613281,11,65,65,2513.106604441465,3.7620131397633965
0.0,1.0,-168.9171142578125,39,265,265,76.03608710299248,1.891600077335054
1.0,1.0,-151.40048217773438,27,165,165,272.4418688001157,2.5032219443802672
1.0,0.0,-137.6916961669922,21,135,135,703.978232913755,2.773024190349458
1.0,1.0,-202.4410400390625,44,282,282,99.577150752893,2.050074283827686
0.0,0.0,-128.6740264892578,20,123,123,622.473666394218,2.8466142245135164
0.0,0.0,-176.19589233398438,55,362,362,24.62006297910927,1.6269856110564234
1.0,1.0,-102.95968627929688,17,111,111,426.8583111150459,2.5283445013161563
0.0,0.0,-169.871337890625,37,251,251,98.60453360193097,1.967528602342987
0.0,0.0,-102.91276550292969,16,81,81,621.4452687585681,3.562733079118136
1.0,1.0,-157.59188842773438,46,310,310,30.750634186596862,1.6625639025147878
1.0,1.0,-259.57281494140625,67,404,404,48.14518429152677,1.901241260136172
1.0,1.0,-184.04156494140625,46,303,303,54.64750643532953,1.835648645069757
0.0,1.0,-146.78823852539062,39,271,271,43.11198306558098,1.7188475147860722
1.0,0.0,-118.73265075683594,21,107,107,285.4125708005469,3.0332994111435454
1.0,0.0,-155.4426727294922,32,191,191,128.71279447056565,2.2565474831084384
0.0,0.0,-109.06852722167969,18,107,107,428.1024873862742,2.771342971900048
1.0,0.0,-148.8363494873047,22,135,135,867.2164616709055,3.011660168423569
0.0,1.0,-244.82427978515625,62,422,422,51.87197721050512,1.7863105039983966
1.0,1.0,-238.82608032226562,55,380,380,76.88358306310835,1.8747769363376035
0.0,1.0,-164.6649169921875,39,234,234,68.18177898015124,2.021209766516009
0.0,1.0,-181.38755798339844,48,331,331,43.768197010100444,1.7297876660720282
1.0,1.0,-178.7200164794922,40,261,261,87.1822200824032,1.9832779794803055
0.0,1.0,-237.4858856201172,38,236,236,517.8204543495627,2.735450463244093
0.0,0.0,-265.67364501953125,68,394,394,49.74775654098717,1.9626558694029934
1.0,1.0,-74.63532257080078,12,67,67,502.5073236392026,3.0463983938020225
1.0,1.0,-308.54180908203125,65,394,394,115.21466756853468,2.1882475943461834
1.0,1.0,-252.99598693847656,78,579,579,25.624227587643425,1.5479838546753903
1.0,0.0,-201.56134033203125,45,277,277,88.15890249089215,2.070227010860569
1.0,1.0,-186.80093383789062,44,342,342,69.78895567122436,1.7266818498767
1.0,1.0,-244.8040771484375,62,411,411,51.855077533195846,1.8141741638473474
0.0,0.0,-272.4993591308594,69,399,399,51.89726412149258,1.9797207260234022
1.0,1.0,-191.1693115234375,51,367,367,42.45386143828043,1.6835376215685662
1.0,1.0,-189.26321411132812,48,318,318,51.57224433689166,1.8133343628953111
0.0,1.0,-153.08973693847656,51,388,388,20.1209094965,1.4837329529006078
