acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,0.0,-466.86309814453125,54,378,378,5685.150781944701,3.4386796025352404
0.0,1.0,-381.1474609375,40,302,302,13748.520859277414,3.5327538179961593
1.0,0.0,-454.18426513671875,49,320,320,10604.849075427415,4.134332251738804
0.0,0.0,-272.9930725097656,18,111,111,3860401.710477888,11.697756246829687
1.0,1.0,-398.0570068359375,43,291,291,10479.116950317273,3.92706958189519
1.0,0.0,-386.0957336425781,38,272,272,25859.00158794523,4.134926730534895
1.0,0.0,-308.75970458984375,27,181,181,92553.72951038803,5.506089829858784
1.0,1.0,-384.37921142578125,30,201,201,366825.075853441,6.768871523408962
0.0,0.0,-275.81134033203125,24,154,154,97942.8261234688,5.995341370709928
0.0,0.0,-312.687255859375,32,225,225,17526.630491483586,4.013730616569123
1.0,1.0,-214.08291625976562,15,84,84,1578829.6731094583,12.789264984410297
1.0,1.0,-291.0307922363281,29,198,198,22823.467453365578,4.348593615491228
0.0,0.0,-443.8841857910156,41,321,321,50334.376691204154,3.9861138273342154
0.0,1.0,-426.6358642578125,39,278,278,56352.45777844556,4.639754160679445
1.0,1.0,-223.69717407226562,15,105,105,2997067.708545997,8.41864826593245
0.0,1.0,-289.6063537597656,22,124,124,521218.787860734,10.334988815801013
0.0,1.0,-345.96173095703125,45,356,356,2182.0901169744707,2.6427039462044624
0.0,0.0,-379.5084228515625,37,262,262,28480.769991919857,4.2567477541926655
0.0,1.0,-401.0839538574219,40,278,278,22631.51870065197,4.232310390080767
0.0,1.0,-386.8924255371094,51,344,344,1970.664335298011,3.0792537649971257
1.0,1.0,-431.45623779296875,42,263,263,28933.852822077788,5.157840656175346
0.0,0.0,-196.10693359375,8,64,64,44260864302.20287,21.416696699174967
0.0,1.0,-351.4754943847656,35,241,241,22974.88593395693,4.2990950240030426
0.0,1.0,-358.82568359375,35,298,298,28343.765931893435,3.333800792334143
1.0,0.0,-356.1497497558594,38,301,301,11758.854799084047,3.2648759234045186
0.0,0.0,-311.4060974121094,29,179,179,46080.322317039805,5.695628029821677
0.0,0.0,-174.30899047851562,10,64,64,37165781.651722975,15.23473436164333
0.0,0.0,-332.5787353515625,35,241,241,13389.81445321684,3.9748807692377226
0.0,0.0,-313.58978271484375,32,240,240,18027.987849642795,3.6936831159273695
1.0,0.0,-354.61785888671875,32,283,283,64978.263821721375,3.501063008775238
0.0,0.0,-351.8134765625,35,256,256,23197.820657642053,3.952196075189511
0.0,0.0,-359.1589660644531,38,245,245,12727.90032132074,4.331677860154115
1.0,1.0,-385.6201477050781,42,298,298,9715.055632180032,3.6474465275947914
1.0,0.0,-432.619873046875,53,329,329,3507.430910350104,3.7245797304236645
0.0,0.0,-476.6015625,51,387,387,11442.945167024713,3.4264631763821587
0.0,1.0,-290.1536560058594,31,266,266,11612.011959009884,2.976664022931942
0.0,0.0,-312.8117980957031,24,169,169,457633.95591494336,6.36591123516327
0.0,0.0,-291.3041687011719,33,229,229,6818.529089506588,3.5682333225888136
0.0,1.0,-422.5291748046875,42,318,318,23393.616096380974,3.7761617997302985
0.0,0.0,-387.1476135253906,37,272,272,35012.10067180851,4.150948301114135
0.0,1.0,-399.794677734375,51,313,313,2537.9484279849703,3.586939349135127
1.0,1.0,-182.02024841308594,13,94,94,1204478.8843368683,6.933644809074293
0.0,0.0,-286.058837890625,24,149,149,150109.1905773121,6.819989773860498
0.0,0.0,-429.01007080078125,49,326,326,6344.271554693549,3.7284097873144013
0.0,1.0,-315.60614013671875,40,301,301,2670.8538744099674,2.8534402812054935
0.0,0.0,-136.60989379882812,7,51,51,298923759.56796443,14.565057942497392
1.0,0.0,-375.713623046875,41,278,278,9544.753431232226,3.8631690833567673
1.0,1.0,-401.20458984375,40,253,253,22699.87611790864,4.883142134398914
1.0,1.0,-471.9820251464844,48,330,330,18638.019958938363,4.179737982877964
1.0,1.0,-368.54559326171875,36,295,295,27927.791708681747,3.4879253218673343
0.0,0.0,-165.2503662109375,8,54,54,935223200.9585615,21.33165173940228
0.0,0.0,-458.86407470703125,43,373,373,43099.10677186161,3.421909031575093
1.0,1.0,-282.7292785644531,21,131,131,703131.3386194111,8.65587921124004
0.0,0.0,-400.3712463378906,48,307,307,4192.5634679793375,3.6845222409073823
0.0,1.0,-353.6599426269531,40,318,318,6915.347982446348,3.040853353337095
0.0,0.0,-181.7641143798828,11,59,59,15006746.103112424,21.774677266741573
0.0,0.0,-424.7603759765625,40,321,321,40905.07426171495,3.7555736630223526
0.0,0.0,-311.96502685546875,29,201,201,46977.06200688779,4.721208524858698
0.0,0.0,-413.1173400878906,42,285,285,18697.164212442953,4.261130610627117
1.0,1.0,-189.78128051757812,13,110,110,2188134.7790208166,5.614117279941435
1.0,0.0,-221.08468627929688,15,110,110,2518009.043916912,7.462278409117499
0.0,1.0,-358.6683654785156,38,254,254,12564.6324392367,4.104484592733682
1.0,0.0,-332.9169921875,40,320,320,4117.18437540014,2.8302515668547277
0.0,1.0,-373.23687744140625,40,281,281,11281.527539309913,3.774413911628275
0.0,0.0,-295.00543212890625,29,189,189,26176.07508572407,4.762988475700254
0.0,1.0,-525.4334106445312,52,400,400,24452.52266934466,3.71947870950185
0.0,0.0,-427.58978271484375,46,392,392,10888.147148906823,2.976625457405177
1.0,1.0,-394.93109130859375,39,262,262,24995.178835721093,4.514843741465145
0.0,0.0,-282.2366943359375,24,129,129,128009.82067696394,8.916302577776788
1.0,1.0,-417.7932434082031,40,309,309,34366.278458460896,3.8654638735896136
0.0,1.0,-330.0451965332031,48,355,355,968.6870466393045,2.5337610476369923
0.0,0.0,-298.2538757324219,32,231,231,11163.821622831783,3.636938728643128
0.0,1.0,-403.9290466308594,45,339,339,7912.515585969922,3.2921179485165863
1.0,0.0,-168.49949645996094,12,72,72,1253718.7653874261,10.384048017849409
0.0,0.0,-327.0074462890625,30,228,228,54189.8125611923,4.196467858867721
0.0,0.0,-307.3223876953125,36,269,269,5098.659757536399,3.134477231254552
1.0,0.0,-173.87921142578125,11,70,70,7327910.990045352,11.98899007225491
0.0,1.0,-379.3004455566406,38,265,265,21624.68299589293,4.184228909973619
0.0,1.0,-296.7217712402344,28,206,206,40022.86183586924,4.222371545347368
1.0,0.0,-302.3863830566406,28,216,216,48996.96716543753,4.0549443294014305
1.0,0.0,-461.8067321777344,55,409,409,4431.467355106428,3.092908203944751
1.0,1.0,-280.6632385253906,31,226,226,8549.71181622231,3.4620909828463007
0.0,0.0,-138.05557250976562,9,54,54,4590539.240104777,12.891712668285962
0.0,1.0,-413.41790771484375,47,331,331,6608.590655117077,3.486842852650249
0.0,0.0,-215.9150390625,14,97,97,4987786.540097383,9.262076223787377
0.0,1.0,-338.882080078125,43,338,338,2646.4611368827045,2.725385004998288
1.0,1.0,-241.80709838867188,21,158,158,100169.97106971503,4.620138455400605
0.0,1.0,-424.056884765625,49,359,359,5734.30672921388,3.258337021783577
0.0,0.0,-314.15814208984375,27,162,162,113038.83871324966,6.953518501490769
1.0,1.0,-422.0556640625,36,263,263,123471.8465840574,4.976736664907994
0.0,1.0,-428.8070068359375,41,325,325,34846.482683880255,3.7411990994990627
0.0,0.0,-267.93896484375,19,102,102,1331811.736660863,13.830172196060376
1.0,1.0,-352.0190124511719,36,324,324,17646.732211951643,2.963818389598274
0.0,0.0,-391.6071472167969,54,382,382,1410.9015944580717,2.787512441358697
0.0,0.0,-255.1976318359375,29,202,202,6633.702270527218,3.537267771030422
