acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,0.0,-361.98443603515625,54,378,378,815.1853267146695,2.605516122348859
0.0,1.0,-287.9386291503906,40,302,302,1337.3772899905043,2.594617662066327
1.0,0.0,-351.01837158203125,49,320,320,1291.604129876762,2.9949645981904043
0.0,0.0,-191.63096618652344,18,111,111,42031.086915781234,5.620412730385896
1.0,1.0,-283.45159912109375,43,291,291,729.1632573941008,2.6486775510008056
0.0,0.0,-310.129150390625,38,272,272,3502.714195355853,3.1273334231734164
1.0,0.0,-228.13467407226562,27,181,181,4672.419791231861,3.526876249197838
1.0,1.0,-294.6648254394531,30,201,201,18437.8491155165,4.331847634441133
0.0,0.0,-202.37452697753906,24,154,154,4592.923173860703,3.721475781416942
0.0,0.0,-222.833251953125,32,225,225,1057.3691029419392,2.692230436711809
1.0,1.0,-149.29202270507812,15,84,84,21011.00261760993,5.913784516418421
1.0,1.0,-211.1080780029297,29,198,198,1450.3916416765232,2.9043290917759172
0.0,0.0,-345.82391357421875,41,321,321,4604.224816642227,2.9368367422223156
0.0,1.0,-345.9183654785156,39,278,278,7113.158651563688,3.470541616373385
1.0,0.0,-151.6762237548828,15,105,105,24630.683718855085,4.2398821088135925
0.0,1.0,-205.23977661132812,22,124,124,11260.775315600144,5.23391460638019
0.0,0.0,-270.03131103515625,45,356,356,403.7095972428313,2.1351030631167536
0.0,0.0,-288.52008056640625,37,262,262,2435.3360039728605,3.007838400935391
0.0,1.0,-290.3040771484375,40,278,278,1418.8499508845905,2.841293113833927
0.0,1.0,-302.2646179199219,51,344,344,374.93670089760894,2.4077103047754385
1.0,1.0,-358.2574462890625,42,263,263,5064.137912497225,3.9047572335978655
0.0,0.0,-132.04180908203125,8,64,64,14727486.493061407,7.870749294904895
0.0,1.0,-278.89715576171875,35,241,241,2888.492921448308,3.181171766558373
0.0,1.0,-264.26922607421875,35,298,298,1901.7871273316287,2.4273727107895597
0.0,0.0,-281.43060302734375,38,301,301,1645.9425876695816,2.5471762486156875
0.0,0.0,-229.98464965820312,29,179,179,2780.8312162030625,3.614055124212557
0.0,0.0,-110.87262725830078,10,64,64,65333.66498482995,5.654121797741879
0.0,1.0,-221.71554565429688,35,241,241,563.8170817959037,2.509244011747195
0.0,0.0,-242.73532104492188,32,240,240,1969.3893176884778,2.749439770263302
1.0,0.0,-281.60748291015625,32,283,283,6635.795545547943,2.7049392264029573
0.0,0.0,-264.9412841796875,35,256,256,1938.6574503006914,2.8149004344655704
0.0,0.0,-269.17962646484375,38,245,245,1192.3415963069322,3.0002402023645423
1.0,1.0,-302.07659912109375,42,298,298,1329.156725399368,2.7557230625684137
1.0,0.0,-343.9140319824219,53,329,329,657.8283293678326,2.8443409940308517
0.0,0.0,-384.427490234375,51,387,387,1877.683145024494,2.7002724840699877
1.0,1.0,-216.85043334960938,31,266,266,1091.3549420337667,2.2596889996568184
0.0,0.0,-243.50888061523438,24,169,169,25494.126186057976,4.224415678872038
0.0,0.0,-230.30755615234375,33,229,229,1073.8620836628556,2.7338472116498207
0.0,1.0,-326.7789001464844,42,318,318,2393.351594808129,2.7943697919273047
0.0,0.0,-297.57257080078125,37,272,272,3110.3853788791353,2.9862451764837545
0.0,1.0,-308.8623352050781,51,313,313,426.718361088425,2.6825843072987654
0.0,0.0,-133.84307861328125,13,94,94,29602.717152473724,4.15313112802223
1.0,1.0,-213.57196044921875,24,149,149,7323.412489280555,4.19280039231811
0.0,1.0,-351.0031433105469,49,326,326,1291.2027861564309,2.9349686113444133
0.0,1.0,-229.13160705566406,40,301,301,307.44314516879604,2.1409177129490566
0.0,0.0,-82.9016342163086,7,51,51,139119.78482348972,5.0810718810286195
1.0,1.0,-269.4205322265625,41,278,278,714.2496087481778,2.6356731259314508
1.0,1.0,-323.9097900390625,40,253,253,3287.046601156013,3.5976319953345866
1.0,1.0,-367.2835693359375,48,330,330,2104.306057420297,3.043415830698128
1.0,1.0,-282.88726806640625,36,295,295,2586.289930589777,2.6089292594788507
0.0,0.0,-109.28541564941406,8,54,54,856557.6952953164,7.567055283154851
1.0,0.0,-367.461669921875,43,373,373,5144.17471802087,2.678218755516682
0.0,1.0,-210.61019897460938,21,131,131,22675.8802389457,4.991375098059908
0.0,0.0,-309.74859619140625,48,307,307,634.6640184014028,2.742728100164603
0.0,1.0,-260.01898193359375,40,318,318,665.4573498075919,2.265215175193389
0.0,1.0,-108.72027587890625,11,59,59,19607.3827171113,6.313666315083519
0.0,0.0,-334.375244140625,40,321,321,4270.051228748221,2.833938463081223
0.0,0.0,-219.823974609375,29,201,201,1958.8974246482721,2.9851548303757833
0.0,0.0,-324.864501953125,42,285,285,2286.709340998724,3.1263789362111836
1.0,0.0,-114.22132873535156,13,110,110,6543.687062166108,2.824625291929333
1.0,0.0,-153.3865203857422,15,110,110,27605.437018159028,4.032646711391861
0.0,1.0,-272.6583251953125,38,254,254,1306.6463350533236,2.9254782547332323
1.0,0.0,-238.2180633544922,40,320,320,385.8511154780238,2.1052441538442843
1.0,1.0,-279.05682373046875,40,281,281,1071.0776747503237,2.6995491618054563
0.0,0.0,-218.44757080078125,29,189,189,1868.0957120668863,3.176586691647149
0.0,1.0,-400.544677734375,52,400,400,2214.5007546116935,2.721985818707279
0.0,0.0,-344.6380615234375,46,392,392,1793.8721455122134,2.408920515738116
1.0,1.0,-295.2395324707031,39,262,262,1939.614308665316,3.0859774432854543
0.0,0.0,-184.19287109375,24,129,129,2153.1840137395925,4.169731786279452
1.0,1.0,-331.0145568847656,40,309,309,3925.951110936416,2.9190100086571955
0.0,0.0,-241.02923583984375,48,355,355,151.6298590625931,1.9718172784784749
0.0,0.0,-215.5801544189453,32,231,231,842.9265505784855,2.542753176414101
0.0,1.0,-304.75048828125,45,339,339,873.2597710495226,2.45706854742583
1.0,0.0,-108.38687896728516,12,72,72,8368.583501198595,4.5058354302772745
0.0,0.0,-246.06439208984375,30,228,228,3648.7736469921997,2.9424124022415965
0.0,0.0,-231.63230895996094,36,269,269,622.8033410092952,2.365730018965964
1.0,0.0,-121.0408935546875,11,70,70,60097.14383684831,5.63589307579949
0.0,1.0,-282.63360595703125,38,265,265,1698.8833691510538,2.905315264707661
0.0,1.0,-220.08639526367188,28,206,206,2592.1123521612676,2.910662037292271
1.0,1.0,-217.7831573486328,28,216,216,2387.4232024114963,2.740815100500587
1.0,0.0,-364.25787353515625,55,409,409,752.1008529417313,2.436605903462664
1.0,1.0,-236.4361114501953,31,226,226,2052.8232855386336,2.8467485526680374
0.0,0.0,-84.5752182006836,9,54,54,12055.140756536959,4.788454674560343
0.0,1.0,-317.2955017089844,47,331,331,854.8859955152722,2.608034002897554
0.0,0.0,-162.66390991210938,14,97,97,111173.8763186984,5.349202716595133
0.0,1.0,-261.0350646972656,43,338,338,432.93296463699903,2.1647244766104756
1.0,1.0,-170.15560913085938,21,158,158,3303.203565074882,2.9356656798431473
