acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-277.7350158691406,72,437,437,47.34355877029444,1.8880588454877778
0.0,1.0,-146.4210968017578,17,98,98,5502.763470521965,4.455292986404809
0.0,1.0,-208.413818359375,40,225,225,183.15732060776241,2.52510750271269
1.0,1.0,-264.27239990234375,51,318,318,178.00502189565626,2.2957171599909243
1.0,1.0,-247.68873596191406,47,290,290,194.41073380972404,2.3492569567099584
1.0,1.0,-320.52996826171875,52,284,284,475.3435715915848,3.091407994595753
0.0,0.0,-138.91644287109375,15,82,82,10520.659678487442,5.44176230669369
0.0,1.0,-322.52044677734375,48,277,277,828.1348260540857,3.2037876256451554
0.0,0.0,-228.6088104248047,50,279,279,96.75443866152966,2.2691071254120496
0.0,1.0,-199.0111846923828,26,152,152,2109.6478869516304,3.703521448316096
0.0,0.0,-118.00568389892578,12,71,71,18653.834209400746,5.270113429259859
1.0,1.0,-221.25283813476562,37,212,212,395.3638325729631,2.839549642175798
1.0,0.0,-198.04791259765625,25,167,167,2757.0498825281807,3.273682978700232
0.0,1.0,-137.5926513671875,12,77,77,95421.0306874504,5.971018705132359
0.0,1.0,-256.05853271484375,38,227,227,844.1940961213762,3.089505844768639
1.0,0.0,-203.30120849609375,23,141,141,6899.353414086271,4.228522082491253
1.0,0.0,-200.15505981445312,26,143,143,2204.534228494777,4.0539257514201905
1.0,1.0,-228.99464416503906,39,247,247,354.8366499858947,2.527179408520924
1.0,0.0,-178.47076416015625,27,156,156,742.504032937685,3.1394366092027477
0.0,0.0,-182.05992126464844,24,127,127,1970.0812266689666,4.193529269393944
0.0,0.0,-256.2320556640625,44,262,262,338.1385796925947,2.659092622618116
1.0,1.0,-227.09837341308594,58,323,323,50.17361027686001,2.019986724495121
1.0,0.0,-165.53787231445312,23,127,127,1335.817571214118,3.6819695525218488
1.0,1.0,-216.62185668945312,36,242,242,410.4580769699715,2.4476579760243706
1.0,1.0,-144.64671325683594,17,100,100,4957.367791110754,4.24808006972941
1.0,1.0,-227.36241149902344,48,270,270,114.05911951737244,2.32119701080147
1.0,1.0,-335.2091064453125,57,371,371,358.11763312773365,2.468297369360917
1.0,1.0,-244.8642578125,49,286,286,148.0025866942909,2.354124117385419
0.0,1.0,-212.2091064453125,43,244,244,139.08642447451095,2.386217443627588
1.0,0.0,-177.85693359375,20,103,103,7279.712725924642,5.622443441977351
1.0,0.0,-196.33566284179688,32,191,191,461.9651539128683,2.79528874104516
1.0,1.0,-165.55316162109375,21,104,104,2653.099575806077,4.912865238716323
