acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,0.0,-384.45098876953125,32,591,591,165064.79933802036,1.9165166380129173
1.0,1.0,-391.7431335449219,31,655,655,307698.37360441097,1.8186257253814506
0.0,0.0,-395.5882568359375,35,825,825,81025.69648369888,1.615268048776339
0.0,0.0,-376.8211669921875,28,568,568,699344.5520442303,1.9414158908617587
1.0,0.0,-449.9230651855469,34,775,775,558511.9696183772,1.7870136784378179
1.0,0.0,-413.9775390625,31,691,691,630402.7395860718,1.8204781533851124
0.0,0.0,-390.25225830078125,26,639,639,3300888.532071518,1.8417632649586144
1.0,1.0,-392.8798522949219,33,665,665,148071.42971756507,1.8054263526888492
1.0,1.0,-325.65411376953125,20,487,487,11789332.893077837,1.9516872966846803
0.0,0.0,-348.1807861328125,32,721,721,53138.105451239244,1.6207900437539422
1.0,0.0,-241.1488494873047,14,299,299,30247310.2315308,2.2400941388627635
0.0,0.0,-440.37359619140625,40,814,814,60435.9801724882,1.7177228752094824
0.0,1.0,-486.1239318847656,35,805,805,1076531.8658631206,1.8292035631472472
1.0,0.0,-341.24871826171875,21,418,418,11409295.374450661,2.2623056524869383
0.0,0.0,-302.1973876953125,22,401,401,923794.4740877339,2.1246550199073426
0.0,1.0,-434.2107849121094,51,1041,1041,4983.745317098282,1.5175683793596237
0.0,0.0,-401.63897705078125,38,856,856,38927.13189468437,1.5987217639767188
0.0,0.0,-345.4438171386719,26,648,648,589070.2109499408,1.7041940659645716
0.0,0.0,-499.01171875,34,792,792,2366245.9202271253,1.8777331939649131
1.0,1.0,-461.6120910644531,34,627,627,787663.468964752,2.0880349966440988
0.0,0.0,-194.0074920654297,12,219,219,10504255.360466795,2.4251150321508077
0.0,0.0,-362.70050048828125,26,584,584,1143974.6019116805,1.8609042040961625
0.0,0.0,-403.87725830078125,30,737,737,702622.6647512331,1.7297929293493348
0.0,0.0,-369.66009521484375,40,831,831,10316.526267346677,1.560236885955666
0.0,0.0,-339.2833251953125,26,570,570,464798.22299785493,1.813455069481182
0.0,0.0,-198.62155151367188,14,238,238,1450260.3928473303,2.3037640623383266
0.0,0.0,-370.3448486328125,31,638,638,154292.89959554916,1.7868920380759612
0.0,0.0,-483.0704650878906,40,898,898,175740.126207275,1.7124761846519447
0.0,0.0,-494.86822509765625,32,897,897,5202407.3809866,1.7361891343070917
0.0,0.0,-323.8785400390625,30,560,560,48822.73354193663,1.7831019849946999
0.0,1.0,-436.563720703125,34,797,797,377041.0824257974,1.729372707919052
0.0,0.0,-431.93768310546875,45,919,919,14744.349153434516,1.6000075696869165
0.0,0.0,-476.4388732910156,36,795,795,559284.2649662974,1.8208331667028237
0.0,0.0,-410.2999267578125,33,855,855,251030.84873110562,1.6158852602737863
0.0,0.0,-455.7461853027344,35,652,652,451946.72195145395,2.011734362080005
1.0,0.0,-303.4911193847656,27,555,555,76146.30458667842,1.7277687664886663
0.0,1.0,-349.62396240234375,36,717,717,16510.91131910577,1.6284368860844072
0.0,0.0,-394.968994140625,31,715,715,341442.7478393733,1.7374250965169795
0.0,0.0,-252.87753295898438,17,369,369,2885327.5805240367,1.9843769134734137
0.0,1.0,-290.19158935546875,25,507,507,109937.09023498939,1.7724628121075006
0.0,0.0,-395.0908203125,36,821,821,58380.955354042424,1.618065348441639
0.0,0.0,-167.21295166015625,8,180,180,1195247313.1396403,2.531876791508812
1.0,0.0,-467.95709228515625,39,938,938,162575.8274188118,1.6468891719785284
0.0,0.0,-538.062744140625,44,1055,1055,204576.79926000556,1.6653113113756048
1.0,1.0,-174.45779418945312,9,170,170,262090220.20666373,2.7905042625342475
1.0,0.0,-576.1204223632812,50,1179,1179,100952.80882388815,1.6301169451398712
0.0,1.0,-318.8681945800781,22,499,499,1970915.7581346151,1.8946126626712345
1.0,1.0,-560.2484130859375,42,921,921,621100.3428908747,1.8373135285449944
0.0,0.0,-438.5992736816406,34,778,778,400303.63983022136,1.7572538531659705
0.0,0.0,-192.63169860839844,11,192,192,40304456.37239193,2.727239967619364
1.0,1.0,-366.7823486328125,30,652,652,204041.41925077004,1.7551417352226968
0.0,0.0,-367.27606201171875,33,804,804,68157.57867370087,1.5790304546705873
0.0,0.0,-453.380126953125,32,666,666,1422788.117149443,1.9753605553679285
1.0,1.0,-294.1059265136719,16,439,439,96169268.18907455,1.954130158869357
0.0,0.0,-256.883056640625,16,336,336,9390330.42915853,2.1479908281066415
1.0,0.0,-364.002685546875,36,712,712,24616.831853522363,1.6673569814637057
0.0,0.0,-584.5921630859375,49,1097,1097,151820.21563093673,1.7038677037850858
1.0,0.0,-341.4004821777344,28,567,567,197377.6866734765,1.8259807729516964
0.0,0.0,-688.6222534179688,55,1248,1248,273868.84629005316,1.736342087396389
0.0,1.0,-463.39556884765625,34,786,786,830083.3834342341,1.8031980671936354
0.0,0.0,-290.8946228027344,21,480,480,1037292.8986149674,1.8331402212750867
1.0,0.0,-411.6318664550781,32,762,762,385962.62862306007,1.716348896108647
0.0,0.0,-476.0211486816406,41,950,950,110224.21837946934,1.650494423032616
0.0,0.0,-386.77117919921875,31,700,700,262102.1655515393,1.7376441447082158
0.0,0.0,-186.90512084960938,13,228,228,1753837.8265488886,2.2699533984649123
0.0,0.0,-385.224609375,32,640,640,169103.97526340466,1.8256086753133693
0.0,1.0,-420.6462707519531,31,682,682,781706.4304291373,1.8529581984520187
1.0,1.0,-231.57769775390625,15,294,294,5068285.656598698,2.1982888099713667
0.0,0.0,-369.07330322265625,32,814,814,102082.92229919655,1.5736645477573992
0.0,1.0,-390.0498352050781,30,663,663,443148.92817037145,1.8009430787558702
0.0,0.0,-382.8393249511719,31,668,668,230880.5240008767,1.7737798212644043
1.0,1.0,-635.8538208007812,55,1248,1248,104922.63625654293,1.6644558510776417
0.0,1.0,-367.2510986328125,32,626,626,96432.33332285305,1.797978713258972
0.0,0.0,-148.20445251464844,7,124,124,1566429472.4210453,3.3042092887286296
0.0,0.0,-229.8068389892578,18,287,287,350475.6849261061,2.227145439133406
1.0,1.0,-277.5233459472656,21,417,417,548749.5515006344,1.9455089453164514
0.0,0.0,-414.2330322265625,46,855,855,8144.237638696299,1.6233356550282259
0.0,0.0,-366.75189208984375,28,535,535,488103.06453391386,1.9847988129166125
0.0,0.0,-392.9308776855469,30,622,622,487817.15041661996,1.880845986236938
0.0,1.0,-445.9996643066406,35,838,838,342096.29872128,1.7027067143936496
0.0,0.0,-494.84051513671875,40,1010,1010,235864.5263793895,1.6322200860465754
0.0,0.0,-592.8768920898438,56,1292,1292,39619.92228523497,1.5823056308941794
0.0,1.0,-377.958251953125,28,616,616,728329.6191939872,1.847010878152587
0.0,1.0,-320.75054931640625,27,480,480,144300.03317742396,1.9507819868292102
0.0,0.0,-328.6896057128906,26,554,554,309250.8107863793,1.8099560032541164
0.0,0.0,-460.3976135253906,44,1016,1016,35016.76149094875,1.5732558430329922
0.0,0.0,-360.827392578125,22,554,554,13273035.340460248,1.9180575533913982
0.0,0.0,-338.56243896484375,22,499,499,4824423.342616935,1.970883346747019
0.0,0.0,-448.58380126953125,37,809,809,184220.1006312921,1.7410558155332356
0.0,0.0,-394.9661865234375,33,767,767,157735.09940035202,1.6735538106825731
0.0,1.0,-569.3148803710938,48,1040,1040,141595.07441016485,1.7287837977492466
1.0,0.0,-140.45346069335938,9,146,146,5992025.603036241,2.616951275056692
0.0,0.0,-275.8193054199219,14,343,343,359915182.88766676,2.234769110971685
0.0,0.0,-454.86480712890625,50,1137,1137,8931.111574735396,1.4919097316174035
1.0,1.0,-385.7864074707031,36,736,736,45084.288585701834,1.6890501246437417
0.0,0.0,-481.7242431640625,41,832,832,126673.95546065207,1.7842452283922272
0.0,0.0,-382.9088439941406,37,904,904,31222.294175091793,1.527407311085409
0.0,0.0,-514.7559814453125,40,1009,1009,388053.9037446325,1.6655651594407241
0.0,0.0,-314.6103515625,25,472,472,291972.2558430063,1.9475016675330417
1.0,0.0,-283.06689453125,18,435,435,6755979.922276205,1.9169367958492363
1.0,0.0,-451.73291015625,36,874,874,281570.00837085384,1.6767491291151768
0.0,1.0,-454.00592041015625,37,1009,1009,213294.74795660615,1.56824367305422
1.0,0.0,-439.5914001464844,31,664,664,1440308.3011550133,1.9387341133191502
0.0,0.0,-565.5081787109375,40,982,982,1380152.3750950296,1.7786842562178633
0.0,0.0,-407.82232666015625,25,561,561,12150648.081947092,2.068773705650014
0.0,1.0,-235.48011779785156,22,417,417,44517.681133559476,1.7589209462331363
0.0,0.0,-407.60455322265625,43,788,788,13084.396028352121,1.6774330214233213
0.0,0.0,-321.205810546875,29,622,622,64605.99146788755,1.6759967376385183
1.0,0.0,-387.920654296875,27,633,633,1736585.9405716506,1.8456450514139853
0.0,0.0,-277.9283752441406,19,405,405,2253081.118385408,1.9862390021018208
0.0,0.0,-509.505615234375,47,1014,1014,51049.192466545115,1.6528003331350318
0.0,0.0,-500.92218017578125,43,893,893,114617.18488003292,1.7523243223908553
0.0,0.0,-446.8726501464844,32,657,657,1160974.5237571443,1.974216205106616
1.0,0.0,-295.9556884765625,23,451,451,387564.9123218948,1.9274946267067679
1.0,1.0,-402.713623046875,34,804,804,139318.5511391838,1.6501853102592732
1.0,0.0,-517.9700927734375,52,1063,1063,21183.192138765844,1.6278692634267644
0.0,1.0,-484.0559387207031,40,979,979,180123.58327124684,1.6395784417887238
1.0,1.0,-298.5301513671875,20,460,460,3037385.1899199425,1.9135852752002904
1.0,1.0,-188.4610595703125,14,258,258,701870.5434921583,2.076054511985508
0.0,1.0,-420.153564453125,33,865,865,338380.47110529954,1.6253556674468752
0.0,0.0,-391.822265625,38,870,870,30064.857787348534,1.5688932277037757
0.0,0.0,-391.7685546875,30,610,610,469278.5633978638,1.900740471845787
1.0,0.0,-210.8840789794922,14,306,306,3482108.2891848953,1.992048799883311
0.0,0.0,-594.2181396484375,43,1105,1105,1003522.133674414,1.712156988717224
0.0,1.0,-419.5392150878906,35,833,833,160626.12151420905,1.654747646112483
0.0,0.0,-489.55682373046875,43,949,949,87995.62816969978,1.6750884823720618
0.0,0.0,-299.6252746582031,21,534,534,1572017.2446954958,1.7525923241888848
1.0,1.0,-320.1979675292969,24,535,535,622551.7151318525,1.8193892609881006
0.0,0.0,-276.15264892578125,18,374,374,4601136.1919490425,2.092534617068311
1.0,1.0,-310.151123046875,20,472,472,5430578.110927041,1.929189250047254
0.0,0.0,-289.490478515625,23,448,448,292594.37528413587,1.9082452525338505
0.0,1.0,-304.85546875,22,408,408,1042431.7484129403,2.111069679944171
0.0,0.0,-232.65213012695312,16,337,337,2065242.3389896122,1.9944381945424179
1.0,0.0,-429.1917419433594,39,883,883,60169.23535678122,1.6258989501301082
0.0,0.0,-536.894775390625,44,933,933,199217.80170935884,1.7779302734365403
0.0,1.0,-287.3699035644531,18,466,466,8580430.478025625,1.8527548003886911
1.0,0.0,-259.2951965332031,17,310,310,4208675.800992409,2.3081264107826382
0.0,0.0,-437.8580627441406,26,601,601,20597797.713403177,2.07207224125112
0.0,0.0,-219.61732482910156,14,220,220,6497654.17457067,2.7135576703127064
0.0,0.0,-541.43896484375,45,1000,1000,168043.3055884314,1.7184779131825487
0.0,0.0,-265.2789611816406,19,415,415,1157821.2781054026,1.8950143526924295
0.0,1.0,-404.24713134765625,32,772,772,306423.32949952246,1.6881549390566855
1.0,1.0,-417.14483642578125,39,890,890,44179.733588369585,1.597918849317556
0.0,0.0,-272.3128356933594,20,419,419,818838.1994656846,1.9153709326185153
0.0,0.0,-323.864990234375,24,552,552,725324.6256204683,1.7980665322310991
0.0,0.0,-459.12353515625,33,809,809,1102217.2586505215,1.7638868666213914
0.0,1.0,-390.68731689453125,29,564,564,709259.2855390232,1.9991218490803133
0.0,0.0,-274.0106201171875,21,477,477,464225.0649990818,1.7761458154266803
0.0,0.0,-401.8934326171875,39,760,760,29880.4533263756,1.6969069423441043
0.0,0.0,-485.3651428222656,39,821,821,254043.317390012,1.806132375789558
1.0,1.0,-386.63885498046875,30,762,762,395522.05626275693,1.6609671814917473
0.0,0.0,-414.2667236328125,41,864,864,24442.200109200014,1.6152267908315108
0.0,0.0,-332.947509765625,31,669,669,46177.23702222093,1.6448996622998946
1.0,0.0,-436.9975280761719,34,865,865,381882.58561001404,1.6573160465136298
1.0,1.0,-220.55731201171875,12,267,267,95992056.47692907,2.284294784215361
0.0,0.0,-292.6923828125,23,559,559,336298.94964532065,1.6880938099645986
0.0,1.0,-217.41653442382812,13,282,282,18335484.826812275,2.1618851993501833
0.0,0.0,-498.84027099609375,45,1089,1089,65208.12491872383,1.5810226337036069
0.0,0.0,-178.36679077148438,8,172,172,4819079860.315014,2.8207878501470387
0.0,0.0,-429.64990234375,30,658,658,1658896.8835568365,1.921225718534152
0.0,1.0,-429.2286071777344,35,856,856,211858.6298299487,1.651089360846798
0.0,1.0,-476.98565673828125,44,924,924,51051.13761574545,1.6756786430022927
1.0,1.0,-170.4384765625,9,162,162,167686799.20091292,2.863628026067269
1.0,0.0,-346.5777587890625,19,541,541,83548233.78026408,1.8976652657798725
1.0,0.0,-415.12689208984375,37,850,850,74581.34830113356,1.6296814706272573
0.0,0.0,-508.713623046875,47,1145,1145,50196.17499109648,1.5593847833659311
0.0,0.0,-377.33355712890625,31,679,679,193309.9677267011,1.7431948049963433
0.0,0.0,-434.2371826171875,42,898,898,30914.497836640578,1.621838426511682
1.0,0.0,-407.5445556640625,37,875,875,60761.86924578518,1.5932328746635431
0.0,0.0,-478.93096923828125,41,1062,1062,118331.24741476291,1.5698354121305866
0.0,1.0,-328.8365478515625,25,458,458,515793.5740143915,2.0502950895920793
1.0,0.0,-381.3363037109375,32,773,773,149755.5371069845,1.637744396531786
0.0,0.0,-383.391845703125,29,653,653,551506.2622330437,1.7988072503934542
0.0,0.0,-406.15576171875,42,981,981,15841.292812962016,1.5128906872681547
0.0,1.0,-325.348388671875,19,498,498,27332838.255231317,1.9218918076403844
0.0,0.0,-380.927734375,31,775,775,217073.53182314447,1.6347986669030132
0.0,0.0,-334.7125244140625,32,627,627,34883.40131171693,1.7054547272478102
0.0,0.0,-422.3759765625,46,1120,1120,9721.414844650564,1.4580813208452479
1.0,0.0,-356.5401611328125,30,694,694,145026.53980040204,1.6715421273392699
0.0,0.0,-388.8027648925781,32,665,665,189110.42882097943,1.794391221179083
1.0,1.0,-356.98907470703125,45,910,910,2788.0300468971623,1.4803753736936562
1.0,0.0,-273.891357421875,19,345,345,1821798.214379033,2.2119798905054022
0.0,1.0,-197.0559844970703,11,173,173,60260079.37200209,3.1238053856469863
0.0,0.0,-438.4350280761719,44,991,991,21256.807080920786,1.556464307044557
0.0,0.0,-493.40911865234375,40,999,999,227573.36896105122,1.6386996347403269
0.0,0.0,-313.86529541015625,20,481,481,6538803.597312807,1.9203867569858288
0.0,0.0,-203.20904541015625,12,250,250,22614166.802286312,2.254292511594556
0.0,0.0,-469.9076232910156,37,836,836,327815.4363344695,1.7543360363745746
0.0,0.0,-427.5400695800781,33,823,823,423267.51624600834,1.6811696249035262
0.0,1.0,-478.1618347167969,43,945,945,67510.78675239075,1.658629003285701
0.0,0.0,-501.1914978027344,48,1118,1118,34251.63355388583,1.5656372534964467
0.0,0.0,-440.15704345703125,32,750,750,941196.867876917,1.7983616535311195
1.0,0.0,-249.5023956298828,17,326,326,2365763.8474132875,2.1497354152037498
0.0,0.0,-365.5311279296875,33,681,681,64647.24998675684,1.7104498886302355
0.0,0.0,-440.45013427734375,31,683,683,1480764.1760532118,1.9057502168008045
0.0,0.0,-481.3433532714844,40,863,863,168313.54055033418,1.7467482444437996
0.0,1.0,-440.469970703125,41,921,921,46312.63130126189,1.6132517591934787
1.0,0.0,-333.26971435546875,26,602,602,368820.71463358577,1.7395112390507943
0.0,0.0,-435.72998046875,36,812,812,180522.47578296895,1.7102050514245666
0.0,1.0,-270.1562194824219,17,368,368,7972768.236317465,2.0836479124080403
0.0,0.0,-474.35595703125,39,941,941,191563.23791911118,1.6554911342642293
0.0,1.0,-513.9869995117188,42,965,965,206444.2548542669,1.703404703627411
1.0,0.0,-297.439208984375,26,486,486,92964.18368795472,1.84414329942724
1.0,0.0,-470.16522216796875,45,954,954,34479.356036826684,1.636951487013898
0.0,0.0,-525.80029296875,40,877,877,511451.13354507374,1.8212885292946286
1.0,0.0,-699.7349853515625,47,1150,1150,2922583.1153488597,1.8376088797838661
0.0,1.0,-472.01776123046875,42,847,847,76002.24243333576,1.7459204419273477
1.0,0.0,-523.3282470703125,45,893,893,112365.9912336137,1.7968477349570573
0.0,0.0,-420.9729919433594,43,1132,1132,17855.54851491034,1.450465107078381
0.0,0.0,-419.03094482421875,32,740,740,486366.1555796282,1.7616626199329861
1.0,0.0,-173.53237915039062,11,156,156,7100464.993105258,3.041610198756814
1.0,1.0,-280.3935546875,21,411,411,629117.9467049048,1.9782700700211002
1.0,0.0,-401.7569580078125,39,724,724,29776.073929634393,1.7417893126069124
0.0,0.0,-358.3626708984375,29,642,642,232660.0092798092,1.747519417575681
0.0,0.0,-250.80860900878906,19,416,416,540609.835171884,1.8274203181236268
1.0,0.0,-338.5102233886719,25,596,596,759494.937591579,1.7646814164019293
0.0,0.0,-294.56524658203125,18,438,438,12797186.771072596,1.9591748584669024
0.0,0.0,-295.2667236328125,23,386,386,376127.5660376491,2.1488647910437813
0.0,0.0,-327.17987060546875,22,506,506,2875716.159783155,1.9090400704256183
1.0,1.0,-381.6337890625,30,856,856,334745.6611760074,1.5617919778048883
0.0,1.0,-490.9559631347656,50,1054,1054,18381.854025023174,1.593292486740918
0.0,0.0,-165.4765167236328,9,175,175,96618388.28253329,2.5743062891888004
0.0,0.0,-235.9676055908203,18,373,373,493516.42585657217,1.8825381131514394
0.0,0.0,-243.99148559570312,17,277,277,1710746.4080177192,2.4129153086326145
0.0,0.0,-484.9127502441406,40,968,968,184023.5018910735,1.6502766224094525
0.0,0.0,-223.74212646484375,12,237,237,125169228.21660608,2.570395055885033
0.0,1.0,-504.5689392089844,40,893,893,300806.8009142509,1.7594949499701225
0.0,0.0,-527.1805419921875,49,1197,1197,47041.55181388519,1.5533566401358196
0.0,1.0,-311.9521179199219,23,484,484,776953.3288656089,1.9050898432089116
0.0,0.0,-431.5013122558594,33,737,737,477250.7633613433,1.7958590072386067
1.0,0.0,-405.5875549316406,35,781,781,107819.7203351294,1.6808813217681262
1.0,0.0,-501.85076904296875,35,906,906,1687221.0784578903,1.7400592617598003
0.0,0.0,-389.7943115234375,35,712,712,68664.0004012048,1.728862919902011
0.0,0.0,-302.3019714355469,28,533,533,48849.47840056076,1.7632711256412383
0.0,1.0,-664.9387817382812,68,1701,1701,17650.360660073937,1.4783262157554604
0.0,0.0,-434.7169189453125,36,817,817,175513.27686922773,1.7024855169511637
0.0,0.0,-175.8590850830078,10,152,152,43397331.382636994,3.180274980852477
0.0,0.0,-144.56568908691406,8,119,119,70470950.68625,3.3697471888991237
0.0,0.0,-379.1575622558594,27,660,660,1255284.3469291788,1.776208710667533
0.0,0.0,-504.0926818847656,41,865,865,218587.89118063284,1.7909856418730923
0.0,1.0,-293.9022216796875,22,455,455,633611.8959826545,1.907777493849721
1.0,0.0,-298.66192626953125,22,534,534,786652.6757881873,1.749433457167733
0.0,1.0,-457.59503173828125,40,847,847,92955.46564926594,1.7164425679484712
0.0,1.0,-434.7655029296875,36,764,764,175750.3016139275,1.7666141312342336
1.0,0.0,-541.7608642578125,43,1093,1093,296288.78019043553,1.6415880602135577
1.0,0.0,-249.01194763183594,17,332,332,2298486.9702396663,2.117076202130478
0.0,1.0,-230.46725463867188,20,335,335,101049.1925229658,1.9896563873328477
0.0,1.0,-447.79833984375,34,780,780,524677.6784220781,1.775532602556071
0.0,0.0,-507.61810302734375,40,954,954,324633.6438135851,1.7024943623103665
0.0,0.0,-383.4419860839844,35,830,830,57267.31474695459,1.5872108547999189
0.0,0.0,-491.8537292480469,39,884,884,300028.90028542915,1.7443737719828831
0.0,1.0,-554.0094604492188,49,1193,1193,81333.68337360589,1.5910329411997521
0.0,1.0,-363.89111328125,32,624,624,86820.43420400897,1.7916891522978924
1.0,1.0,-417.44268798828125,33,643,643,311694.3764004379,1.9140301079911184
0.0,0.0,-164.28469848632812,10,195,195,13639354.001071883,2.3221317772101666
0.0,1.0,-352.201904296875,25,606,606,1313329.628778503,1.7881673368527242
1.0,1.0,-254.87631225585938,17,290,290,3245319.136210012,2.408210246645611
0.0,1.0,-352.0764465332031,27,677,677,460408.0268165204,1.682118204686739
1.0,0.0,-442.6474609375,38,873,873,114532.89955839369,1.6603721518539885
1.0,1.0,-205.99534606933594,12,236,236,28524640.170773596,2.3937511057696037
0.0,0.0,-413.2055969238281,40,755,755,30642.399182675505,1.7285660316491462
0.0,0.0,-516.9151000976562,47,1102,1102,59766.08383537188,1.5985068324403402
0.0,0.0,-458.6292724609375,40,982,982,95390.2653166062,1.5952587024900382
0.0,0.0,-356.150634765625,27,636,636,535397.2376163489,1.7506467214634494
0.0,1.0,-249.66180419921875,16,347,347,5979591.200389298,2.0533784631300835
1.0,1.0,-522.5576171875,41,950,950,342938.9549082819,1.7333581422806281
1.0,0.0,-434.32958984375,49,1004,1004,7071.79191771584,1.5412583498601593
0.0,1.0,-504.2091064453125,38,898,898,578770.147533331,1.7532655436078863
0.0,0.0,-257.89324951171875,16,309,309,10002324.705411913,2.303906096958896
