acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,0.0,-324.20849609375,32,591,591,25122.408680043623,1.730786856620948
1.0,0.0,-334.8807678222656,31,655,655,49148.6871250035,1.667404703451701
1.0,1.0,-311.95440673828125,35,825,825,7427.78553588261,1.459547642229202
0.0,0.0,-318.43902587890625,28,568,568,86926.85986215658,1.751779428852723
1.0,0.0,-381.01556396484375,34,775,775,73595.57028886101,1.6349839466872214
1.0,0.0,-349.89111328125,31,691,691,79762.60829124058,1.6592317973059265
0.0,0.0,-329.52337646484375,26,639,639,319328.6230716662,1.674787070582852
1.0,0.0,-331.19293212890625,33,665,665,22837.277512802066,1.6454838659567192
1.0,0.0,-259.879638671875,20,487,487,439758.9142599375,1.7051170424421542
0.0,0.0,-285.4776611328125,32,721,721,7488.897806934272,1.4857903091854194
1.0,0.0,-183.7293701171875,14,299,299,500581.86807683413,1.8486941014426053
1.0,0.0,-366.8678894042969,40,814,814,9620.93983763288,1.5694067046788152
0.0,0.0,-413.0164794921875,35,805,805,133315.10860723004,1.6704013880588005
1.0,0.0,-274.58990478515625,21,418,418,477208.9630780037,1.9288300893730335
0.0,0.0,-248.93421936035156,22,401,401,82058.83665271134,1.860385249057584
0.0,0.0,-380.9351501464844,51,1041,1041,1753.4081189348467,1.4418571073603343
0.0,0.0,-327.2987976074219,38,856,856,5503.426916005485,1.4657373236005113
0.0,0.0,-291.11224365234375,26,648,648,72884.02483082545,1.5671321447474298
0.0,0.0,-417.9870910644531,34,792,792,218324.5448369472,1.6951334657987542
1.0,1.0,-387.69415283203125,34,627,627,89569.41595828776,1.8558299013568615
0.0,0.0,-141.5707550048828,12,219,219,132928.00130771697,1.9087370704090434
0.0,0.0,-306.03173828125,26,584,584,129372.54569595362,1.6888147459224927
0.0,0.0,-338.83203125,30,737,737,80370.38501018459,1.583670025103932
0.0,0.0,-328.5731201171875,40,831,831,3693.493373722507,1.4849704153304906
0.0,0.0,-294.36578369140625,26,570,570,82599.66561100302,1.6760355272167893
0.0,0.0,-132.56869506835938,14,238,238,12954.422373868656,1.7454481179718704
0.0,0.0,-338.7789611816406,31,638,638,55734.442189121495,1.7006346527730611
0.0,0.0,-404.528076171875,40,898,898,24666.514246344992,1.5690599773831515
0.0,0.0,-435.9403076171875,32,897,897,824996.656876014,1.6257969287939786
0.0,1.0,-269.09967041015625,30,560,560,7863.515213851311,1.6169394366214636
0.0,0.0,-361.288330078125,34,797,797,41197.27347015776,1.5735124130742466
0.0,0.0,-379.00518798828125,45,919,919,4547.520920632772,1.5104542494938382
0.0,0.0,-414.59234619140625,36,795,795,100353.48287255706,1.6845522584907984
0.0,0.0,-339.91485595703125,33,855,855,29746.006911887096,1.48819092060349
0.0,0.0,-375.8074035644531,35,652,652,46044.07585851257,1.7796055226565788
1.0,0.0,-278.6502685546875,27,555,555,30344.79603890191,1.6521418812658155
0.0,1.0,-290.09234619140625,36,717,717,3159.347277649311,1.4986906631633403
0.0,1.0,-330.1888122558594,31,715,715,42245.453108214766,1.5869319081776767
0.0,0.0,-194.26649475097656,17,369,369,91806.72836916747,1.6929413593874667
0.0,1.0,-250.07569885253906,25,507,507,22093.261999138336,1.6376232524136074
0.0,0.0,-376.00054931640625,36,821,821,34353.517811895166,1.5808754005649415
0.0,0.0,-100.81124877929688,8,180,180,296975.84883130435,1.7507819088734733
1.0,0.0,-420.8500671386719,39,938,938,48582.922659444004,1.5662237212816776
0.0,0.0,-467.769287109375,44,1055,1055,41403.47781907001,1.5579692501846756
1.0,1.0,-115.9884033203125,9,170,170,395379.11520922056,1.9783926565658236
1.0,1.0,-523.6344604492188,50,1179,1179,35337.118603803356,1.5591400237274553
0.0,1.0,-247.0460205078125,22,499,499,75309.72598066046,1.6406331024575977
1.0,0.0,-490.7153625488281,42,921,921,118622.22093269718,1.7037081247786683
0.0,0.0,-365.2604064941406,34,778,778,46302.58787684106,1.5991726210740127
0.0,0.0,-138.63275146484375,11,192,192,297442.85631207377,2.058640020470019
1.0,0.0,-318.4830627441406,30,652,652,40786.323320838186,1.6298222423991884
0.0,0.0,-304.16552734375,33,804,804,10068.199710623749,1.4598232000291484
0.0,0.0,-374.5451965332031,32,666,666,121120.03912071523,1.7548443700908312
0.0,1.0,-231.1109619140625,16,439,439,1875592.4102711736,1.6929095238343
0.0,1.0,-183.7398223876953,16,336,336,97123.52483406571,1.727792720006996
1.0,0.0,-282.3163146972656,36,712,712,2545.5954054972926,1.4866297986553336
0.0,0.0,-537.7517700195312,49,1097,1097,58368.16607657094,1.6326462431033897
1.0,0.0,-304.4662780761719,28,567,567,52775.14633794461,1.7108281691936693
0.0,0.0,-616.8901977539062,55,1248,1248,74323.71908217663,1.6393552807866358
