acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,1.0,-629.119384765625,48,851,851,492206.61144449486,2.0944075529023407
0.0,1.0,-455.18536376953125,28,551,551,11485778.0262328,2.2844098924560376
0.0,0.0,-479.84832763671875,39,766,766,220533.14339089315,1.8709266597300558
0.0,0.0,-309.016845703125,21,336,336,2458563.736924531,2.5085201388754554
0.0,0.0,-413.0608825683594,32,498,498,403589.10811290593,2.292033748520877
1.0,0.0,-476.562255859375,27,519,519,46290805.80991594,2.504857149738136
0.0,0.0,-385.2857360839844,27,426,426,1575120.0935131318,2.470514949589472
1.0,1.0,-609.3782348632812,38,743,743,9214319.860618714,2.2708611748118623
0.0,0.0,-357.40594482421875,20,352,352,57672859.09683766,2.760350868165337
0.0,0.0,-406.0859375,24,569,569,22303348.806107637,2.0414973744626455
1.0,0.0,-233.3509063720703,12,164,164,278773132.6384657,4.149016757706975
1.0,1.0,-411.3746032714844,29,533,533,1447474.8989222362,2.1636784561986815
1.0,1.0,-541.223388671875,39,795,795,1063975.3554647968,1.9754261291882163
1.0,1.0,-577.6022338867188,38,680,680,3993021.5640440607,2.3382786753067775
1.0,0.0,-305.29376220703125,19,290,290,9512266.628765915,2.8654835407558905
0.0,0.0,-446.6462707519531,23,500,500,271481098.5113048,2.4431606306453566
0.0,1.0,-590.4893188476562,35,744,744,21234194.654916614,2.211494296515951
0.0,0.0,-426.3171081542969,32,643,643,610729.6261484491,1.9406298976440841
0.0,0.0,-584.7229614257812,42,844,844,1112338.675857591,1.9993051942550737
1.0,1.0,-647.12548828125,39,677,677,16077980.740347803,2.600938166256913
0.0,0.0,-299.09002685546875,20,305,305,3123614.3748489595,2.6661168189849005
0.0,1.0,-483.33709716796875,35,625,625,994138.0384293593,2.166990536546446
0.0,0.0,-492.0477294921875,35,769,769,1275063.5225221917,1.8962040219193357
1.0,0.0,-482.39935302734375,34,678,678,1451657.0652436807,2.0370516045799207
0.0,0.0,-490.5772705078125,31,610,610,7460054.234453513,2.2349638057058896
0.0,0.0,-236.37832641601562,14,259,259,21512961.514131997,2.4909337270041427
0.0,0.0,-594.6835327148438,41,655,655,1991654.7974947426,2.4791451183412234
0.0,0.0,-702.0855712890625,45,856,856,5967875.648082736,2.270939050084086
0.0,0.0,-442.4475402832031,38,714,714,113931.91626744981,1.8583229220293305
0.0,0.0,-369.6386413574219,31,513,513,150817.70586507226,2.0555494008053685
1.0,1.0,-543.8590087890625,42,776,776,420426.1079879292,2.015463589424796
0.0,0.0,-748.5093994140625,52,939,939,1784076.5978117648,2.2191730148833044
0.0,0.0,-417.7289123535156,25,533,533,18059031.79662027,2.189627729560781
0.0,1.0,-460.6087646484375,25,456,456,100367658.41002084,2.745894645340401
0.0,0.0,-521.0651245117188,36,622,622,1931932.2704489005,2.3111038801050627
1.0,0.0,-508.19073486328125,39,660,660,456129.3283832879,2.159735935013449
0.0,0.0,-476.2358703613281,30,580,580,7838272.408957102,2.2729904155492546
0.0,1.0,-548.095703125,35,702,702,6324093.310241895,2.183137603840755
0.0,0.0,-301.3251037597656,13,266,266,11653287143.118597,3.104340029643958
0.0,0.0,-356.2188415527344,22,416,416,10764513.824218629,2.354422070854005
0.0,0.0,-420.9006652832031,34,553,553,237858.52231781682,2.1406774842709524
0.0,0.0,-178.05789184570312,7,146,146,111449977204.57803,3.3857471360953504
0.0,0.0,-602.3515014648438,45,820,820,650560.072874989,2.084595854700537
0.0,1.0,-556.51318359375,31,599,599,62585124.52545377,2.532154251808757
0.0,1.0,-632.6304931640625,42,797,797,3480306.037243115,2.2117072623850342
0.0,0.0,-499.1316833496094,37,783,783,722191.4117280314,1.8916711464189162
0.0,1.0,-187.36289978027344,10,171,171,137109437.396938,2.9912443530003823
0.0,0.0,-846.207763671875,51,1135,1135,16067498.961683081,2.1076161056652416
0.0,0.0,-303.6552734375,20,378,378,3924555.568668271,2.2329438549168983
0.0,0.0,-733.4243774414062,47,906,906,5985042.440628257,2.2468274082574755
0.0,1.0,-689.639404296875,43,815,815,9231440.683231084,2.3307341834932873
0.0,0.0,-251.46212768554688,16,263,263,6691729.911363911,2.6016081240070505
0.0,0.0,-636.8086547851562,38,837,837,18965317.879601125,2.1400362445023204
0.0,1.0,-632.236572265625,40,763,763,7318487.995726686,2.290154679154867
0.0,1.0,-686.824951171875,46,946,946,3050991.566101179,2.066860116531866
0.0,0.0,-524.4520874023438,38,621,621,985959.6611293111,2.326880015477287
0.0,1.0,-262.22991943359375,15,270,270,39114141.2710863,2.641169796703276
1.0,1.0,-317.9906921386719,20,371,371,8036744.184261605,2.3563593239444196
0.0,0.0,-578.6102905273438,40,753,753,1915055.693963408,2.1563279682419503
0.0,0.0,-454.9678955078125,35,622,622,442007.7650069912,2.0781116880269233
0.0,1.0,-552.7171630859375,37,744,744,3073420.611586396,2.102021315008489
0.0,0.0,-426.5804748535156,27,569,569,7270072.677948432,2.1163693816723774
0.0,0.0,-888.9210205078125,66,1252,1252,706798.0854911382,2.0339929165579456
0.0,0.0,-828.5078125,62,1264,1264,636047.9508324998,1.926037996808798
0.0,1.0,-523.66943359375,34,585,585,4886770.259074649,2.4477308823994615
0.0,0.0,-327.85809326171875,22,370,370,2965750.276651249,2.4256583079903415
1.0,1.0,-564.5494384765625,37,716,716,4231609.3167418735,2.2000429202547527
0.0,0.0,-412.199462890625,30,605,605,927253.339035422,1.9764877902304923
0.0,0.0,-333.34527587890625,26,493,493,369894.14503541915,1.9663061781661957
0.0,0.0,-671.7598876953125,43,856,856,6091000.851764335,2.1918944683877553
1.0,1.0,-213.5828857421875,14,205,205,4222426.0329709975,2.8345061807630225
0.0,1.0,-448.43841552734375,35,575,575,366783.17840941774,2.1812386348461206
