acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
0.0,0.0,-309.9797058105469,41,513,513,1920.7684695939874,1.8298773435085187
0.0,1.0,-277.4888916015625,39,510,510,1230.406380752912,1.723049809789128
1.0,1.0,-288.0956115722656,39,489,489,1614.962415728828,1.8024603269166728
0.0,1.0,-229.81570434570312,18,209,209,350648.34365666524,3.0029546025187206
1.0,1.0,-289.4795227050781,42,468,468,984.7320642863998,1.856227103515
1.0,1.0,-266.7681579589844,35,460,460,2042.5358329591013,1.785914802183439
1.0,1.0,-246.81192016601562,28,306,306,6732.564698389033,2.2402218530510787
0.0,0.0,-277.458251953125,37,416,416,1806.0035044233275,1.9483190044746586
0.0,0.0,-243.22006225585938,22,240,240,63288.40242214769,2.7549985769359817
0.0,1.0,-215.81886291503906,30,362,362,1331.3677778489398,1.8151801231273472
1.0,1.0,-177.336181640625,14,134,134,317067.5485878438,3.756186975537982
1.0,1.0,-262.484619140625,35,364,364,1807.248039125043,2.0567181699396384
0.0,0.0,-304.3986511230469,41,548,548,1676.3219292105828,1.7427633594779024
1.0,1.0,-303.2182312011719,49,575,575,486.9333071354736,1.694412468115279
1.0,0.0,-185.8447265625,18,181,181,30476.373749505536,2.7920230625640436
0.0,0.0,-202.57229614257812,21,244,244,15464.460763317673,2.2938103163999477
0.0,1.0,-257.13201904296875,46,556,556,267.6891718631655,1.587987768198066
0.0,1.0,-255.37222290039062,34,460,460,1827.945124904082,1.742214501963366
0.0,1.0,-287.2958984375,37,449,449,2356.0788496959344,1.8962101472108908
1.0,1.0,-303.9690246582031,53,588,588,309.59488374033515,1.6769121957983857
1.0,1.0,-281.1032409667969,38,404,404,1631.8240376645242,2.005312885902906
0.0,1.0,-163.59933471679688,8,107,107,760827214.6102169,4.613402919050147
0.0,1.0,-242.91409301757812,36,488,488,852.0231475385414,1.645056583308392
1.0,0.0,-258.57794189453125,38,414,414,902.0614836532941,1.8674696770633943
1.0,0.0,-226.50732421875,24,266,266,12554.132532069529,2.343232283716782
0.0,0.0,-159.22732543945312,9,100,100,48250900.50195784,4.9149090772504
0.0,0.0,-234.22723388671875,34,387,387,981.4551239694873,1.831688704073918
0.0,0.0,-283.1981506347656,37,488,488,2109.0735858356297,1.7866173424031246
0.0,0.0,-327.3931884765625,34,523,523,15202.443124315534,1.870097933117726
0.0,0.0,-236.63108825683594,34,415,415,1053.3574254426262,1.7686125928844387
1.0,0.0,-273.0288391113281,37,435,435,1602.2398152266487,1.8732080648494693
1.0,1.0,-267.5827941894531,39,489,489,954.4137588492069,1.7284137460568492
1.0,1.0,-308.7661437988281,48,483,483,621.8059059990244,1.8950919854018857
0.0,1.0,-370.9212646484375,49,573,573,1938.7946170221649,1.910437073163981
1.0,1.0,-241.65533447265625,30,425,425,3150.06326503222,1.7657945993250987
0.0,0.0,-271.0456848144531,26,307,307,33685.87979397335,2.417865114737015
1.0,1.0,-245.694580078125,27,281,281,8953.495217721724,2.3973355573881476
0.0,1.0,-325.68914794921875,48,558,558,884.6486692364955,1.7926093721166094
0.0,0.0,-289.139404296875,34,415,415,4934.961381363353,2.0071613418347054
0.0,1.0,-258.31884765625,46,507,507,274.68558683087576,1.6644664647454428
1.0,1.0,-161.58554077148438,11,152,152,2396679.0683951033,2.8952248263481626
1.0,0.0,-203.76617431640625,23,253,253,7040.249460975957,2.2375911292273782
0.0,0.0,-332.449951171875,39,442,442,5035.951287972148,2.1215547887331763
1.0,1.0,-246.1332244873047,37,476,476,774.5245137859783,1.6771343720309009
1.0,1.0,-127.14269256591797,9,88,88,1365410.7275683547,4.241017956941998
1.0,1.0,-285.18157958984375,45,496,496,565.3067110827981,1.7770645292016376
1.0,0.0,-299.3147277832031,38,404,404,2635.1710216357183,2.0977766359286933
0.0,0.0,-333.19549560546875,47,555,555,1199.0272283025977,1.8227607444680902
1.0,1.0,-258.99749755859375,36,514,514,1331.917526555683,1.6551409676353184
0.0,0.0,-137.65699768066406,8,84,84,29713876.298010245,5.148852024236125
0.0,0.0,-390.5736083984375,47,679,679,4064.6250310164082,1.7775195187020914
0.0,1.0,-202.9792022705078,18,214,214,78954.13145720484,2.5818364426193208
0.0,0.0,-323.92779541015625,45,541,541,1337.283308835299,1.8198561830291564
0.0,0.0,-272.3962097167969,32,448,448,4975.99959809291,1.836804273667374
0.0,1.0,-151.49618530273438,10,103,103,3796607.7562144096,4.3528758887801
0.0,0.0,-332.1744689941406,40,504,504,4041.4617501301764,1.9330060447771271
0.0,0.0,-233.09536743164062,26,330,330,7825.997158443526,2.02657990888496
0.0,1.0,-353.19464111328125,37,476,476,13985.846195488346,2.1001432329231275
1.0,1.0,-277.67877197265625,35,403,403,2789.671704401883,1.991780995002047
0.0,0.0,-159.7423858642578,18,232,232,7147.922202874062,1.9908163219473352
1.0,0.0,-236.77626037597656,21,227,227,78830.87532133097,2.83790818534007
0.0,0.0,-284.6990966796875,38,475,475,1793.7819506721864,1.8209648888730177
1.0,0.0,-289.1350402832031,38,502,502,2015.8915831746374,1.7788484481440598
0.0,1.0,-253.55189514160156,50,594,594,159.33962059276078,1.532430508060844
1.0,0.0,-211.42129516601562,27,304,304,2515.9816877675516,2.0046405877910227
0.0,1.0,-406.65802001953125,64,759,759,574.805408088897,1.7087828228272537
0.0,0.0,-341.38299560546875,59,690,690,325.7572486319734,1.6401012285316023
1.0,1.0,-283.7074890136719,40,540,540,1203.1365595188881,1.691108513256775
0.0,0.0,-199.98095703125,21,210,210,13669.231576981238,2.591638423304229
1.0,1.0,-313.17132568359375,39,510,510,3071.84608934265,1.8479213686991285
0.0,1.0,-289.0789794921875,47,608,608,469.0064799803951,1.6087522006440813
0.0,0.0,-240.99368286132812,27,326,326,7522.786983754607,2.0943524781455074
0.0,0.0,-369.09344482421875,51,554,554,1390.0936098908003,1.9468908319032892
1.0,0.0,-177.30416870117188,12,140,140,2611270.3675981015,3.5482635673569245
0.0,0.0,-226.03533935546875,29,347,347,2426.7836207864693,1.9182219178283604
0.0,0.0,-256.89642333984375,36,449,449,1256.4075280894335,1.7720771515985234
1.0,0.0,-158.33920288085938,12,129,129,537634.1414870465,3.4124676521645547
0.0,0.0,-223.9691925048828,38,491,491,362.8269934360953,1.57798555476119
0.0,1.0,-206.574462890625,25,308,308,3877.6264883399253,1.9555985457461578
1.0,1.0,-272.190185546875,29,336,336,11918.754741099621,2.248109943164389
0.0,0.0,-422.878662109375,57,745,745,1667.2384212278507,1.7640677524184245
1.0,1.0,-244.0069580078125,31,357,357,2620.688094600433,1.9807843043328561
0.0,0.0,-130.92588806152344,10,92,92,485332.1622650575,4.14999645045255
0.0,1.0,-250.99237060546875,41,507,507,455.6683019036669,1.64058680442609
0.0,0.0,-172.77127075195312,12,153,153,1789784.7084887763,3.0932551772723857
0.0,1.0,-238.57965087890625,40,519,519,389.35490192775814,1.5835846485072307
1.0,1.0,-216.50120544433594,21,231,231,30018.862457109626,2.5529119672966307
0.0,1.0,-379.4933776855469,54,662,662,1127.383953466375,1.7740282999529453
0.0,0.0,-207.05258178710938,24,238,238,5581.377606534202,2.3868364571506766
0.0,0.0,-326.9378662109375,35,442,442,11396.731602503582,2.095261633582339
0.0,1.0,-317.01202392578125,38,476,476,4198.244254624427,1.9464197257267233
1.0,1.0,-305.0411376953125,45,723,723,878.9183017134419,1.5248717181400997
1.0,1.0,-290.4925537109375,57,704,704,163.426049505836,1.5107881500613443
0.0,1.0,-222.9376678466797,30,339,339,1687.9255941499405,1.930218557022125
0.0,0.0,-204.56680297851562,19,236,236,47414.0482793931,2.379305140297269
1.0,1.0,-247.48876953125,27,367,367,9568.681717391362,1.9627691744975513
0.0,1.0,-342.7150573730469,51,647,647,828.7371911428122,1.6984204934138332
1.0,0.0,-231.6436767578125,24,279,279,15550.061380659055,2.2939244270059356
1.0,1.0,-311.9070739746094,32,429,429,17104.486246978708,2.068980795067382
0.0,1.0,-211.84788513183594,22,223,223,15206.060191336332,2.585685137301902
0.0,0.0,-361.89617919921875,51,617,617,1207.1331305249787,1.797760312727558
0.0,1.0,-249.8321533203125,39,447,447,605.4382943661118,1.748762894290982
