acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-237.51516723632812,41,513,513,328.01287459329484,1.5888214718508424
0.0,1.0,-181.17724609375,39,510,510,104.12274177952766,1.4265365338078277
1.0,1.0,-209.0037841796875,39,489,489,212.52749946157414,1.5332821005661181
0.0,1.0,-152.4798583984375,18,209,209,4774.780314193164,2.074185819360141
1.0,1.0,-200.90078735351562,42,468,468,119.50426723883616,1.5361437024820972
1.0,1.0,-196.696044921875,35,460,460,275.85820888007123,1.5335726790166657
1.0,1.0,-168.6392822265625,28,306,306,412.7456353120539,1.7351758547138105
1.0,0.0,-179.31948852539062,37,416,416,127.29060016944365,1.538882437117351
1.0,0.0,-170.37557983398438,22,240,240,2308.479906814193,2.0337843091580123
0.0,1.0,-151.82760620117188,30,362,362,157.7355989159966,1.5210688473745728
1.0,1.0,-108.78440856933594,14,134,134,2369.217232218296,2.2520117876065275
1.0,1.0,-196.5011444091797,35,364,364,274.3263378352588,1.7157294214347596
0.0,1.0,-212.4816436767578,41,548,548,178.1238534209649,1.4736469189457881
1.0,1.0,-205.25991821289062,49,575,575,65.95534503862628,1.4289983878849866
1.0,1.0,-118.81034851074219,18,181,181,735.51792966529,1.9278603582133502
0.0,0.0,-121.3573989868164,21,244,244,323.4109356758136,1.6443848933754621
0.0,1.0,-185.04779052734375,46,556,556,55.85606169743085,1.3948958697343568
0.0,1.0,-189.5001220703125,34,460,460,263.36291925098624,1.5097691934280633
0.0,1.0,-185.59097290039062,37,449,449,150.80268199841768,1.5118633913726756
1.0,1.0,-226.94248962402344,53,588,588,72.38027130647316,1.471020849200826
1.0,1.0,-235.50953674316406,38,404,404,491.5773919765296,1.7913049881329346
0.0,1.0,-93.86206817626953,8,107,107,124586.87242419043,2.4041961113164123
0.0,1.0,-180.30416870117188,36,488,488,149.67243366102798,1.4469758467123979
1.0,1.0,-187.27626037597656,38,414,414,138.14759484375492,1.5720148127792526
1.0,0.0,-168.55459594726562,24,266,266,1122.2694002872436,1.88450256445486
0.0,0.0,-100.72296142578125,9,100,100,72507.12837477608,2.7380051676829553
0.0,0.0,-159.759765625,34,387,387,109.81714188149586,1.511066861048782
0.0,0.0,-203.399658203125,37,488,488,244.02924130919524,1.5171029742974642
1.0,1.0,-257.04937744140625,34,523,523,1920.3750934250165,1.6347505198075083
0.0,1.0,-169.23916625976562,34,415,415,145.1289325103205,1.5035142779902977
1.0,1.0,-184.9180450439453,37,435,435,148.08478793656275,1.5297417864325136
0.0,0.0,-189.04295349121094,39,489,489,127.39025103519303,1.4719542018293397
1.0,1.0,-238.49539184570312,48,483,483,143.8331571275552,1.638496870512094
1.0,1.0,-282.502197265625,49,573,573,319.05099999686684,1.6372582300853873
1.0,1.0,-166.62841796875,30,425,425,258.3410468357051,1.4800366719428713
0.0,0.0,-192.51760864257812,26,307,307,1643.4014196235023,1.8721606426608357
1.0,1.0,-179.264892578125,27,281,281,764.6670159934538,1.8926034242436933
0.0,1.0,-256.7342834472656,48,558,558,210.32015242521445,1.5842280946349168
0.0,0.0,-218.45362854003906,34,415,415,617.1466770116233,1.6928174747914753
0.0,1.0,-190.90081787109375,46,507,507,63.43512815239338,1.457219565389228
1.0,1.0,-104.8234634399414,11,152,152,13758.412955063694,1.9929741065468443
1.0,1.0,-121.26866912841797,23,253,253,194.91251788504374,1.6149803717395508
0.0,1.0,-253.134765625,39,442,442,658.9416689054733,1.773053301715194
1.0,1.0,-163.86865234375,37,476,476,83.83767558535021,1.4109480786966162
1.0,1.0,-81.38838195800781,9,88,88,8460.415381726252,2.521535337206472
1.0,1.0,-196.78411865234375,45,496,496,79.27956590155023,1.4869725014967787
1.0,1.0,-206.83050537109375,38,404,404,231.11329297722384,1.6685528543351205
0.0,0.0,-235.6454620361328,47,555,555,150.46541164388051,1.5289579395257658
1.0,1.0,-207.81658935546875,36,514,514,321.398902211482,1.498271979932965
0.0,0.0,-83.89195251464844,8,84,84,35828.325131115525,2.714787605785396
0.0,0.0,-286.77679443359375,47,679,679,446.5868633260176,1.5255449423414513
0.0,1.0,-129.3276824951172,18,214,214,1319.3193646151105,1.830034766811388
0.0,0.0,-225.35980224609375,45,541,541,149.60456884305034,1.5167373639957904
0.0,0.0,-206.40081787109375,32,448,448,632.7184639225395,1.5852087645716681
1.0,1.0,-80.47578430175781,10,103,103,3126.2154488257606,2.1843499841385503
0.0,0.0,-259.8626708984375,40,504,504,662.8619660194341,1.6746438863294537
1.0,1.0,-171.995361328125,26,330,330,746.3586172938766,1.6840440351726922
0.0,1.0,-248.82785034179688,37,476,476,833.0361480678828,1.6866555180399365
1.0,1.0,-202.57984924316406,35,403,403,326.3582461791102,1.6531449873831234
0.0,0.0,-103.36878967285156,18,232,232,311.9087064254052,1.5613567079686754
1.0,0.0,-154.44647216796875,21,227,227,1563.3620051111411,1.9746297939086355
1.0,1.0,-214.048828125,38,475,475,279.461321394526,1.5692991396779106
1.0,1.0,-199.10028076171875,38,502,502,188.5722217331326,1.4867820777183796
1.0,1.0,-192.96136474609375,50,594,594,47.4286888173099,1.383824139658154
1.0,0.0,-156.70005798339844,27,304,304,331.5258718035926,1.6744097532426399
0.0,1.0,-292.36279296875,64,759,759,96.36746456501282,1.4699005135510095
1.0,1.0,-264.76361083984375,59,690,690,88.90059432285436,1.4677276346936543
1.0,1.0,-206.8990936279297,40,540,540,176.3511787301928,1.466892869665467
0.0,0.0,-120.05095672607422,21,210,210,303.9041103143187,1.7712246898727193
1.0,1.0,-268.8123779296875,39,510,510,984.9836825740401,1.6939839032648367
0.0,1.0,-189.06591796875,47,608,608,55.85053505689356,1.3647396541286647
0.0,0.0,-165.5299072265625,27,326,326,459.77503002443734,1.6615658678222873
0.0,0.0,-251.89804077148438,51,554,554,139.65530367784547,1.5756842214837092
1.0,1.0,-99.95216369628906,12,140,140,4143.710720571262,2.0420292144078647
0.0,0.0,-161.5725555419922,29,347,347,262.8194862575743,1.5930126329992012
0.0,0.0,-197.4229736328125,36,449,449,240.80115015160283,1.5522334337289228
1.0,1.0,-96.33033752441406,12,129,129,3064.1580947557163,2.110124187761181
0.0,1.0,-148.97601318359375,38,491,491,50.42168797935846,1.354474381585067
0.0,1.0,-142.49855041503906,25,308,308,298.8500721218676,1.5882894685873177
1.0,1.0,-177.3509521484375,29,336,336,452.84507721354936,1.6952499866849609
1.0,0.0,-323.658447265625,57,745,745,292.4279679955742,1.5440994633762997
1.0,1.0,-179.20193481445312,31,357,357,323.9883552823168,1.651966182028265
1.0,1.0,-71.62252044677734,10,92,92,1289.81237969067,2.1782148322218435
0.0,1.0,-168.7397003173828,41,507,507,61.289126578846556,1.394896085378339
0.0,0.0,-105.30545043945312,12,153,153,6473.383502576726,1.9902712140253487
0.0,0.0,-180.06350708007812,40,519,519,90.1601629436494,1.4147363286636705
1.0,1.0,-138.83935546875,21,231,231,743.5216462499886,1.8240078052925481
0.0,1.0,-266.527587890625,54,662,662,139.16998115872812,1.4957229213271248
0.0,0.0,-128.78030395507812,24,238,238,213.97217819346196,1.7178847098075387
1.0,1.0,-236.291015625,35,442,442,855.0601993032429,1.7067569646787204
0.0,1.0,-212.33633422851562,38,476,476,267.14678640991525,1.5621838337821308
1.0,1.0,-235.06158447265625,45,723,723,185.5994331240714,1.3841964035734153
0.0,0.0,-246.16151428222656,57,704,704,75.08516912544964,1.4185869093505554
1.0,1.0,-157.67147827148438,30,339,339,191.6586532994541,1.592185507619959
0.0,1.0,-146.71263122558594,19,236,236,2256.8322120729267,1.8620232989401968
1.0,1.0,-170.05628967285156,27,367,367,543.6910153461731,1.5894191526823365
1.0,0.0,-233.37667846679688,51,647,647,97.12640779654889,1.4343414728986643
1.0,0.0,-153.442626953125,24,279,279,597.9115239320287,1.7332072143301536
1.0,1.0,-207.4955291748047,32,429,429,654.7380858353288,1.6220204478488724
0.0,1.0,-132.35568237304688,22,223,223,410.00419058823724,1.8103555081632459
0.0,0.0,-277.572265625,51,617,617,231.04059791450115,1.5681146099825862
0.0,1.0,-205.48733520507812,39,447,447,194.2033936828503,1.5836039186226951
1.0,1.0,-231.27523803710938,55,646,646,67.0208877285567,1.4304816480669704
1.0,1.0,-75.3824462890625,7,80,80,47520.71016324073,2.5658263195473716
0.0,0.0,-100.28209686279297,13,152,152,2239.4989817818155,1.934309929424354
0.0,0.0,-213.75848388671875,50,608,608,71.892336803636,1.421306407232314
1.0,1.0,-160.3768768310547,33,411,411,129.0119916433405,1.477293029827796
0.0,1.0,-230.28829956054688,39,483,483,366.8042011597403,1.6108908834091513
1.0,1.0,-218.50381469726562,43,490,490,161.01283184789364,1.5619361171088448
0.0,0.0,-259.4608459472656,54,704,704,122.09879114129082,1.4456403005610927
0.0,0.0,-161.98422241210938,38,424,424,71.00446021909742,1.465268145814539
1.0,1.0,-192.6641845703125,47,564,564,60.294323977791,1.4072017585656384
1.0,1.0,-95.4055404663086,17,161,161,273.71587495597106,1.8086505173648366
1.0,1.0,-103.83799743652344,18,200,200,320.14615803019535,1.6806657374011116
1.0,1.0,-231.8032989501953,46,565,565,154.3468204448266,1.5072266787848208
0.0,0.0,-264.362548828125,60,719,719,81.94452389707837,1.444381026725891
0.0,0.0,-226.32986450195312,34,421,421,778.0266053064518,1.7118944593968144
0.0,1.0,-222.62435913085938,39,469,469,301.3634166604864,1.6074977928836538
1.0,1.0,-196.4715576171875,33,410,410,385.16952581214923,1.6147803173564759
1.0,1.0,-182.22805786132812,37,468,468,137.70072143506883,1.476059728778141
0.0,1.0,-125.09290313720703,22,247,247,294.72450884503917,1.6593882337464916
0.0,1.0,-223.78533935546875,56,608,608,54.389263606261586,1.4449402805351352
1.0,1.0,-148.13214111328125,24,271,271,479.22611691303564,1.727392535876899
1.0,1.0,-205.2128448486328,38,421,421,221.48126916768402,1.6281451737912118
0.0,0.0,-96.40789794921875,15,178,178,618.4356823021166,1.7187845846510523
0.0,1.0,-177.61288452148438,35,507,507,159.91682614384717,1.41952352743461
