acc,acc_norm,log_likelihood,num_words,num_bytes,num_bits_per_byte,word_perplexity,byte_perplexity
1.0,1.0,-317.4788818359375,74,440,440,72.98508899523073,2.057605469524386
0.0,0.0,-156.64468383789062,23,144,144,907.4499632772827,2.967768443075251
0.0,0.0,-233.2574005126953,37,232,232,546.8934905931859,2.7330544496919082
1.0,1.0,-273.4342041015625,67,399,399,59.21101115913334,1.9843645900910147
1.0,0.0,-248.15866088867188,72,418,418,31.394981895518,1.810641146083635
1.0,0.0,-337.2196044921875,52,315,315,655.2339805632364,2.916949641561796
1.0,0.0,-148.00033569335938,17,106,106,6038.446764178254,4.039938956221839
1.0,1.0,-309.2991943359375,68,416,416,94.49222573525813,2.10330029192389
0.0,0.0,-260.0765380859375,53,321,321,135.2472374740511,2.2483739897846924
0.0,0.0,-214.91275024414062,33,205,205,673.5131921793576,2.85295380176886
0.0,0.0,-128.93484497070312,16,98,98,3160.3176088782684,3.7272164066266056
1.0,1.0,-216.4611053466797,38,218,218,297.7769980106201,2.699160638945383
1.0,0.0,-192.28079223632812,28,172,172,960.2283793229858,3.0584601879752458
0.0,1.0,-155.5418701171875,16,96,96,16670.015112685098,5.054241611005288
0.0,1.0,-257.4735107421875,42,260,260,459.5839778710057,2.691995482400615
1.0,1.0,-209.81787109375,36,214,214,339.7717936288552,2.665675087195585
1.0,0.0,-195.84271240234375,29,176,176,856.7935399730864,3.042692104113083
1.0,1.0,-252.79205322265625,48,311,311,193.73691080295654,2.254292516903537
1.0,1.0,-186.4598846435547,32,180,180,339.2954952526853,2.8176078590297773
1.0,1.0,-161.50120544433594,23,141,141,1120.792766419692,3.1436942470522666
0.0,0.0,-294.173828125,71,409,409,63.00999432401377,2.052895865184642
0.0,0.0,-248.97564697265625,60,359,359,63.40825869013101,2.0007567400728288
1.0,0.0,-149.97109985351562,20,116,116,1805.4316666538039,3.6431704638036266
0.0,0.0,-171.08697509765625,23,122,122,1700.3070556088765,4.06475005855392
1.0,1.0,-227.73590087890625,54,330,330,67.85217879867238,1.9939324424354374
1.0,1.0,-309.0008239746094,74,452,452,65.08452504715227,1.9810562093355117
0.0,1.0,-294.7894287109375,63,373,373,107.68359821203778,2.2041020319594575
0.0,0.0,-218.59226989746094,53,308,308,61.829614634906434,2.033411983158019
1.0,0.0,-173.5588836669922,22,124,124,2667.881969346269,4.053855553037903
1.0,1.0,-231.43612670898438,39,243,243,377.76022131738085,2.5919540327906154
1.0,0.0,-178.0016326904297,30,176,176,377.4309946488199,2.7493730751438745
1.0,1.0,-217.9144744873047,29,181,181,1834.0689062952274,3.3332485628515935
1.0,0.0,-301.7723388671875,67,422,422,90.3837739163525,2.044391783894243
0.0,1.0,-272.03448486328125,40,233,233,898.6216789379505,3.2140440662947922
0.0,1.0,-265.72930908203125,77,452,452,31.532854052023055,1.8001980767898884
0.0,1.0,-273.1927490234375,47,278,278,334.49157130209,2.671680647285722
0.0,1.0,-268.663330078125,43,244,244,516.96978012031,3.007409935039231
1.0,0.0,-314.34564208984375,71,423,423,83.71376410847131,2.1025142818785123
1.0,1.0,-139.02198791503906,14,89,89,20540.256966225974,4.768562076724261
